Subject,Start Date,Start Time,End Date,End Time,Description,Location
"MU-146 Gehør 1. tors",2015-08-13,11:15,2015-08-13,12:00,"Fjelde Harald","CK K1 037/Samspillsal 3"
"MU-146 Gehør 2. tors",2015-08-13,12:15,2015-08-13,13:00,"Fjelde Harald","CK K1 037/Samspillsal 3"
"MU-146 Gehør 3. tors",2015-08-13,13:15,2015-08-13,14:00,"Fjelde Harald","CK K1 037/Samspillsal 3"
"MU-146 mustek 1. man",2015-08-17,09:15,2015-08-17,11:00,"Thommasen Jan Helge","CK G1 001"
"MU-145 Gitar 1. man",2015-08-17,11:15,2015-08-17,12:00,"Fjelde Harald","CK G1 009"
"MU-146 Mus.or. man",2015-08-17,12:15,2015-08-17,14:00,"Arntsen Asbjørn","CK G1 012"
"MU-145 klassens time. man",2015-08-17,14:15,2015-08-17,15:00,"Fjelde Harald","CK K1 037/Samspillsal 3"
"MU-146 Gitar 2. tirs",2015-08-18,09:15,2015-08-18,10:00,"Fjelde Harald","CK G1 011"
"MU-146 Mustek 2. tirs",2015-08-18,09:15,2015-08-18,11:00,"Thommasen Jan Helge","CK G1 001"
"MU-146 Gitar 3. tirs",2015-08-18,10:15,2015-08-18,11:00,"Fjelde Harald","CK G1 011"
"MU-145 Akk.imp./hovedinstrument tirs",2015-08-18,11:15,2015-08-18,12:00,"",""
"MU-145 Korarbeid. tirs",2015-08-18,12:15,2015-08-18,14:00,"Misje Marianne Sødal","CK G1 012"
"MU-145 Akk.imp./hovedinstrument tirs",2015-08-18,14:15,2015-08-18,15:00,"",""
"MU-145 UiA koret. tirs",2015-08-18,15:15,2015-08-18,17:00,"Misje Marianne Sødal","CK K1 041/samspillsal 1"
"MU-145 Gitar 4. ons",2015-08-19,11:15,2015-08-19,12:00,"Fjelde Harald","CK G1 009"
"MU-146 Gitar 5. ons",2015-08-19,12:15,2015-08-19,13:00,"Fjelde Harald","CK G1 009"
"MU-146 Mustek 3. Akkimp/Hovedinst.",2015-08-19,12:15,2015-08-19,14:00,"Thommasen Jan Helge","CK G1 001"
"MU-146 Gitar 6. ons",2015-08-19,13:15,2015-08-19,14:00,"Fjelde Harald","CK G1 009"
