Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-NO-400 for (litt)",2015-08-12,09:15,2015-08-12,11:00,"Wiland Sverre","CK F2 006 sem"
"-NO-400 for (språk)",2015-08-12,13:15,2015-08-12,15:00,"Wiland Sverre","CK F2 006 sem"
"-NO-401/EN-435 for",2015-08-18,09:15,2015-08-18,11:00,"Schulte Michael, Thibault Paul","CK 46 207 sem"
"-NO-401/EN-435 sem",2015-08-18,11:15,2015-08-18,12:00,"Schulte Michael, Thibault Paul","CK 46 207 sem"
"-NO-400 for (litt)",2015-08-19,09:15,2015-08-19,11:00,"Wiland Sverre","CK F2 006 sem"
"-NO-400 for (språk)",2015-08-19,13:15,2015-08-19,15:00,"Wiland Sverre","CK F2 006 sem"
"-NO-401/EN-435 for",2015-08-25,09:15,2015-08-25,11:00,"Schulte Michael, Thibault Paul","CK 46 207 sem"
"-NO-401/EN-435 sem",2015-08-25,11:15,2015-08-25,12:00,"Schulte Michael, Thibault Paul","CK 46 207 sem"
"-NO-400 for (litt)",2015-08-26,09:15,2015-08-26,11:00,"Wiland Sverre","CK F2 006 sem"
"-NO-400 for (språk)",2015-08-26,13:15,2015-08-26,15:00,"Wiland Sverre","CK F2 006 sem"
"-NO-401/EN-435 for",2015-09-01,09:15,2015-09-01,11:00,"Schulte Michael, Thibault Paul","CK 46 207 sem"
"-NO-401/EN-435 sem",2015-09-01,11:15,2015-09-01,12:00,"Schulte Michael, Thibault Paul","CK 46 207 sem"
"-NO-400 for (litt)",2015-09-02,09:15,2015-09-02,11:00,"Wiland Sverre","CK F2 006 sem"
"-NO-400 for (språk)",2015-09-02,13:15,2015-09-02,15:00,"Wiland Sverre","CK F2 006 sem"
"-NO-401/EN-435 for",2015-09-08,09:15,2015-09-08,11:00,"Schulte Michael, Thibault Paul","CK 46 207 sem"
"-NO-401/EN-435 sem",2015-09-08,11:15,2015-09-08,12:00,"Schulte Michael, Thibault Paul","CK 46 207 sem"
"-NO-400 for (litt)",2015-09-09,09:15,2015-09-09,11:00,"Wiland Sverre","CK F2 006 sem"
"-NO-400 for (språk)",2015-09-09,13:15,2015-09-09,15:00,"Wiland Sverre","CK F2 006 sem"
"-NO-401/EN-435 for",2015-09-15,09:15,2015-09-15,11:00,"Schulte Michael, Thibault Paul","CK 46 207 sem"
"-NO-401/EN-435 sem",2015-09-15,11:15,2015-09-15,12:00,"Schulte Michael, Thibault Paul","CK 46 207 sem"
"-NO-400 for (litt)",2015-09-16,09:15,2015-09-16,11:00,"Wiland Sverre","CK F2 006 sem"
"-NO-400 for (språk)",2015-09-16,13:15,2015-09-16,15:00,"Wiland Sverre","CK F2 006 sem"
"-NO-401/EN-435 for",2015-09-22,09:15,2015-09-22,11:00,"Schulte Michael, Thibault Paul","CK 46 207 sem"
"-NO-401/EN-435 sem",2015-09-22,11:15,2015-09-22,12:00,"Schulte Michael, Thibault Paul","CK 46 207 sem"
"-NO-400 for (litt)",2015-09-23,09:15,2015-09-23,11:00,"Wiland Sverre","CK F2 006 sem"
"-NO-400 for (språk)",2015-09-23,13:15,2015-09-23,15:00,"Wiland Sverre","CK F2 006 sem"
"-NO-401/EN-435 for",2015-09-29,09:15,2015-09-29,11:00,"Schulte Michael, Thibault Paul","CK 46 207 sem"
"-NO-401/EN-435 sem",2015-09-29,11:15,2015-09-29,12:00,"Schulte Michael, Thibault Paul","CK 46 207 sem"
"-NO-401/EN-435 for",2015-10-06,09:15,2015-10-06,11:00,"Schulte Michael, Thibault Paul","CK 46 207 sem"
"-NO-401/EN-435 sem",2015-10-06,11:15,2015-10-06,12:00,"Schulte Michael, Thibault Paul","CK 46 207 sem"
"-NO-400 for (litt)",2015-10-07,09:15,2015-10-07,11:00,"Wiland Sverre","CK F2 006 sem"
"-NO-400 for (språk)",2015-10-07,13:15,2015-10-07,15:00,"Wiland Sverre","CK F2 006 sem"
"-NO-401/EN-435 for",2015-10-13,09:15,2015-10-13,11:00,"Schulte Michael, Thibault Paul","CK 46 207 sem"
"-NO-401/EN-435 sem",2015-10-13,11:15,2015-10-13,12:00,"Schulte Michael, Thibault Paul","CK 46 207 sem"
"-NO-400 for (litt)",2015-10-14,09:15,2015-10-14,11:00,"Wiland Sverre","CK F2 006 sem"
"-NO-400 for (språk)",2015-10-14,13:15,2015-10-14,15:00,"Wiland Sverre","CK F2 006 sem"
"-NO-401/EN-435 for",2015-10-20,09:15,2015-10-20,11:00,"Schulte Michael, Thibault Paul","CK 46 207 sem"
"-NO-401/EN-435 sem",2015-10-20,11:15,2015-10-20,12:00,"Schulte Michael, Thibault Paul","CK 46 207 sem"
"-NO-400 for (litt)",2015-10-21,09:15,2015-10-21,11:00,"Wiland Sverre","CK F2 006 sem"
"-NO-400 for (språk)",2015-10-21,13:15,2015-10-21,15:00,"Wiland Sverre","CK F2 006 sem"
"-NO-401/EN-435 for",2015-10-27,09:15,2015-10-27,11:00,"Schulte Michael, Thibault Paul","CK 46 207 sem"
"-NO-401/EN-435 sem",2015-10-27,11:15,2015-10-27,12:00,"Schulte Michael, Thibault Paul","CK 46 207 sem"
"-NO-400 for (litt)",2015-10-28,09:15,2015-10-28,11:00,"Wiland Sverre","CK F2 006 sem"
"-NO-400 for (språk)",2015-10-28,13:15,2015-10-28,15:00,"Wiland Sverre","CK F2 006 sem"
"-NO-401/EN-435 for",2015-11-03,09:15,2015-11-03,11:00,"Schulte Michael, Thibault Paul","CK 46 207 sem"
"-NO-401/EN-435 sem",2015-11-03,11:15,2015-11-03,12:00,"Schulte Michael, Thibault Paul","CK 46 207 sem"
"-NO-400 for (litt)",2015-11-04,09:15,2015-11-04,11:00,"Wiland Sverre","CK F2 006 sem"
"-NO-400 for (språk)",2015-11-04,13:15,2015-11-04,15:00,"Wiland Sverre","CK F2 006 sem"
"-NO-401/EN-435 for",2015-11-10,09:15,2015-11-10,11:00,"Schulte Michael, Thibault Paul","CK 46 207 sem"
"-NO-401/EN-435 sem",2015-11-10,11:15,2015-11-10,12:00,"Schulte Michael, Thibault Paul","CK 46 207 sem"
"-NO-400 for (litt)",2015-11-11,09:15,2015-11-11,11:00,"Wiland Sverre","CK F2 006 sem"
"-NO-400 for (språk)",2015-11-11,13:15,2015-11-11,15:00,"Wiland Sverre","CK F2 006 sem"
