Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-NO-145 for",2015-08-12,10:15,2015-08-12,12:00,"Birkeland Nils Rune, Røsstad Rune, Schulte Michael","CK B2 004 aud"
"-NO-145 for",2015-08-13,08:15,2015-08-13,10:00,"Birkeland Nils Rune, Røsstad Rune, Schulte Michael","CK B2 004 aud"
"-NO-145 gr",2015-08-13,10:15,2015-08-13,11:00,"Birkeland Nils Rune, Røsstad Rune, Schulte Michael","CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027"
"-NO-145 gr",2015-08-13,11:15,2015-08-13,12:00,"Birkeland Nils Rune, Røsstad Rune, Schulte Michael","CK B2 002 aud, CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027"
"-NO-143 for",2015-08-17,10:15,2015-08-17,12:00,"Langås Unni","CK B3 001 aud"
"-NO-143 for",2015-08-18,12:15,2015-08-18,14:00,"Langås Unni","CK B3 001 aud"
"-NO-143 gr",2015-08-18,14:15,2015-08-18,15:00,"Langås Unni","CK F2 012, CK F2 016, CK F2 017, CK F2 018, CK F2 019, CK F2 021, CK F2 022, CK F2 026, CK F2 023, CK F2 024"
"-NO-143 for/gr",2015-08-18,15:15,2015-08-18,16:00,"Langås Unni","CK F2 012, CK F2 016, CK F2 017, CK F2 018, CK F2 019, CK F2 021, CK F2 022, CK F2 026, CK F2 023, CK F2 024, CK F1 022 sem"
"-NO-145 for",2015-08-19,10:15,2015-08-19,12:00,"Birkeland Nils Rune, Røsstad Rune, Schulte Michael","CK B2 004 aud"
"-NO-145 for",2015-08-20,08:15,2015-08-20,10:00,"Birkeland Nils Rune, Røsstad Rune, Schulte Michael","CK B2 004 aud"
"-NO-145 gr",2015-08-20,10:15,2015-08-20,11:00,"Birkeland Nils Rune, Røsstad Rune, Schulte Michael","CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027"
"-NO-145 gr",2015-08-20,11:15,2015-08-20,12:00,"Birkeland Nils Rune, Røsstad Rune, Schulte Michael","CK B2 002 aud, CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027"
"-NO-143 for",2015-08-24,10:15,2015-08-24,12:00,"Langås Unni","CK B3 001 aud"
"-NO-143 for",2015-08-25,12:15,2015-08-25,14:00,"Langås Unni","CK B3 001 aud"
"-NO-143 gr",2015-08-25,14:15,2015-08-25,15:00,"Langås Unni","CK F2 012, CK F2 016, CK F2 017, CK F2 018, CK F2 019, CK F2 021, CK F2 022, CK F2 026, CK F2 023, CK F2 024"
"-NO-143 for/gr",2015-08-25,15:15,2015-08-25,16:00,"Langås Unni","CK F2 012, CK F2 016, CK F2 017, CK F2 018, CK F2 019, CK F2 021, CK F2 022, CK F2 026, CK F2 023, CK F2 024, CK F1 022 sem"
"-NO-145 for",2015-08-26,10:15,2015-08-26,12:00,"Birkeland Nils Rune, Røsstad Rune, Schulte Michael","CK B2 004 aud"
"-NO-145 for",2015-08-27,08:15,2015-08-27,10:00,"Birkeland Nils Rune, Røsstad Rune, Schulte Michael","CK B2 004 aud"
"-NO-145 gr",2015-08-27,10:15,2015-08-27,11:00,"Birkeland Nils Rune, Røsstad Rune, Schulte Michael","CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027"
