Subject,Start Date,Start Time,End Date,End Time,Description,Location
".MF-205-1 for wk 33 START 14:15 hours (B2 003)",2015-08-12,14:15,2015-08-12,17:00,"Sirisena Amila","CK B2 003 aud"
".EN-139 for 1 S.E. ",2015-08-14,12:15,2015-08-14,14:00,"Erdmann Susan","CK B2 003 aud"
".EN-139 sem L.M.W. (gr 1)",2015-08-14,14:15,2015-08-14,15:00,"Erdmann Susan, Whitehead Lisa Marie","CK B2 014 sem"
".EN-139 sem L.M.W. (gr 2)",2015-08-14,15:15,2015-08-14,16:00,"Erdmann Susan, Whitehead Lisa Marie","CK B3 007 aud"
".TFL117 (TFL114) for",2015-08-19,09:15,2015-08-19,11:00,"Aronsen Mats","CK HK 007 sem"
".TFL117 (TFL114) gr",2015-08-19,11:15,2015-08-19,13:00,"Aronsen Mats","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041, CK 47 101, CK 47 102, CK 47 103, CK 47 104"
".MF-205-1 for 34.36.37.38.40.41.42.43.44 (B2 003)",2015-08-19,13:15,2015-08-19,16:00,"Sirisena Amila","CK B2 003 aud"
".JU-207/JU-300 for ",2015-08-20,09:15,2015-08-20,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
".JU-207/JU-300 gr ",2015-08-20,12:15,2015-08-20,14:00,"Lunøe-Nielsen Kari","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".MF-206-1 for wk 34.35.36.37.41.43.44",2015-08-21,09:15,2015-08-21,12:00,"Whitehead Lisa Marie","CK B3 007 aud"
".EN-139 for 1 S.E. ",2015-08-21,12:15,2015-08-21,14:00,"Erdmann Susan","CK B2 003 aud"
".EN-139 sem L.M.W. (gr 1)",2015-08-21,14:15,2015-08-21,15:00,"Erdmann Susan, Whitehead Lisa Marie","CK B2 014 sem"
".EN-139 sem L.M.W. (gr 2)",2015-08-21,15:15,2015-08-21,16:00,"Erdmann Susan, Whitehead Lisa Marie","CK B3 007 aud"
".TFL116 gr (0815-1100)",2015-08-24,08:15,2015-08-24,11:00,"Arntsen Erik","CK 15 101, CK 15 102, CK 15 104, CK 15 103"
".TFL116 for (0815-1600)",2015-08-24,08:15,2015-08-24,16:00,"Arntsen Erik","CK 15 110 sem (ikke PC)"
".TFL116 gr (1415-1500)",2015-08-24,14:15,2015-08-24,15:00,"Arntsen Erik","CK 15 101, CK 15 102, CK 15 104, CK 15 103"
".TFL117 (TFL114) for",2015-08-26,09:15,2015-08-26,11:00,"Aronsen Mats","CK HK 007 sem"
".TFL117 (TFL114) gr",2015-08-26,11:15,2015-08-26,13:00,"Aronsen Mats","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041, CK 47 101, CK 47 102, CK 47 103, CK 47 104"
".JU-207/JU-300 for ",2015-08-27,09:15,2015-08-27,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
".JU-207/JU-300 gr ",2015-08-27,12:15,2015-08-27,14:00,"Lunøe-Nielsen Kari","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".MF-206-1 for wk 34.35.36.37.41.43.44",2015-08-28,09:15,2015-08-28,12:00,"Whitehead Lisa Marie","CK B3 007 aud"
".EN-139 for 1 S.E. ",2015-08-28,12:15,2015-08-28,14:00,"Erdmann Susan","CK B2 003 aud"
".EN-139 sem L.M.W. (gr 1)",2015-08-28,14:15,2015-08-28,15:00,"Erdmann Susan, Whitehead Lisa Marie","CK B2 014 sem"
".EN-139 sem L.M.W. (gr 2)",2015-08-28,15:15,2015-08-28,16:00,"Erdmann Susan, Whitehead Lisa Marie","CK B3 007 aud"
".TFL116 gr (0815-1100)",2015-08-31,08:15,2015-08-31,11:00,"Arntsen Erik","CK 15 101, CK 15 102, CK 15 104, CK 15 103"
".TFL116 for (0815-1600)",2015-08-31,08:15,2015-08-31,16:00,"Arntsen Erik","CK 15 110 sem (ikke PC)"
".TFL116 gr (1415-1500)",2015-08-31,14:15,2015-08-31,15:00,"Arntsen Erik","CK 15 101, CK 15 102, CK 15 104, CK 15 103"
".TFL117 (TFL114) for",2015-09-02,09:15,2015-09-02,11:00,"Aronsen Mats","CK HK 007 sem"
".TFL117 (TFL114) gr",2015-09-02,11:15,2015-09-02,13:00,"Aronsen Mats","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041, CK 47 101, CK 47 102, CK 47 103, CK 47 104"
".MF-205-1 for 34.36.37.38.40.41.42.43.44 (B2 003)",2015-09-02,13:15,2015-09-02,16:00,"Sirisena Amila","CK B2 003 aud"
".JU-207/JU-300 for ",2015-09-03,09:15,2015-09-03,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
".JU-207/JU-300 gr ",2015-09-03,12:15,2015-09-03,14:00,"Lunøe-Nielsen Kari","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".MF-206-1 for wk 34.35.36.37.41.43.44",2015-09-04,09:15,2015-09-04,12:00,"Whitehead Lisa Marie","CK B3 007 aud"
".EN-139 for 1 S.E. ",2015-09-04,12:15,2015-09-04,14:00,"Erdmann Susan","CK B2 003 aud"
".EN-139 sem L.M.W. (gr 1)",2015-09-04,14:15,2015-09-04,15:00,"Erdmann Susan, Whitehead Lisa Marie","CK B2 014 sem"
