Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-OF-314 for",2015-08-12,09:15,2015-08-12,11:00,"Holte Karsten Alv Christian","CK F2 001 sem"
"-SV-123 for tors uke 33",2015-08-13,09:15,2015-08-13,13:00,"Magnussen Bjørnar","CK B3 004 sem "
"-SV-123 for fre uke 33.38.43",2015-08-14,09:15,2015-08-14,13:00,"Magnussen Bjørnar","CK F1 023 sem"
"-OF-308",2015-08-17,13:15,2015-08-17,15:00,"Sickinghe Anne-Valérie","CK F2 002 spr.lab"
"-OF-308",2015-08-18,09:15,2015-08-18,11:00,"Sickinghe Anne-Valérie","CK F2 002 spr.lab"
"-OF-307 for",2015-08-18,12:15,2015-08-18,14:00,"Holte Karsten Alv Christian","CK F1 031 sem"
"-OF-314 for",2015-08-19,09:15,2015-08-19,11:00,"Holte Karsten Alv Christian","CK F2 001 sem"
"-SV-126 for",2015-08-20,12:15,2015-08-20,15:00,"Husby Marianne","CK F2 006 sem"
"-OF-308",2015-08-24,13:15,2015-08-24,15:00,"Sickinghe Anne-Valérie","CK F2 002 spr.lab"
"-OF-308",2015-08-25,09:15,2015-08-25,11:00,"Sickinghe Anne-Valérie","CK F2 002 spr.lab"
"-OF-307 for",2015-08-25,12:15,2015-08-25,14:00,"Holte Karsten Alv Christian","CK F1 031 sem"
"-OF-314 for",2015-08-26,09:15,2015-08-26,11:00,"Holte Karsten Alv Christian","CK F2 001 sem"
"-SV-126 for",2015-08-27,12:15,2015-08-27,15:00,"Husby Marianne","CK F2 006 sem"
"-OF-308",2015-08-31,13:15,2015-08-31,15:00,"Sickinghe Anne-Valérie","CK F2 002 spr.lab"
"-OF-308",2015-09-01,09:15,2015-09-01,11:00,"Sickinghe Anne-Valérie","CK F2 002 spr.lab"
"-OF-307 for",2015-09-01,12:15,2015-09-01,14:00,"Holte Karsten Alv Christian","CK F1 031 sem"
"-OF-314 for",2015-09-02,09:15,2015-09-02,11:00,"Holte Karsten Alv Christian","CK F2 001 sem"
"-SV-126 for",2015-09-03,12:15,2015-09-03,15:00,"Husby Marianne","CK F2 006 sem"
"-OF-308",2015-09-07,13:15,2015-09-07,15:00,"Sickinghe Anne-Valérie","CK F2 002 spr.lab"
"-OF-308",2015-09-08,09:15,2015-09-08,11:00,"Sickinghe Anne-Valérie","CK F2 002 spr.lab"
"-OF-307 for",2015-09-08,12:15,2015-09-08,14:00,"Holte Karsten Alv Christian","CK F1 031 sem"
"-OF-314 for",2015-09-09,09:15,2015-09-09,11:00,"Holte Karsten Alv Christian","CK F2 001 sem"
"-SV-126 for",2015-09-10,12:15,2015-09-10,15:00,"Husby Marianne","CK F2 006 sem"
"-OF-308",2015-09-14,13:15,2015-09-14,15:00,"Sickinghe Anne-Valérie","CK F2 002 spr.lab"
"-OF-308",2015-09-15,09:15,2015-09-15,11:00,"Sickinghe Anne-Valérie","CK F2 002 spr.lab"
"-OF-307 for",2015-09-15,12:15,2015-09-15,14:00,"Holte Karsten Alv Christian","CK F1 031 sem"
"-OF-314 for",2015-09-16,09:15,2015-09-16,11:00,"Holte Karsten Alv Christian","CK F2 001 sem"
"-SV-123 for ons uke 38",2015-09-16,12:15,2015-09-16,16:00,"Magnussen Bjørnar","CK H1 022 sem"
"-SV-123 for tors uke 38.43",2015-09-17,08:15,2015-09-17,12:00,"Magnussen Bjørnar","CK B3 004 sem "
"-SV-126 for",2015-09-17,12:15,2015-09-17,15:00,"Husby Marianne","CK F2 006 sem"
"-SV-123 for fre uke 33.38.43",2015-09-18,09:15,2015-09-18,13:00,"Magnussen Bjørnar","CK F1 023 sem"
"-OF-308",2015-09-21,13:15,2015-09-21,15:00,"Sickinghe Anne-Valérie","CK F2 002 spr.lab"
"-OF-308",2015-09-22,09:15,2015-09-22,11:00,"Sickinghe Anne-Valérie","CK F2 002 spr.lab"
"-OF-307 for",2015-09-22,12:15,2015-09-22,14:00,"Holte Karsten Alv Christian","CK F1 031 sem"
"-OF-314 for",2015-09-23,09:15,2015-09-23,11:00,"Holte Karsten Alv Christian","CK F2 001 sem"
"-SV-126 for",2015-09-24,12:15,2015-09-24,15:00,"Husby Marianne","CK F2 006 sem"
"-OF-308",2015-09-28,13:15,2015-09-28,15:00,"Sickinghe Anne-Valérie","CK F2 002 spr.lab"
"-OF-308",2015-09-29,09:15,2015-09-29,11:00,"Sickinghe Anne-Valérie","CK F2 002 spr.lab"
"-SV-126 for",2015-10-01,12:15,2015-10-01,15:00,"Husby Marianne","CK F2 006 sem"
"-OF-308",2015-10-05,13:15,2015-10-05,15:00,"Sickinghe Anne-Valérie","CK F2 002 spr.lab"
"-OF-308",2015-10-06,09:15,2015-10-06,11:00,"Sickinghe Anne-Valérie","CK F2 002 spr.lab"
"-OF-307 for",2015-10-06,12:15,2015-10-06,14:00,"Holte Karsten Alv Christian","CK F1 031 sem"
"-OF-314 for",2015-10-07,09:15,2015-10-07,11:00,"Holte Karsten Alv Christian","CK F2 001 sem"
"-SV-126 for",2015-10-08,12:15,2015-10-08,15:00,"Husby Marianne","CK F2 006 sem"
"-OF-308",2015-10-12,13:15,2015-10-12,15:00,"Sickinghe Anne-Valérie","CK F2 002 spr.lab"
"-OF-308",2015-10-13,09:15,2015-10-13,11:00,"Sickinghe Anne-Valérie","CK F2 002 spr.lab"
"-OF-307 for",2015-10-13,12:15,2015-10-13,14:00,"Holte Karsten Alv Christian","CK F1 031 sem"
"-OF-314 for",2015-10-14,09:15,2015-10-14,11:00,"Holte Karsten Alv Christian","CK F2 001 sem"
"-SV-126 for",2015-10-15,12:15,2015-10-15,15:00,"Husby Marianne","CK F2 006 sem"
"-OF-308",2015-10-19,13:15,2015-10-19,15:00,"Sickinghe Anne-Valérie","CK F2 002 spr.lab"
"-OF-308",2015-10-20,09:15,2015-10-20,11:00,"Sickinghe Anne-Valérie","CK F2 002 spr.lab"
"-OF-307 for",2015-10-20,12:15,2015-10-20,14:00,"Holte Karsten Alv Christian","CK F1 031 sem"
"-OF-314 for",2015-10-21,09:15,2015-10-21,11:00,"Holte Karsten Alv Christian","CK F2 001 sem"
"-SV-123 for tors uke 38.43",2015-10-22,08:15,2015-10-22,12:00,"Magnussen Bjørnar","CK B3 004 sem "
"-SV-126 for",2015-10-22,12:15,2015-10-22,15:00,"Husby Marianne","CK F2 006 sem"
"-SV-123 for fre uke 33.38.43",2015-10-23,09:15,2015-10-23,13:00,"Magnussen Bjørnar","CK F1 023 sem"
