Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-PED314 for",2015-08-12,09:15,2015-08-12,12:00,"Andreasen Johan Kristian","CK F1 018 sem"
"-PED315 for/sem",2015-08-17,09:15,2015-08-17,12:00,"Andreasen Johan Kristian, Rousseau Liv Grendstad, Sæbø Grethe Ingebrigtsvold","CK F1 022 sem"
"-PED315 for/sem",2015-08-18,09:15,2015-08-18,11:00,"Andreasen Johan Kristian, Rousseau Liv Grendstad, Sæbø Grethe Ingebrigtsvold","CK F1 007, CK F1 008, CK F1 012, CK F1 013, CK F1 018 sem, CK F1 022 sem"
"-PED314 for",2015-08-18,12:15,2015-08-18,14:00,"Andreasen Johan Kristian","CK F1 018 sem"
"-PED314 for",2015-08-19,09:15,2015-08-19,12:00,"Andreasen Johan Kristian","CK F1 018 sem"
"-PED314 gr",2015-08-19,12:15,2015-08-19,14:00,"Andreasen Johan Kristian","CK F1 024 aud/gr"
"-PED315 for/sem",2015-08-24,09:15,2015-08-24,12:00,"Andreasen Johan Kristian, Rousseau Liv Grendstad, Sæbø Grethe Ingebrigtsvold","CK F1 022 sem"
"-PED315 for/sem",2015-08-25,09:15,2015-08-25,11:00,"Andreasen Johan Kristian, Rousseau Liv Grendstad, Sæbø Grethe Ingebrigtsvold","CK F1 007, CK F1 008, CK F1 012, CK F1 013, CK F1 018 sem, CK F1 022 sem"
"-PED314 for",2015-08-25,12:15,2015-08-25,14:00,"Andreasen Johan Kristian","CK F1 018 sem"
"-PED314 for",2015-08-26,09:15,2015-08-26,12:00,"Andreasen Johan Kristian","CK F1 018 sem"
"-PED314 gr",2015-08-26,12:15,2015-08-26,14:00,"Andreasen Johan Kristian","CK F1 024 aud/gr"
"-PED315 for/sem",2015-08-31,09:15,2015-08-31,12:00,"Andreasen Johan Kristian, Rousseau Liv Grendstad, Sæbø Grethe Ingebrigtsvold","CK F1 022 sem"
