Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-PED522 for",2015-08-13,11:15,2015-08-13,13:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED522 sem",2015-08-13,13:15,2015-08-13,15:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED524 for",2015-08-19,12:15,2015-08-19,14:00,"Dalehefte Inger Marie","CK F1 018 sem"
"-PED524 sem",2015-08-19,14:15,2015-08-19,16:00,"Dalehefte Inger Marie","CK F1 018 sem"
"-PED523 for",2015-08-20,09:15,2015-08-20,15:00,"Tveit Anne Dorthe","CK 46 207 sem"
"-PED522 for",2015-08-20,11:15,2015-08-20,13:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED522 sem",2015-08-20,13:15,2015-08-20,15:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED524 for",2015-08-26,12:15,2015-08-26,14:00,"Dalehefte Inger Marie","CK F1 018 sem"
"-PED524 sem",2015-08-26,14:15,2015-08-26,16:00,"Dalehefte Inger Marie","CK F1 018 sem"
"-PED523 for",2015-08-27,09:15,2015-08-27,15:00,"Tveit Anne Dorthe","CK 46 207 sem"
"-PED522 for",2015-08-27,11:15,2015-08-27,13:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED522 sem",2015-08-27,13:15,2015-08-27,15:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED524 for",2015-09-02,12:15,2015-09-02,14:00,"Dalehefte Inger Marie","CK F1 018 sem"
"-PED524 sem",2015-09-02,14:15,2015-09-02,16:00,"Dalehefte Inger Marie","CK F1 018 sem"
"-PED523 for",2015-09-03,09:15,2015-09-03,15:00,"Tveit Anne Dorthe","CK 46 207 sem"
"-PED522 for",2015-09-03,11:15,2015-09-03,13:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED522 sem",2015-09-03,13:15,2015-09-03,15:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED523 for",2015-09-10,09:15,2015-09-10,15:00,"Tveit Anne Dorthe","CK 46 207 sem"
"-PED522 for",2015-09-10,11:15,2015-09-10,13:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED522 sem",2015-09-10,13:15,2015-09-10,15:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED524 for",2015-09-16,12:15,2015-09-16,14:00,"Dalehefte Inger Marie","CK F1 018 sem"
"-PED524 sem",2015-09-16,14:15,2015-09-16,16:00,"Dalehefte Inger Marie","CK F1 018 sem"
"-PED523 for",2015-09-17,09:15,2015-09-17,15:00,"Tveit Anne Dorthe","CK 46 207 sem"
"-PED522 for",2015-09-17,11:15,2015-09-17,13:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED522 sem",2015-09-17,13:15,2015-09-17,15:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED524 for",2015-09-23,12:15,2015-09-23,14:00,"Dalehefte Inger Marie","CK F1 018 sem"
"-PED524 sem",2015-09-23,14:15,2015-09-23,16:00,"Dalehefte Inger Marie","CK F1 018 sem"
"-PED523 for",2015-09-24,09:15,2015-09-24,15:00,"Tveit Anne Dorthe","CK 46 207 sem"
"-PED522 for",2015-09-24,11:15,2015-09-24,13:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED522 sem",2015-09-24,13:15,2015-09-24,15:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED524 for",2015-09-30,12:15,2015-09-30,14:00,"Dalehefte Inger Marie","CK F1 018 sem"
"-PED524 sem",2015-09-30,14:15,2015-09-30,16:00,"Dalehefte Inger Marie","CK F1 018 sem"
"-PED523 for",2015-10-01,09:15,2015-10-01,15:00,"Tveit Anne Dorthe","CK 46 207 sem"
"-PED523 for",2015-10-08,09:15,2015-10-08,15:00,"Tveit Anne Dorthe","CK 46 207 sem"
"-PED522 for",2015-10-08,11:15,2015-10-08,13:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED522 sem",2015-10-08,13:15,2015-10-08,15:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED524 for",2015-10-14,12:15,2015-10-14,14:00,"Dalehefte Inger Marie","CK F1 018 sem"
"-PED524 sem",2015-10-14,14:15,2015-10-14,16:00,"Dalehefte Inger Marie","CK F1 018 sem"
"-PED523 for",2015-10-15,09:15,2015-10-15,15:00,"Tveit Anne Dorthe","CK 46 207 sem"
"-PED522 for",2015-10-15,11:15,2015-10-15,13:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED522 sem",2015-10-15,13:15,2015-10-15,15:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED524 for",2015-10-21,12:15,2015-10-21,14:00,"Dalehefte Inger Marie","CK F1 018 sem"
"-PED524 sem",2015-10-21,14:15,2015-10-21,16:00,"Dalehefte Inger Marie","CK F1 018 sem"
"-PED523 for",2015-10-22,09:15,2015-10-22,15:00,"Tveit Anne Dorthe","CK 46 207 sem"
