Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-PED522 for",2015-08-13,11:15,2015-08-13,13:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED522 sem",2015-08-13,13:15,2015-08-13,15:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED525 for",2015-08-17,09:15,2015-08-17,12:00,"Thygesen Ragnar","CK 46 207 sem"
"-PED525 for",2015-08-18,12:15,2015-08-18,15:00,"Thygesen Ragnar","CK 46 207 sem"
"-PED523 for",2015-08-20,09:15,2015-08-20,15:00,"Tveit Anne Dorthe","CK 46 207 sem"
"-PED522 for",2015-08-20,11:15,2015-08-20,13:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED522 sem",2015-08-20,13:15,2015-08-20,15:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED525 for",2015-08-24,09:15,2015-08-24,12:00,"Thygesen Ragnar","CK 46 207 sem"
"-PED525 for",2015-08-25,12:15,2015-08-25,15:00,"Thygesen Ragnar","CK 46 207 sem"
"-PED523 for",2015-08-27,09:15,2015-08-27,15:00,"Tveit Anne Dorthe","CK 46 207 sem"
"-PED522 for",2015-08-27,11:15,2015-08-27,13:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED522 sem",2015-08-27,13:15,2015-08-27,15:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED525 for",2015-08-31,09:15,2015-08-31,12:00,"Thygesen Ragnar","CK 46 207 sem"
"-PED525 for",2015-09-01,12:15,2015-09-01,15:00,"Thygesen Ragnar","CK 46 207 sem"
"-PED523 for",2015-09-03,09:15,2015-09-03,15:00,"Tveit Anne Dorthe","CK 46 207 sem"
"-PED522 for",2015-09-03,11:15,2015-09-03,13:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED522 sem",2015-09-03,13:15,2015-09-03,15:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED525 for",2015-09-07,09:15,2015-09-07,12:00,"Thygesen Ragnar","CK 46 207 sem"
"-PED525 for",2015-09-08,12:15,2015-09-08,15:00,"Thygesen Ragnar","CK 46 207 sem"
"-PED523 for",2015-09-10,09:15,2015-09-10,15:00,"Tveit Anne Dorthe","CK 46 207 sem"
"-PED522 for",2015-09-10,11:15,2015-09-10,13:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED522 sem",2015-09-10,13:15,2015-09-10,15:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED525 for",2015-09-14,09:15,2015-09-14,12:00,"Thygesen Ragnar","CK 46 207 sem"
"-PED525 for",2015-09-15,12:15,2015-09-15,15:00,"Thygesen Ragnar","CK 46 207 sem"
"-PED523 for",2015-09-17,09:15,2015-09-17,15:00,"Tveit Anne Dorthe","CK 46 207 sem"
"-PED522 for",2015-09-17,11:15,2015-09-17,13:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED522 sem",2015-09-17,13:15,2015-09-17,15:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED525 for",2015-09-21,09:15,2015-09-21,12:00,"Thygesen Ragnar","CK 46 207 sem"
"-PED525 for",2015-09-22,12:15,2015-09-22,15:00,"Thygesen Ragnar","CK 46 207 sem"
"-PED523 for",2015-09-24,09:15,2015-09-24,15:00,"Tveit Anne Dorthe","CK 46 207 sem"
"-PED522 for",2015-09-24,11:15,2015-09-24,13:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED522 sem",2015-09-24,13:15,2015-09-24,15:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED523 for",2015-10-01,09:15,2015-10-01,15:00,"Tveit Anne Dorthe","CK 46 207 sem"
"-PED525 for",2015-10-05,09:15,2015-10-05,12:00,"Thygesen Ragnar","CK 46 207 sem"
"-PED525 for",2015-10-06,12:15,2015-10-06,15:00,"Thygesen Ragnar","CK 46 207 sem"
"-PED523 for",2015-10-08,09:15,2015-10-08,15:00,"Tveit Anne Dorthe","CK 46 207 sem"
"-PED522 for",2015-10-08,11:15,2015-10-08,13:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED522 sem",2015-10-08,13:15,2015-10-08,15:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED525 for",2015-10-12,09:15,2015-10-12,12:00,"Thygesen Ragnar","CK 46 207 sem"
"-PED525 for",2015-10-13,12:15,2015-10-13,15:00,"Thygesen Ragnar","CK 46 207 sem"
"-PED523 for",2015-10-15,09:15,2015-10-15,15:00,"Tveit Anne Dorthe","CK 46 207 sem"
"-PED522 for",2015-10-15,11:15,2015-10-15,13:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED522 sem",2015-10-15,13:15,2015-10-15,15:00,"Eggen Astrid Birgitte, Willbergh Ilmi","CK 46 211 sem"
"-PED525 for",2015-10-19,09:15,2015-10-19,12:00,"Thygesen Ragnar","CK 46 207 sem"
"-PED525 for",2015-10-20,12:15,2015-10-20,15:00,"Thygesen Ragnar","CK 46 207 sem"
