Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-NAT101/NAT102",2015-08-12,08:15,2015-08-12,12:00,"Lien Anne","CK 48 113 sem"
"-NAT102/NAT101",2015-08-12,08:15,2015-08-12,12:00,"Lien Anne","CK 48 113 sem"
"-KR-111/KR-112",2015-08-14,09:15,2015-08-14,13:00,"Repstad, Kari","CK 46 308 sem"
"-KR-112/KR-111",2015-08-14,09:15,2015-08-14,13:00,"Repstad, Kari","CK 46 308 sem"
"DR-104/DR-105 forel man (sammen med DR-118)",2015-08-17,12:15,2015-08-17,15:00,"Bjørkvik,Anne","CK GK 001 sem"
"-ERN109/ERN110",2015-08-17,13:15,2015-08-17,16:00,"Røed Margrethe","CK 46 134 sem"
"-ERN110/ERN109",2015-08-17,13:15,2015-08-17,16:00,"Røed Margrethe","CK 46 134 sem"
"-NO-118/ NO-119",2015-08-17,13:15,2015-08-17,17:00,"Flaten Tom, Johannessen Oddbjørn","CK 48 113 sem"
"-NO-119/ NO-118",2015-08-17,13:15,2015-08-17,17:00,"Flaten Tom, Johannessen Oddbjørn","CK 48 113 sem"
"-HI-108/HI-109",2015-08-18,09:15,2015-08-18,13:00,"Justvik Nils Martinius, Sødal Terje","CK 48 114 sem"
"-HI-109/HI-108",2015-08-18,09:15,2015-08-18,13:00,"Justvik Nils Martinius, Sødal Terje","CK 48 114 sem"
"MU-111/112 tirs",2015-08-18,12:15,2015-08-18,15:00,"Christensen Jorun","CK G1 020"
"MU-112/111tirs",2015-08-18,12:15,2015-08-18,15:00,"Christensen Jorun","CK G1 020"
"-SV-110/SV-109",2015-08-18,13:15,2015-08-18,17:00,"Skjølberg Katja H-W","CK D3 054 sem"
"-SV-109/SV-110",2015-08-18,13:15,2015-08-18,17:00,"Skjølberg Katja H-W","CK D3 054 sem"
"-SE-102/103 ",2015-08-18,17:15,2015-08-18,21:00,"Thorsen Gunnar","CK B2 006 aud"
"-SE-103/102",2015-08-18,17:15,2015-08-18,21:00,"Thorsen Gunnar","CK B2 006 aud"
"-NAT101/NAT102",2015-08-19,08:15,2015-08-19,12:00,"Lien Anne","CK 48 113 sem"
"-NAT102/NAT101",2015-08-19,08:15,2015-08-19,12:00,"Lien Anne","CK 48 113 sem"
"-FR-107/SPA100/SPA108/TY-110",2015-08-19,09:15,2015-08-19,11:00,"","CK 48 108 sem"
"-SPA100/SPA108/TY-110/FR-107",2015-08-19,09:15,2015-08-19,11:00,"","CK 48 108 sem"
"-TY-110/SPA100/FR-107/SPA108",2015-08-19,09:15,2015-08-19,11:00,"Franz Barbara Gabriele","CK 48 108 sem"
"KH-107/KH-108 NB! Detaljert semesterplan deles ut på første samling 19.08",2015-08-19,09:15,2015-08-19,14:00,"","CK GU 038"
"DR-104/DR-105 forel ons (sammen med DR-118)",2015-08-19,10:15,2015-08-19,14:00,"Bjørkvik,Anne","CK GK 001 sem"
"-SPA100/SPA108",2015-08-19,11:15,2015-08-19,13:00,"Drange Eli-Marie","CK 46 135 sem"
"-TY-110",2015-08-19,11:15,2015-08-19,13:00,"Franz Barbara Gabriele","CK 46 134 sem"
"-KR-111/KR-112",2015-08-21,09:15,2015-08-21,13:00,"Repstad, Kari","CK 46 308 sem"
"-KR-112/KR-111",2015-08-21,09:15,2015-08-21,13:00,"Repstad, Kari","CK 46 308 sem"
"-EN-108/EN-109",2015-08-24,09:15,2015-08-24,13:00,"Hangeland Hilde, Hannaas Inger Lise, Hasund Ingrid Kristine","CK 48 113 sem"
"-EN-109/EN-108",2015-08-24,09:15,2015-08-24,13:00,"Hangeland Hilde, Hannaas Inger Lise, Hasund Ingrid Kristine","CK 48 113 sem"
"DR-104/DR-105 forel man (sammen med DR-118)",2015-08-24,12:15,2015-08-24,15:00,"Bjørkvik,Anne","CK GK 001 sem"
"-ERN109/ERN110",2015-08-24,13:15,2015-08-24,16:00,"Røed Margrethe","CK 46 134 sem"
