Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-PED328 for tor uke 33",2015-08-13,17:15,2015-08-13,21:00,"Wille Torstein","CK 46 216 sem"
"-PED328 for fre uke 33.35.39.45",2015-08-14,09:15,2015-08-14,15:00,"Wille Torstein","CK F2 004 sem"
"-PED328 sem tor uke 35.39.45",2015-08-27,17:15,2015-08-27,21:00,"Wille Torstein","CK 46 216 sem, CK 46 210 sem, CK 46 211 sem"
"-PED328 for fre uke 33.35.39.45",2015-08-28,09:15,2015-08-28,15:00,"Wille Torstein","CK F2 004 sem"
"-PED328 sem tor uke 35.39.45",2015-09-24,17:15,2015-09-24,21:00,"Wille Torstein","CK 46 216 sem, CK 46 210 sem, CK 46 211 sem"
"-PED328 for fre uke 33.35.39.45",2015-09-25,09:15,2015-09-25,15:00,"Wille Torstein","CK F2 004 sem"
"-PED328 sem tor uke 35.39.45",2015-11-05,17:15,2015-11-05,21:00,"Wille Torstein","CK 46 216 sem, CK 46 210 sem, CK 46 211 sem"
"-PED328 for fre uke 33.35.39.45",2015-11-06,09:15,2015-11-06,15:00,"Wille Torstein","CK F2 004 sem"
"-PED328 for tor uke 49",2015-12-03,17:15,2015-12-03,21:00,"Wille Torstein","CK B2 001 aud"
"-PED328 for fre uke 49",2015-12-04,09:15,2015-12-04,15:00,"Wille Torstein","CK B2 001 aud"
