Subject,Start Date,Start Time,End Date,End Time,Description,Location
"PSY418-G uke 34 grom",2015-08-17,09:15,2015-08-17,15:00,"Larsen, Inger Beate","CG C3 101, CG C3 093, CG C3 090, CG C3 092, CG C4 077, CG A2 071"
"PSY418-G uke 34",2015-08-18,09:15,2015-08-18,15:00,"Larsen, Inger Beate","CG C3 072 aud"
"PSY418-G uke 34 grom",2015-08-18,09:15,2015-08-18,15:00,"Larsen, Inger Beate","CG C3 101, CG C3 093, CG C3 090, CG C3 092, CG C4 077, CG A2 071"
"PSY418-G uke 34",2015-08-19,09:15,2015-08-19,15:00,"Larsen, Inger Beate","CG C3 072 aud"
"PSY418-G uke 34 grom onsdag",2015-08-19,09:15,2015-08-19,15:00,"Larsen, Inger Beate","CG C3 101, CG C3 093, CG C3 090, CG C3 092, CG C4 077, CG A2 144"
"PSY418-G uke 34 grom",2015-08-20,09:15,2015-08-20,15:00,"Larsen, Inger Beate","CG C3 101, CG C3 093, CG C3 090, CG C3 092, CG C4 077, CG A2 071"
"PSY418-G uke 34",2015-08-21,09:15,2015-08-21,15:00,"Larsen, Inger Beate","CG C3 072 aud"
"PSY418-G uke 34 grom",2015-08-21,09:15,2015-08-21,15:00,"Larsen, Inger Beate","CG C3 101, CG C3 093, CG C3 090, CG C3 092, CG C4 077, CG A2 071"
"PSY418-G 10.09",2015-09-10,09:15,2015-09-10,12:00,"Larsen, Inger Beate","CG A2 135 aud"
"PSY419/PSY915-G 15.09",2015-09-15,08:15,2015-09-15,14:00,"Thorød Anne Brita","CG x Auditorium FoU-bygget *"
"PSY419/PSY915-G 16.09",2015-09-16,10:15,2015-09-16,12:00,"Thorød Anne Brita","CG x Auditorium FoU-bygget *"
"PSY419/PSY915-G 17.09",2015-09-17,08:15,2015-09-17,14:00,"Thorød Anne Brita","CG A2 135 aud"
"PSY419/PSY915-G 12.10",2015-10-12,08:15,2015-10-12,14:00,"Thorød Anne Brita","CG x Auditorium FoU-bygget *"
"PSY419/PSY915-G 13.10 Kr.sand",2015-10-13,08:15,2015-10-13,14:00,"Thorød, Anne Brita","CK 46 138, CK 46 139, CK 46 215 sem, CK 46 134 sem, CK 46 211 sem"
"PSY419/PSY915-G 14.10 Kr.sand",2015-10-14,08:15,2015-10-14,14:00,"Thorød, Anne Brita","CK 46 138, CK 46 139, CK 46 137 sem, CK 46 134 sem, CK 46 135 sem"
"PSY419/PSY915-G 15.10 Kr.sand",2015-10-15,09:15,2015-10-15,14:00,"Thorød, Anne Brita","CK B1 001 aud"
"PSY419/PSY915-G 10.11",2015-11-10,08:15,2015-11-10,14:00,"Thorød Anne Brita","CG A2 135 aud"
"PSY419/PSY915-G 11.11",2015-11-11,08:15,2015-11-11,14:00,"Thorød Anne Brita","CG A2 135 aud"
"PSY419/PSY915-G 12.11",2015-11-12,10:15,2015-11-12,16:00,"Thorød Anne Brita","CG A2 135 aud"
