Subject,Start Date,Start Time,End Date,End Time,Description,Location
"PSY914-G 25.08",2015-08-25,09:15,2015-08-25,14:00,"Thorød, Anne Brita","CK 46 134 sem"
"PSY914-G 26.08",2015-08-26,09:15,2015-08-26,14:00,"Thorød, Anne Brita","CK 46 210 sem"
".PSY905-G 27.08",2015-08-27,09:15,2015-08-27,12:00,"Angel Bjørn Øystein, Eide Solveig Botnen, Sagatun Solveig","CK B2 014 sem"
".PSY905-G 27.08 gr",2015-08-27,13:15,2015-08-27,15:00,"Angel Bjørn Øystein, Eide Solveig Botnen, Sagatun Solveig","CK HK 032, CK HK 033, CK HK 034"
".PSY905-G 28.08",2015-08-28,09:15,2015-08-28,12:00,"Angel Bjørn Øystein, Eide Solveig Botnen, Sagatun Solveig","CK B2 014 sem"
".PSY905-G 28.08 gr",2015-08-28,13:15,2015-08-28,15:00,"Angel Bjørn Øystein, Eide Solveig Botnen, Sagatun Solveig","CK HK 032, CK HK 033, CK HK 034"
"PSY914-G 22.09",2015-09-22,09:15,2015-09-22,14:00,"Thorød, Anne Brita","CK 46 134 sem"
"PSY914-G 23.09",2015-09-23,09:15,2015-09-23,14:00,"Thorød, Anne Brita","CK 46 210 sem"
".PSY905-G/SO-406 for/sem u 39 tor",2015-09-24,09:15,2015-09-24,12:00,"Angel Bjørn Øystein, Eide Solveig Botnen, Sagatun Solveig","CK H1 023 sem"
".PSY905-G/SO-406 for/sem u 39 fre",2015-09-25,09:15,2015-09-25,12:00,"Angel Bjørn Øystein, Eide Solveig Botnen, Sagatun Solveig","CK H1 023 sem"
".PSY905-G/SO-406 for/sem u 41 tor",2015-10-08,09:15,2015-10-08,15:00,"Angel Bjørn Øystein, Eide Solveig Botnen, Sagatun Solveig","CK H1 023 sem"
".PSY905-G/SO-406 for/sem u 41 fre",2015-10-09,09:15,2015-10-09,16:00,"Angel Bjørn Øystein, Eide Solveig Botnen, Sagatun Solveig","CK H1 023 sem"
"PSY914-G 20.10",2015-10-20,09:15,2015-10-20,14:00,"Thorød, Anne Brita","CK 46 134 sem"
"PSY914-G 21.10",2015-10-21,09:15,2015-10-21,15:00,"Thorød Anne Brita","CG C2 021"
".PSY905-G 5.11",2015-11-05,09:15,2015-11-05,15:00,"Angel Bjørn Øystein, Eide Solveig Botnen, Sagatun Solveig","CK H1 023 sem"
"PSY914-G 17.11",2015-11-17,09:15,2015-11-17,14:00,"Thorød, Anne Brita","CK 46 134 sem"
"PSY914-G 18.11",2015-11-18,09:15,2015-11-18,15:00,"Thorød, Anne Brita","CK 46 134 sem"
