Subject,Start Date,Start Time,End Date,End Time,Description,Location
".JUR200 08/17 for",2015-08-17,09:15,2015-08-17,12:00,"Nilssen Siri Helene Puntervold","CK B2 003 aud"
".JUR200 08/19 for",2015-08-19,09:15,2015-08-19,12:00,"Nilssen Siri Helene Puntervold","CK B2 003 aud"
".JUR200 arb.gr 1+2+3",2015-08-20,10:15,2015-08-20,12:00,"","CK J2 009 sem, CK 47 124 sem (ikke PC), CK 48 013 sem"
".JUR200 arb.gr 4+5+6",2015-08-20,12:15,2015-08-20,14:00,"","CK 50 138 sem, CK D3 018 sem, CK 48 013 sem"
".JUR200 08/26 for",2015-08-26,09:15,2015-08-26,12:00,"Nilssen Siri Helene Puntervold","CK B2 003 aud"
".JUR200 arb.gr 1+2+3",2015-08-27,10:15,2015-08-27,12:00,"","CK J2 009 sem, CK 47 124 sem (ikke PC), CK 48 013 sem"
".JUR200 arb.gr 4+5+6",2015-08-27,12:15,2015-08-27,14:00,"","CK 50 138 sem, CK D3 018 sem, CK 48 013 sem"
".JUR200 09/02 for",2015-09-02,09:15,2015-09-02,12:00,"Nilssen Siri Helene Puntervold","CK B2 003 aud"
".JUR200 arb.gr 1+2+3",2015-09-03,10:15,2015-09-03,12:00,"","CK J2 009 sem, CK 47 124 sem (ikke PC), CK 48 013 sem"
".JUR200 arb.gr 4+5+6",2015-09-03,12:15,2015-09-03,14:00,"","CK 50 138 sem, CK D3 018 sem, CK 48 013 sem"
".JUR200 09/04 storgr. 1",2015-09-04,10:15,2015-09-04,12:00,"","CK HU 062 sem"
".JUR200 09/04 storgr. 2",2015-09-04,12:15,2015-09-04,14:00,"","CK HU 062 sem"
".JUR200 09/09 for",2015-09-09,09:15,2015-09-09,12:00,"Nilssen Siri Helene Puntervold","CK B2 003 aud"
".JUR200 09/16 for",2015-09-16,09:15,2015-09-16,12:00,"Nilssen Siri Helene Puntervold","CK B2 003 aud"
".JUR200 arb.gr 1+2+3",2015-09-17,10:15,2015-09-17,12:00,"","CK J2 009 sem, CK 47 124 sem (ikke PC), CK 48 013 sem"
".JUR200 arb.gr 4+5+6",2015-09-17,12:15,2015-09-17,14:00,"","CK 50 138 sem, CK D3 018 sem, CK 48 013 sem"
".JUR200 09/18 for",2015-09-18,09:15,2015-09-18,12:00,"Nilssen Siri Helene Puntervold","CK B3 001 aud"
".JUR200 arb.gr 1+2+3",2015-09-24,10:15,2015-09-24,12:00,"","CK J2 009 sem, CK 47 124 sem (ikke PC), CK 48 013 sem"
".JUR200 arb.gr 4+5+6",2015-09-24,12:15,2015-09-24,14:00,"","CK 50 138 sem, CK D3 018 sem, CK 48 013 sem"
".JUR200 09/25 storgr. 1",2015-09-25,10:15,2015-09-25,12:00,"","CK HU 062 sem"
".JUR200 09/25 storgr. 2",2015-09-25,12:15,2015-09-25,14:00,"","CK HU 062 sem"
".JUR200 10/05 for",2015-10-05,09:15,2015-10-05,12:00,"Nilssen Siri Helene Puntervold","CK B2 003 aud"
".JUR201 10/14 for",2015-10-13,09:15,2015-10-13,12:00,"Bragdø-Ellenes Sunniva","CK B2 006 aud"
".JUR201 10/21 for",2015-10-21,09:15,2015-10-21,13:00,"Bragdø-Ellenes Sunniva","CK B3 007 aud"
".JUR201 uke 43/45/47 arb.gr. (1+2+3)",2015-10-22,10:15,2015-10-22,12:00,"","CK 47 124 sem (ikke PC), CK 48 002 sem, CK 48 007B sem"
".JUR201 uke 43/45/47 arb.gr. (4+5+6)",2015-10-22,12:15,2015-10-22,14:00,"","CK 47 124 sem (ikke PC), CK 48 002 sem, CK 48 007B sem"
".JUR201 10/27 for",2015-10-27,09:15,2015-10-27,13:00,"Bragdø-Ellenes Sunniva","CK B2 003 aud"
".JUR201 10/29 for",2015-10-29,09:15,2015-10-29,13:00,"Bragdø-Ellenes Sunniva","CK B3 007 aud"
".JUR201 uke 44/46 arb.gr. (1+2+3)",2015-10-30,10:15,2015-10-30,12:00,"","CK 47 124 sem (ikke PC), CK 48 002 sem, CK 48 007B sem"
".JUR201 uke 44/46 arb.gr. (4+5+6)",2015-10-30,12:15,2015-10-30,14:00,"","CK 47 124 sem (ikke PC), CK 48 002 sem, CK 48 007B sem"
".JUR201 11/04 for",2015-11-04,09:15,2015-11-04,13:00,"Bragdø-Ellenes Sunniva","CK B2 003 aud"
".JUR201 uke 43/45/47 arb.gr. (1+2+3)",2015-11-05,10:15,2015-11-05,12:00,"","CK 47 124 sem (ikke PC), CK 48 002 sem, CK 48 007B sem"
".JUR201 uke 43/45/47 arb.gr. (4+5+6)",2015-11-05,12:15,2015-11-05,14:00,"","CK 47 124 sem (ikke PC), CK 48 002 sem, CK 48 007B sem"
".JUR201 11/06 storgr. 1",2015-11-06,10:15,2015-11-06,12:00,"","CK B3 007 aud"
".JUR201 11/06 storgr. 2",2015-11-06,12:15,2015-11-06,14:00,"","CK B3 007 aud"
".JUR201 11/10 for HCB",2015-11-10,08:15,2015-11-10,14:00,"Bragdø-Ellenes Sunniva","CK B2 003 aud"
".JUR201 11/11 for HCB",2015-11-11,08:15,2015-11-11,14:00,"Bragdø-Ellenes Sunniva","CK B2 003 aud"
".JUR201 11/12 for HCB",2015-11-12,08:15,2015-11-12,14:00,"Bragdø-Ellenes Sunniva","CK B3 007 aud"
".JUR201 uke 44/46 arb.gr. (1+2+3)",2015-11-13,10:15,2015-11-13,12:00,"","CK 47 124 sem (ikke PC), CK 48 002 sem, CK 48 007B sem"
".JUR201 uke 44/46 arb.gr. (4+5+6)",2015-11-13,12:15,2015-11-13,14:00,"","CK 47 124 sem (ikke PC), CK 48 002 sem, CK 48 007B sem"
".JUR201 11/18 for",2015-11-18,09:15,2015-11-18,13:00,"Bragdø-Ellenes Sunniva","CK B3 007 aud"
".JUR201 uke 43/45/47 arb.gr. (1+2+3)",2015-11-19,10:15,2015-11-19,12:00,"","CK 47 124 sem (ikke PC), CK 48 002 sem, CK 48 007B sem"
".JUR201 uke 43/45/47 arb.gr. (4+5+6)",2015-11-19,12:15,2015-11-19,14:00,"","CK 47 124 sem (ikke PC), CK 48 002 sem, CK 48 007B sem"
".JUR201 11/27 storgr. 1",2015-11-27,10:15,2015-11-27,12:00,"","CK B3 007 aud"
".JUR201 11/27 storgr. 2",2015-11-27,12:15,2015-11-27,14:00,"","CK B3 007 aud"
".JUR201 12/02 for",2015-12-02,09:15,2015-12-02,13:00,"Bragdø-Ellenes Sunniva","CK B3 007 aud"
