Subject,Start Date,Start Time,End Date,End Time,Description,Location
".IS-100 for 1",2015-08-10,14:15,2015-08-10,16:00,"Nilsen Hallgeir","CK B2 003 aud"
".IS-100 for 2",2015-08-11,14:15,2015-08-11,16:00,"Nilsen Hallgeir","CK J1 064 aud"
".IS-108-1 for Wed ",2015-08-12,11:15,2015-08-12,15:00,"Henriksen Helle Zinner","CK D3 018 sem"
".IS-112-1 infomøte oppstart",2015-08-14,10:15,2015-08-14,11:00,"","CK HU 023 sem"
".IS-100 for 1",2015-08-17,14:15,2015-08-17,16:00,"Nilsen Hallgeir","CK B2 003 aud"
".IS-100 for 2",2015-08-18,14:15,2015-08-18,16:00,"Nilsen Hallgeir","CK J1 064 aud"
".IS-112-1 for",2015-08-21,09:15,2015-08-21,12:00,"","CK HU 023 sem"
".IS-100 for 1",2015-08-24,14:15,2015-08-24,16:00,"Nilsen Hallgeir","CK B2 003 aud"
".IS-100 for 2",2015-08-25,14:15,2015-08-25,16:00,"Nilsen Hallgeir","CK J1 064 aud"
".IS-111-1 for",2015-08-26,15:15,2015-08-26,19:00,"Majchrzak Tim Alexander","CK B1 001 aud"
".IS-111-1 gr",2015-08-27,08:15,2015-08-27,11:00,"Majchrzak Tim Alexander","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".IS-112-1 for",2015-08-28,09:15,2015-08-28,12:00,"","CK HU 023 sem"
".IS-100 for 1",2015-08-31,14:15,2015-08-31,16:00,"Nilsen Hallgeir","CK B2 003 aud"
".IS-100 for 2",2015-09-01,14:15,2015-09-01,16:00,"Nilsen Hallgeir","CK J1 064 aud"
".IS-111-1 for",2015-09-02,15:15,2015-09-02,19:00,"Majchrzak Tim Alexander","CK B1 001 aud"
".IS-111-1 gr",2015-09-03,08:15,2015-09-03,11:00,"Majchrzak Tim Alexander","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".IS-112-1 for",2015-09-04,09:15,2015-09-04,12:00,"","CK HU 023 sem"
".IS-100 for 1",2015-09-07,14:15,2015-09-07,16:00,"Nilsen Hallgeir","CK B2 003 aud"
".IS-108-1 for Mon",2015-09-07,14:15,2015-09-07,18:00,"Henriksen Helle Zinner","CK D3 018 sem"
".IS-100 for 2",2015-09-08,14:15,2015-09-08,16:00,"Nilsen Hallgeir","CK J1 064 aud"
".IS-108-1 for Wed ",2015-09-09,11:15,2015-09-09,15:00,"Henriksen Helle Zinner","CK D3 018 sem"
".IS-111-1 for",2015-09-09,15:15,2015-09-09,19:00,"Majchrzak Tim Alexander","CK B1 001 aud"
".IS-111-1 gr",2015-09-10,08:15,2015-09-10,11:00,"Majchrzak Tim Alexander","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".IS-112-1 for",2015-09-11,09:15,2015-09-11,12:00,"","CK HU 023 sem"
".IS-100 for 1",2015-09-14,14:15,2015-09-14,16:00,"Nilsen Hallgeir","CK B2 003 aud"
".IS-100 for 2",2015-09-15,14:15,2015-09-15,16:00,"Nilsen Hallgeir","CK J1 064 aud"
".IS-111-1 for",2015-09-16,15:15,2015-09-16,19:00,"Majchrzak Tim Alexander","CK B1 001 aud"
".IS-111-1 gr",2015-09-17,08:15,2015-09-17,11:00,"Majchrzak Tim Alexander","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".IS-112-1 for",2015-09-18,09:15,2015-09-18,12:00,"","CK HU 023 sem"
".IS-100 for 1",2015-09-21,14:15,2015-09-21,16:00,"Nilsen Hallgeir","CK B2 003 aud"
".IS-108-1 for Mon",2015-09-21,14:15,2015-09-21,18:00,"Henriksen Helle Zinner","CK D3 018 sem"
".IS-100 for 2",2015-09-22,14:15,2015-09-22,16:00,"Nilsen Hallgeir","CK J1 064 aud"
".IS-108-1 for Wed ",2015-09-23,11:15,2015-09-23,15:00,"Henriksen Helle Zinner","CK D3 018 sem"
".IS-111-1 for",2015-09-23,15:15,2015-09-23,19:00,"Majchrzak Tim Alexander","CK B1 001 aud"
".IS-111-1 gr",2015-09-24,08:15,2015-09-24,11:00,"Majchrzak Tim Alexander","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".IS-112-1 for",2015-09-25,09:15,2015-09-25,12:00,"","CK HU 023 sem"
".IS-100 for 1",2015-09-28,14:15,2015-09-28,16:00,"Nilsen Hallgeir","CK B2 003 aud"
".IS-100 for 2",2015-09-29,14:15,2015-09-29,16:00,"Nilsen Hallgeir","CK J1 064 aud"
".IS-111-1 for",2015-09-30,15:15,2015-09-30,19:00,"Majchrzak Tim Alexander","CK B1 001 aud"
".IS-111-1 gr",2015-10-01,08:15,2015-10-01,11:00,"Majchrzak Tim Alexander","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".IS-112-1 for",2015-10-02,09:15,2015-10-02,12:00,"","CK HU 023 sem"
".IS-100 for 1",2015-10-05,14:15,2015-10-05,16:00,"Nilsen Hallgeir","CK B2 003 aud"
".IS-100 for 2",2015-10-06,14:15,2015-10-06,16:00,"Nilsen Hallgeir","CK J1 064 aud"
".IS-111-1 for",2015-10-07,15:15,2015-10-07,19:00,"Majchrzak Tim Alexander","CK B1 001 aud"
".IS-111-1 gr",2015-10-08,08:15,2015-10-08,11:00,"Majchrzak Tim Alexander","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".IS-112-1 for",2015-10-09,09:15,2015-10-09,12:00,"","CK HU 023 sem"
".IS-100 for 1",2015-10-12,14:15,2015-10-12,16:00,"Nilsen Hallgeir","CK B2 003 aud"
".IS-100 for 2",2015-10-13,14:15,2015-10-13,16:00,"Nilsen Hallgeir","CK J1 064 aud"
".IS-111-1 for",2015-10-14,15:15,2015-10-14,19:00,"Majchrzak Tim Alexander","CK B1 001 aud"
".IS-111-1 gr",2015-10-15,08:15,2015-10-15,11:00,"Majchrzak Tim Alexander","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".IS-100 for 1",2015-10-19,14:15,2015-10-19,16:00,"Nilsen Hallgeir","CK B2 003 aud"
