Subject,Start Date,Start Time,End Date,End Time,Description,Location
".JU-104 for ",2015-08-12,09:15,2015-08-12,12:00,"Bjerkås Trygve","CK B1 018 aud"
".JU-104 gr ",2015-08-12,15:15,2015-08-12,17:00,"Bjerkås Trygve","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 119, CK 15 118, CK 15 117, CK 15 116, CK 15 115, CK 15 114"
".BE-110-1 for ",2015-08-18,09:15,2015-08-18,12:00,"Nilssen Trygve Kastberg","CK B1 018 aud"
".BE-110-1 gr ",2015-08-18,12:15,2015-08-18,15:00,"Nilssen Trygve Kastberg","CK B3 019, CK B3 021, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029, CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005, CK B3 012, CK B3 013, CK B3 014, CK B3 016, CK B3 017, CK B3 018"
".JU-104 for ",2015-08-19,09:15,2015-08-19,12:00,"Bjerkås Trygve","CK B1 018 aud"
".JU-104 gr",2015-08-19,15:15,2015-08-19,17:00,"Bjerkås Trygve","CK 50 140, CK 50 141, CK 50 142, CK 50 144, CK 50 145, CK 50 148, CK 50 149, CK 50 150, CK 51 101, CK 51 102, CK 51 103"
".JU-104 gr ",2015-08-19,15:15,2015-08-19,17:00,"Bjerkås Trygve","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 119, CK 15 118, CK 15 117, CK 15 116, CK 15 115, CK 15 114"
".SE-109 for ",2015-08-20,11:15,2015-08-20,13:00,"Hunnes Arngrim","CK B1 018 aud"
".ORG109 for uke 35",2015-08-24,09:15,2015-08-24,13:00,"Kvinen Tor Geir","CK B2 001 aud"
".ORG109 gr ",2015-08-24,13:15,2015-08-24,15:00,"Kvinen Tor Geir","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".BE-110-1 for ",2015-08-25,09:15,2015-08-25,12:00,"Nilssen Trygve Kastberg","CK B1 018 aud"
".BE-110-1 gr ",2015-08-25,12:15,2015-08-25,15:00,"Nilssen Trygve Kastberg","CK B3 019, CK B3 021, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029, CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005, CK B3 012, CK B3 013, CK B3 014, CK B3 016, CK B3 017, CK B3 018"
".JU-104 for ",2015-08-26,09:15,2015-08-26,12:00,"Bjerkås Trygve","CK B1 018 aud"
".JU-104 gr",2015-08-26,15:15,2015-08-26,17:00,"Bjerkås Trygve","CK 50 140, CK 50 141, CK 50 142, CK 50 144, CK 50 145, CK 50 148, CK 50 149, CK 50 150, CK 51 101, CK 51 102, CK 51 103"
".JU-104 gr ",2015-08-26,15:15,2015-08-26,17:00,"Bjerkås Trygve","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 119, CK 15 118, CK 15 117, CK 15 116, CK 15 115, CK 15 114"
".SE-109 for ",2015-08-27,11:15,2015-08-27,13:00,"Hunnes Arngrim","CK B1 018 aud"
".ORG109 for uke 36",2015-08-31,09:15,2015-08-31,13:00,"Kvinen Tor Geir","CK B2 001 aud"
".ORG109 gr ",2015-08-31,13:15,2015-08-31,15:00,"Kvinen Tor Geir","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".BE-110-1 for ",2015-09-01,09:15,2015-09-01,12:00,"Nilssen Trygve Kastberg","CK B1 018 aud"
".BE-110-1 gr ",2015-09-01,12:15,2015-09-01,15:00,"Nilssen Trygve Kastberg","CK B3 019, CK B3 021, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029, CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005, CK B3 012, CK B3 013, CK B3 014, CK B3 016, CK B3 017, CK B3 018"
".JU-104 for ",2015-09-02,09:15,2015-09-02,12:00,"Bjerkås Trygve","CK B1 018 aud"
".JU-104 gr",2015-09-02,15:15,2015-09-02,17:00,"Bjerkås Trygve","CK 50 140, CK 50 141, CK 50 142, CK 50 144, CK 50 145, CK 50 148, CK 50 149, CK 50 150, CK 51 101, CK 51 102, CK 51 103"
