Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-HI-100 foreles",2015-08-17,08:15,2015-08-17,12:00,"Aase Andreas","CK 46 118 aula/aud"
"-HI-100 foreles",2015-08-24,08:15,2015-08-24,12:00,"Aase Andreas","CK 46 118 aula/aud"
"-HI-100 foreles ekstra uke 35",2015-08-28,12:15,2015-08-28,15:00,"Aase Andreas","CK B1 018 aud"
"-HI-100 foreles",2015-08-31,08:15,2015-08-31,12:00,"Aase Andreas","CK 46 118 aula/aud"
"-HI-100 foreles",2015-09-14,08:15,2015-09-14,12:00,"Aase Andreas","CK 46 118 aula/aud"
"-HI-100 foreles",2015-09-21,08:15,2015-09-21,12:00,"Aase Andreas","CK 46 118 aula/aud"
"-HI-100 foreles",2015-09-28,08:15,2015-09-28,12:00,"Aase Andreas","CK 46 118 aula/aud"
"-HI-100 foreles",2015-10-05,08:15,2015-10-05,12:00,"Aase Andreas","CK 46 118 aula/aud"
"-HI-100 foreles",2015-10-12,08:15,2015-10-12,12:00,"Aase Andreas","CK 46 118 aula/aud"
"-HI-100 foreles",2015-11-02,08:15,2015-11-02,12:00,"Aase Andreas","CK 46 118 aula/aud"
"-HI-100 foreles",2015-11-09,08:15,2015-11-09,12:00,"Aase Andreas","CK 46 118 aula/aud"
"-HI-100 foreles",2015-11-16,08:15,2015-11-16,12:00,"Aase Andreas","CK 46 118 aula/aud"
