Subject,Start Date,Start Time,End Date,End Time,Description,Location
".ME-416 for 15/08/18",2015-08-18,09:15,2015-08-18,12:00,"Ryen Anne","CK B2 006 aud"
"-ET-401/REL414 for tirs 18.08",2015-08-18,13:15,2015-08-18,16:00,"Lysaker Odin","CK 48 108 sem"
"-ET-401/REL414 for",2015-08-19,09:15,2015-08-19,12:00,"Lysaker Odin","CK 48 106 sem"
".ME-416 for 15/08/20",2015-08-20,09:15,2015-08-20,12:00,"Ryen Anne","CK B2 006 aud"
".ME-416 gr 21.08",2015-08-21,10:15,2015-08-21,12:00,"Ryen Anne","CK 47 101, CK 47 102, CK 47 103, CK 47 104"
"-ET-401/REL414 for",2015-08-26,09:15,2015-08-26,12:00,"Lysaker Odin","CK 48 106 sem"
".ME-416 for 15/08/31",2015-08-31,09:15,2015-08-31,12:00,"Ryen Anne","CK B2 006 aud"
".ME-416 gr 31.08",2015-08-31,15:15,2015-08-31,17:00,"Ryen Anne","CK 47 101, CK 47 102, CK 47 103, CK 47 104"
"-ET-401/REL414 for 01.09",2015-09-01,09:15,2015-09-01,12:00,"Lysaker Odin","CK F1 023 sem"
".ME-416 for 15/09/02 ",2015-09-02,09:15,2015-09-02,12:00,"Ryen Anne","CK B2 006 aud"
".ME-416 for 15/09/04",2015-09-04,09:15,2015-09-04,12:00,"Ryen Anne","CK B2 006 aud"
".ME-416 gr 28.09",2015-09-28,13:15,2015-09-28,15:00,"Ryen Anne","CK 47 101, CK 47 102, CK 47 103, CK 47 104"
"-ET-401/REL414 for",2015-10-21,09:15,2015-10-21,12:00,"Lysaker Odin","CK 48 106 sem"
"-ET-401/REL414 for",2015-10-28,09:15,2015-10-28,12:00,"Lysaker Odin","CK 48 106 sem"
"-ET-401/REL414 for",2015-11-04,09:15,2015-11-04,12:00,"Lysaker Odin","CK 48 106 sem"
".ME-416 for 15/11/09",2015-11-09,09:15,2015-11-09,12:00,"Ryen Anne","CK B2 006 aud"
".ME-416 gr 09.11",2015-11-09,13:15,2015-11-09,15:00,"Ryen Anne","CK 47 101, CK 47 102, CK 47 103, CK 47 104"
".ME-416 for 15/11/10",2015-11-10,09:15,2015-11-10,12:00,"Ryen Anne","CK B2 006 aud"
".ME-416 for 15/11/11",2015-11-11,09:15,2015-11-11,12:00,"Ryen Anne","CK B2 006 aud"
"-ET-401/REL414 for 12.11",2015-11-12,09:15,2015-11-12,12:00,"Lysaker Odin","CK F1 018 sem"
"-ET-401/REL414 for 13.11",2015-11-13,09:15,2015-11-13,12:00,"Lysaker Odin","CK 48 106 sem"
"-ET-401/REL414 for 17.11",2015-11-17,09:15,2015-11-17,12:00,"Lysaker Odin","CK F2 008 sem"
