Subject,Start Date,Start Time,End Date,End Time,Description,Location
"SEX400-G uke 35",2015-08-24,09:15,2015-08-24,18:00,"Benestad Pirelli, Esben Ester, Almås, Elsa","CG A2 085 aud"
"SEX400-G uke 35",2015-08-25,09:15,2015-08-25,18:00,"Benestad Pirelli, Esben Ester, Almås, Elsa","CG A2 085 aud"
"SEX400-G uke 35",2015-08-26,09:15,2015-08-26,18:00,"Benestad Pirelli, Esben Ester, Almås, Elsa","CG A2 085 aud"
"SEX400-G uke 35 torsdag kl. 0915-1300",2015-08-27,09:15,2015-08-27,13:00,"Benestad Pirelli, Esben Ester, Almås, Elsa","CG A2 085 aud"
"SEX400-G uke 35 torsdag kl. 1415-1700",2015-08-27,14:15,2015-08-27,17:00,"Benestad Pirelli, Esben Ester, Almås, Elsa","CG C3 072 aud"
"SEX400-G uke 35 fredag",2015-08-28,09:15,2015-08-28,13:00,"Benestad Pirelli, Esben Ester, Almås, Elsa","CG A2 085 aud"
"SEX400-G uke 47",2015-11-16,09:15,2015-11-16,18:00,"Benestad Pirelli, Esben Ester, Almås, Elsa","CG A2 085 aud"
"SEX400-G uke 47",2015-11-17,09:15,2015-11-17,18:00,"Benestad Pirelli, Esben Ester, Almås, Elsa","CG A2 085 aud"
"SEX400-G uke 47",2015-11-18,09:15,2015-11-18,18:00,"Benestad Pirelli, Esben Ester, Almås, Elsa","CG A2 085 aud"
"SEX400-G uke 47 torsdag",2015-11-19,09:15,2015-11-19,18:00,"Benestad Pirelli, Esben Ester, Almås, Elsa","CG A3 025 sem (VER)"
"SEX400-G uke 47 fredag",2015-11-20,09:15,2015-11-20,13:00,"Benestad Pirelli, Esben Ester, Almås, Elsa","CG A2 085 aud"
