Subject,Start Date,Start Time,End Date,End Time,Description,Location
"PED322-G/Forelesning/01",2015-08-17,09:15,2015-08-17,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/02",2015-08-18,09:15,2015-08-18,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/03",2015-08-19,09:15,2015-08-19,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/01",2015-08-24,09:15,2015-08-24,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/02",2015-08-25,09:15,2015-08-25,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/03",2015-08-26,09:15,2015-08-26,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/01",2015-08-31,09:15,2015-08-31,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/02",2015-09-01,09:15,2015-09-01,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/03",2015-09-02,09:15,2015-09-02,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/01",2015-09-07,09:15,2015-09-07,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/02",2015-09-08,09:15,2015-09-08,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/03",2015-09-09,09:15,2015-09-09,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/01",2015-09-14,09:15,2015-09-14,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/02",2015-09-15,09:15,2015-09-15,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/03",2015-09-16,09:15,2015-09-16,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/01",2015-09-21,09:15,2015-09-21,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/02",2015-09-22,09:15,2015-09-22,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/03",2015-09-23,09:15,2015-09-23,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/01",2015-09-28,09:15,2015-09-28,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/02",2015-09-29,09:15,2015-09-29,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/03",2015-09-30,09:15,2015-09-30,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/01",2015-10-05,09:15,2015-10-05,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/02",2015-10-06,09:15,2015-10-06,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/03",2015-10-07,09:15,2015-10-07,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/01",2015-10-19,09:15,2015-10-19,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/02",2015-10-20,09:15,2015-10-20,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/03",2015-10-21,09:15,2015-10-21,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/03",2015-11-11,09:15,2015-11-11,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/01",2015-11-16,09:15,2015-11-16,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/02",2015-11-17,09:15,2015-11-17,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
"PED322-G/Forelesning/03",2015-11-18,09:15,2015-11-18,12:00,"Fennefoss, Anne Tove, Skreland, Lisbeth Ljosdal","CG A2 123 sem"
