Subject,Start Date,Start Time,End Date,End Time,Description,Location
".ORG100/ORG104 for -",2015-08-12,12:15,2015-08-12,14:00,"Thorsvik Jan","CK B1 018 aud"
".ORG100/ORG104 gr -",2015-08-12,14:15,2015-08-12,16:00,"Thorsvik Jan","CK B3 019, CK B3 021, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029, CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122, CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005, CK B3 012, CK B3 013, CK B3 014, CK B3 016, CK B3 017, CK B3 018"
".ME-100 sem",2015-08-13,10:15,2015-08-13,12:00,"Haslerud Gjermund","CK B2 003 aud"
".ME-100 for ",2015-08-13,13:15,2015-08-13,15:00,"Haslerud Gjermund","CK B1 018 aud"
".ME-100 gr ",2015-08-13,15:15,2015-08-13,17:00,"","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".ORG100/ORG104 for -",2015-08-19,12:15,2015-08-19,14:00,"Thorsvik Jan","CK B1 018 aud"
".ORG100/ORG104 gr -",2015-08-19,14:15,2015-08-19,16:00,"Thorsvik Jan","CK B3 019, CK B3 021, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029, CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122, CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005, CK B3 012, CK B3 013, CK B3 014, CK B3 016, CK B3 017, CK B3 018"
".ME-100 sem",2015-08-20,10:15,2015-08-20,12:00,"Haslerud Gjermund","CK B2 003 aud"
".ME-100 for ",2015-08-20,13:15,2015-08-20,15:00,"Haslerud Gjermund","CK B1 018 aud"
".ME-100 gr ",2015-08-20,15:15,2015-08-20,17:00,"","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".PS-101-1 for",2015-08-21,11:15,2015-08-21,13:00,"Kjær Aud-Keila B","CK B1 001 aud"
