Subject,Start Date,Start Time,End Date,End Time,Description,Location
".ME-416 for 15/08/18",2015-08-18,09:15,2015-08-18,12:00,"Ryen Anne","CK B2 006 aud"
".ME-416 for 15/08/20",2015-08-20,09:15,2015-08-20,12:00,"Ryen Anne","CK B2 006 aud"
".ME-416 gr 21.08",2015-08-21,10:15,2015-08-21,12:00,"Ryen Anne","CK 47 101, CK 47 102, CK 47 103, CK 47 104"
".ME-416 for 15/08/31",2015-08-31,09:15,2015-08-31,12:00,"Ryen Anne","CK B2 006 aud"
".ME-416 gr 31.08",2015-08-31,15:15,2015-08-31,17:00,"Ryen Anne","CK 47 101, CK 47 102, CK 47 103, CK 47 104"
".ME-416 for 15/09/02 ",2015-09-02,09:15,2015-09-02,12:00,"Ryen Anne","CK B2 006 aud"
".SV-401-1 for",2015-09-02,13:15,2015-09-02,16:00,"Blekesaune Morten","CK 48 013 sem"
".ME-416 for 15/09/04",2015-09-04,09:15,2015-09-04,12:00,"Ryen Anne","CK B2 006 aud"
".SV-401-1 for",2015-09-09,13:15,2015-09-09,16:00,"Blekesaune Morten","CK 48 013 sem"
".SO-406-1 for/sem",2015-09-10,09:15,2015-09-10,12:00,"Angel Bjørn Øystein, Eide Solveig Botnen, Sagatun Solveig","CK H1 023 sem"
".SO-406-1 for/sem 10.09 1315-1600",2015-09-10,13:15,2015-09-10,16:00,"Angel Bjørn Øystein, Eide Solveig Botnen, Sagatun Solveig","CK H1 023 sem"
".SV-401-1 for",2015-09-16,13:15,2015-09-16,16:00,"Blekesaune Morten","CK 48 013 sem"
".SO-406-1 for/sem",2015-09-17,09:15,2015-09-17,12:00,"Angel Bjørn Øystein, Eide Solveig Botnen, Sagatun Solveig","CK H1 023 sem"
".SV-401-1 for",2015-09-23,13:15,2015-09-23,16:00,"Blekesaune Morten","CK 48 013 sem"
".SO-406/PSY905 for/sem u 39 tor",2015-09-24,09:15,2015-09-24,12:00,"Angel Bjørn Øystein, Eide Solveig Botnen, Sagatun Solveig","CK H1 023 sem"
".SO-406/PSY905 for/sem u 39 fre",2015-09-25,09:15,2015-09-25,12:00,"Angel Bjørn Øystein, Eide Solveig Botnen, Sagatun Solveig","CK H1 023 sem"
".ME-416 gr 28.09",2015-09-28,13:15,2015-09-28,15:00,"Ryen Anne","CK 47 101, CK 47 102, CK 47 103, CK 47 104"
".SO-406-1 for/sem",2015-10-01,09:15,2015-10-01,12:00,"Angel Bjørn Øystein, Eide Solveig Botnen, Sagatun Solveig","CK H1 023 sem"
".SV-401-1 for",2015-10-07,13:15,2015-10-07,16:00,"Blekesaune Morten","CK 48 013 sem"
".SO-406/PSY905 for/sem u 41 tor",2015-10-08,09:15,2015-10-08,16:00,"Angel Bjørn Øystein, Eide Solveig Botnen, Sagatun Solveig","CK H1 023 sem"
".SO-406/PSY905 for/sem u 41 fre",2015-10-09,09:15,2015-10-09,16:00,"Angel Bjørn Øystein, Eide Solveig Botnen, Sagatun Solveig","CK H1 023 sem"
".SV-401-1 for",2015-10-14,13:15,2015-10-14,16:00,"Blekesaune Morten","CK 48 013 sem"
".SV-401-1 for",2015-10-21,13:15,2015-10-21,16:00,"Blekesaune Morten","CK 48 013 sem"
".SV-401-1 for",2015-10-28,13:15,2015-10-28,16:00,"Blekesaune Morten","CK 48 013 sem"
".ME-416 for 15/11/09",2015-11-09,09:15,2015-11-09,12:00,"Ryen Anne","CK B2 006 aud"
".ME-416 gr 09.11",2015-11-09,13:15,2015-11-09,15:00,"Ryen Anne","CK 47 101, CK 47 102, CK 47 103, CK 47 104"
".ME-416 for 15/11/10",2015-11-10,09:15,2015-11-10,12:00,"Ryen Anne","CK B2 006 aud"
".ME-416 for 15/11/11",2015-11-11,09:15,2015-11-11,12:00,"Ryen Anne","CK B2 006 aud"
