Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-SPA105 for",2015-08-13,09:15,2015-08-13,12:00,"Drange Eli-Marie","CK F2 003 spr.lab, CK F2 007 sem"
".UT-112-1 for",2015-08-17,14:15,2015-08-17,17:00,"Leer-Helgesen Arnhild","CK B2 006 aud"
"-SPA105 for",2015-08-18,10:15,2015-08-18,13:00,"Drange Eli-Marie","CK F2 003 spr.lab, CK F2 007 sem"
".UT-112-1 gr",2015-08-19,14:15,2015-08-19,16:00,"Leer-Helgesen Arnhild","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
"-SPA105 for",2015-08-20,09:15,2015-08-20,12:00,"Drange Eli-Marie","CK F2 003 spr.lab, CK F2 007 sem"
".UT-112-1 for",2015-08-24,14:15,2015-08-24,17:00,"Leer-Helgesen Arnhild","CK B2 006 aud"
"-SPA105 for",2015-08-25,10:15,2015-08-25,13:00,"Drange Eli-Marie","CK F2 003 spr.lab, CK F2 007 sem"
".UT-112-1 gr",2015-08-26,14:15,2015-08-26,16:00,"Leer-Helgesen Arnhild","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
"-SPA105 for",2015-08-27,09:15,2015-08-27,12:00,"Drange Eli-Marie","CK F2 003 spr.lab, CK F2 007 sem"
".UT-112-1 for",2015-08-31,14:15,2015-08-31,17:00,"Leer-Helgesen Arnhild","CK B2 006 aud"
"-SPA105 for",2015-09-01,10:15,2015-09-01,13:00,"Drange Eli-Marie","CK F2 003 spr.lab, CK F2 007 sem"
".UT-112-1 gr",2015-09-02,14:15,2015-09-02,16:00,"Leer-Helgesen Arnhild","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
"-SPA105 for",2015-09-03,09:15,2015-09-03,12:00,"Drange Eli-Marie","CK F2 003 spr.lab, CK F2 007 sem"
".UT-112-1 for",2015-09-07,14:15,2015-09-07,17:00,"Leer-Helgesen Arnhild","CK B2 006 aud"
"-SPA105 for",2015-09-08,10:15,2015-09-08,13:00,"Drange Eli-Marie","CK F2 003 spr.lab, CK F2 007 sem"
".UT-112-1 gr",2015-09-09,14:15,2015-09-09,16:00,"Leer-Helgesen Arnhild","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
"-SPA105 for",2015-09-10,09:15,2015-09-10,12:00,"Drange Eli-Marie","CK F2 003 spr.lab, CK F2 007 sem"
".UT-112-1 for",2015-09-14,14:15,2015-09-14,17:00,"Leer-Helgesen Arnhild","CK B2 006 aud"
