Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-PED128  sem spes.ped bac",2015-08-13,09:15,2015-08-13,12:00,"Grythe Jon","CK F1 031 sem"
"-PED151 for",2015-08-18,09:15,2015-08-18,12:00,"Jortveit Maryann","CK F2 004 sem"
"-PED151 sem",2015-08-18,12:15,2015-08-18,15:00,"Jortveit Maryann","CK F2 004 sem"
"-PED128 for",2015-08-19,10:15,2015-08-19,12:00,"Grythe Jon, Haraldstad Åse","CK B1 006 aud"
"-PED128  sem spes.ped bac",2015-08-20,09:15,2015-08-20,12:00,"Grythe Jon","CK F1 031 sem"
"-PED151 for",2015-08-25,09:15,2015-08-25,12:00,"Jortveit Maryann","CK F2 004 sem"
"-PED151 sem",2015-08-25,12:15,2015-08-25,15:00,"Jortveit Maryann","CK F2 004 sem"
"-PED128 for",2015-08-26,10:15,2015-08-26,12:00,"Grythe Jon, Haraldstad Åse","CK B1 006 aud"
"-PED128  sem spes.ped bac",2015-08-27,09:15,2015-08-27,12:00,"Grythe Jon","CK F1 031 sem"
"-PED151 for",2015-09-01,09:15,2015-09-01,12:00,"Jortveit Maryann","CK F2 004 sem"
"-PED151 sem",2015-09-01,12:15,2015-09-01,15:00,"Jortveit Maryann","CK F2 004 sem"
"-PED128 for",2015-09-02,10:15,2015-09-02,12:00,"Grythe Jon, Haraldstad Åse","CK B1 006 aud"
"-PED128  sem spes.ped bac",2015-09-03,09:15,2015-09-03,12:00,"Grythe Jon","CK F1 031 sem"
"-PED151 for",2015-09-08,09:15,2015-09-08,12:00,"Jortveit Maryann","CK F2 004 sem"
"-PED151 sem",2015-09-08,12:15,2015-09-08,15:00,"Jortveit Maryann","CK F2 004 sem"
"-PED151 for",2015-09-15,09:15,2015-09-15,12:00,"Jortveit Maryann","CK F2 004 sem"
"-PED151 sem",2015-09-15,12:15,2015-09-15,15:00,"Jortveit Maryann","CK F2 004 sem"
"-PED128 for",2015-09-16,10:15,2015-09-16,12:00,"Grythe Jon, Haraldstad Åse","CK B1 006 aud"
"-PED128  sem spes.ped bac",2015-09-17,09:15,2015-09-17,12:00,"Grythe Jon","CK F1 031 sem"
"-PED151 for",2015-09-22,09:15,2015-09-22,12:00,"Jortveit Maryann","CK F2 004 sem"
"-PED151 sem",2015-09-22,12:15,2015-09-22,15:00,"Jortveit Maryann","CK F2 004 sem"
"-PED128 for",2015-09-23,10:15,2015-09-23,12:00,"Grythe Jon, Haraldstad Åse","CK B1 006 aud"
"-PED128  sem spes.ped bac",2015-09-24,09:15,2015-09-24,12:00,"Grythe Jon","CK F1 031 sem"
"-PED151 for",2015-10-06,09:15,2015-10-06,12:00,"Jortveit Maryann","CK F2 004 sem"
"-PED151 sem",2015-10-06,12:15,2015-10-06,15:00,"Jortveit Maryann","CK F2 004 sem"
"-PED128 for",2015-10-07,10:15,2015-10-07,12:00,"Grythe Jon, Haraldstad Åse","CK B1 006 aud"
"-PED128  sem spes.ped bac",2015-10-08,09:15,2015-10-08,12:00,"Grythe Jon","CK F1 031 sem"
"-PED151 for",2015-10-13,09:15,2015-10-13,12:00,"Jortveit Maryann","CK F2 004 sem"
"-PED151 sem",2015-10-13,12:15,2015-10-13,15:00,"Jortveit Maryann","CK F2 004 sem"
"-PED128 for",2015-10-14,10:15,2015-10-14,12:00,"Grythe Jon, Haraldstad Åse","CK B1 006 aud"
"-PED128  sem spes.ped bac",2015-10-15,09:15,2015-10-15,12:00,"Grythe Jon","CK F1 031 sem"
"-PED151 for",2015-10-20,09:15,2015-10-20,12:00,"Jortveit Maryann","CK F2 004 sem"
"-PED151 sem",2015-10-20,12:15,2015-10-20,15:00,"Jortveit Maryann","CK F2 004 sem"
"-PED128 for",2015-10-21,10:15,2015-10-21,12:00,"Grythe Jon, Haraldstad Åse","CK B1 006 aud"
"-PED128  sem spes.ped bac",2015-10-22,09:15,2015-10-22,12:00,"Grythe Jon","CK F1 031 sem"
"-PED151 for",2015-10-27,09:15,2015-10-27,12:00,"Jortveit Maryann","CK F2 004 sem"
"-PED151 sem",2015-10-27,12:15,2015-10-27,15:00,"Jortveit Maryann","CK F2 004 sem"
"-PED128 for",2015-10-28,10:15,2015-10-28,12:00,"Grythe Jon, Haraldstad Åse","CK B1 006 aud"
"-PED128  sem spes.ped bac",2015-10-29,09:15,2015-10-29,12:00,"Grythe Jon","CK F1 031 sem"
"-PED151 for",2015-11-03,09:15,2015-11-03,12:00,"Jortveit Maryann","CK F2 004 sem"
"-PED151 sem",2015-11-03,12:15,2015-11-03,15:00,"Jortveit Maryann","CK F2 004 sem"
"-PED128 for",2015-11-04,10:15,2015-11-04,12:00,"Grythe Jon, Haraldstad Åse","CK B1 006 aud"
"-PED128  sem spes.ped bac",2015-11-05,09:15,2015-11-05,12:00,"Grythe Jon","CK F1 031 sem"
"-PED151 for",2015-11-10,09:15,2015-11-10,12:00,"Jortveit Maryann","CK F2 004 sem"
"-PED151 sem",2015-11-10,12:15,2015-11-10,15:00,"Jortveit Maryann","CK F2 004 sem"
"-PED128 for",2015-11-11,10:15,2015-11-11,12:00,"Grythe Jon, Haraldstad Åse","CK B1 006 aud"
"-PED128  sem spes.ped bac",2015-11-12,09:15,2015-11-12,12:00,"Grythe Jon","CK F1 031 sem"
"-PED151 for",2015-11-17,09:15,2015-11-17,12:00,"Jortveit Maryann","CK F2 004 sem"
"-PED151 sem",2015-11-17,12:15,2015-11-17,15:00,"Jortveit Maryann","CK F2 004 sem"
