Subject,Start Date,Start Time,End Date,End Time,Description,Location
"SY-211-G 12.08",2015-08-12,14:15,2015-08-12,16:00,"Tomstad, Solveig T.","CG A2 135 aud"
"SY-211-G 13.08",2015-08-13,08:15,2015-08-13,12:00,"Bøe, Tore Dag, Roaas, Anja","CG A2 135 aud"
"SY-211-G 14.08",2015-08-14,09:15,2015-08-14,13:00,"Bjørnestad, John Olav","CG x Auditorium FoU-bygget"
"SY-211-G 18.08",2015-08-18,08:15,2015-08-18,12:00,"Tomstad, Solveig T.","CG x Auditorium FoU-bygget"
"SY-211-G 19.08",2015-08-19,12:15,2015-08-19,16:00,"Tomstad, Solveig T.","CG A2 135 aud"
"SY-211-G 20.08",2015-08-20,09:15,2015-08-20,16:00,"Nilsen, Arild, Brodtkorb, Kari, Thygesen, Elin","CG A2 135 aud"
"NV-210-G 21.08",2015-08-21,08:15,2015-08-21,10:00,"Sævareid Hans Inge","CG A2 135 aud"
"NV-210-G 21.08",2015-08-21,10:15,2015-08-21,12:00,"Leland Arne","CG A2 135 aud"
"SY-211-G 21.08",2015-08-21,12:15,2015-08-21,14:00,"Skaarok, Ragnhild","CG A2 135 aud"
"NV-201/SY-201-G 20.08",2015-08-23,19:15,2015-08-23,23:00,"Leland Arne","CG A2 135 aud"
"SY-211-G 24.08 grom",2015-08-24,09:15,2015-08-24,13:00,"","CG A3 099, CG A3 026, CG C3 081, CG C3 091, CG C3 071 nat.vit, CG C3 070 nat.vit, CG A2 043, CG A2 026, CG A2 020, CG A2 142, CG A2 143, CG A2 145"
"NV-201/SY-201-G 27.08",2015-08-24,18:15,2015-08-24,21:00,"Vatnøy Torunn","CG A2 135 aud"
"SY-211-G 25.08",2015-08-25,08:15,2015-08-25,11:00,"Nilsen, Arild","CG A2 135 aud"
"SY-210-G 25.08",2015-08-25,11:15,2015-08-25,13:00,"Dale Jan Gunnar","CG A2 135 aud"
"NV-210-G 26.08",2015-08-26,08:15,2015-08-26,11:00,"Leland Arne","CG A2 135 aud"
"SY-210-G 26.08",2015-08-26,11:15,2015-08-26,13:00,"Gundersen, Ellen D.","CG A2 135 aud"
"SY-210-G 27.08 utgår",2015-08-26,18:15,2015-08-26,20:00,"Krøger Elsebeth","CG A2 135 aud"
"NV-210-G 27.08",2015-08-27,09:15,2015-08-27,14:00,"Hustad, Jørn","CG A2 135 aud"
"NV-210-G 28.08",2015-08-28,09:15,2015-08-28,11:00,"Gundersen, Ellen D.","CG A2 135 aud"
"SY-210-G 28.08",2015-08-28,11:15,2015-08-28,13:00,"Dale Jan Gunnar","CG A2 135 aud"
"NV-201/SY-201-G 25.08",2015-08-29,12:15,2015-08-29,14:00,"Hansen, Kari Berg","CG A2 135 aud"
"NV-201/SY-201-G 26.08",2015-08-30,18:15,2015-08-30,21:00,"Vatnøy Torunn","CG A2 135 aud"
"NV-201/SY-201-G 26.08",2015-08-30,21:15,2015-08-30,23:00,"Leland Arne","CG A2 135 aud"
"SY-210-G 01.09",2015-09-01,12:15,2015-09-01,16:00,"Flatland, Sylvi","CG A2 135 aud"
"SY-210-G 03.09",2015-09-03,12:15,2015-09-03,15:00,"Frivold, Gro","CG A2 135 aud"
"NV-210-G 04.09",2015-09-04,09:15,2015-09-04,13:00,"Dalslett, Thomas","CG A2 135 aud"
"NV-201/SY-201-G 02.09",2015-09-06,18:15,2015-09-06,21:00,"Berg, Kari Hansen","CG A2 135 aud"
"NV-210-G 08.09",2015-09-08,09:15,2015-09-08,13:00,"Karlsen, Sigve","CG A2 135 aud"
"NV-210-G 09.09",2015-09-09,09:15,2015-09-09,11:00,"Leland Arne","CG A2 135 aud"
"SY-210-G 09.09",2015-09-09,11:15,2015-09-09,15:00,"Flo, Tonje Helle","CG B1 023 amfi"
"SY-210-G 10.09 ",2015-09-10,09:15,2015-09-10,13:00,"","CG B1 023 amfi"
"NV-210-G 15.09",2015-09-15,10:15,2015-09-15,14:00,"Vatnøy Torunn","CG A2 135 aud"
"SY-210-G 16.09",2015-09-16,09:15,2015-09-16,13:00,"","CG B1 023 amfi"
"SY-210-G 17.09 ",2015-09-17,09:15,2015-09-17,13:00,"","CG B1 023 amfi"
"NV-210-G 21.09",2015-09-21,09:15,2015-09-21,12:00,"Andersen, Åge","CG x Auditorium FoU-bygget"
"SY-210-G 22.09",2015-09-22,08:15,2015-09-22,10:00,"Thidemann Inger-Johanne","CG x Auditorium FoU-bygget"
"NV-210-G 22.09",2015-09-22,10:15,2015-09-22,14:00,"Paulsen, Anita","CG x Auditorium FoU-bygget"
"NV-210-G 24.09",2015-09-24,08:15,2015-09-24,10:00,"Leland Arne","CG A2 135 aud"
"NV-210-G 24.09",2015-09-24,10:15,2015-09-24,12:00,"Leland Arne","CG A2 135 aud"
"SY-210-G 24.09 ",2015-09-24,12:15,2015-09-24,14:00,"","CG B1 023 amfi"
"SY-210-G 25.09",2015-09-25,08:15,2015-09-25,10:00,"","CG B1 023 amfi"
"SY-210-G 25.09",2015-09-25,10:15,2015-09-25,12:00,"Dale Jan Gunnar","CG A2 135 aud"
"SY-210-G 25.09",2015-09-25,12:15,2015-09-25,16:00,"","CG A2 047 sem, CG A2 046 sem"
"SY-210-G 28.09",2015-09-28,09:15,2015-09-28,14:00,"Leland Arne","CG C3 022 ulab, CG C3 072 aud, CG C3 071 nat.vit, CG C3 070 nat.vit, CG C3 034 skill, CG C3 042 isolat, CG C3 024 klinikk, CG A2 135 aud, CG C3 050 kjøkken, CG C3 020 ulab, CG C3 021 ulab, CG C3 033 vaktrom"
