Subject,Start Date,Start Time,End Date,End Time,Description,Location
".SYPL 3. år/15/08/12 Info Oppstart HS",2015-08-12,12:15,2015-08-12,13:00,"Sønning Hildegunn","CK B1 001 aud"
".SYPL 3. år/15/08/12 Møte Veil SYP203",2015-08-12,13:15,2015-08-12,14:00,"","CK HK 039, CK HK 041, CK I1 054, CK I1 056, CK I1 058, CK IK 023, CK IK 028, CK IU 054, CK IU 056, CK IU 057, CK IU 059"
".SYPL 3. år/15/08/12 Info SYP204 HS",2015-08-12,13:15,2015-08-12,14:00,"Sønning Hildegunn","CK B2 003 aud"
".SYPL 3. år/15/08/12 Info SYP205",2015-08-12,13:15,2015-08-12,14:00,"","CK I1 066 aud"
".SYPL 3. år/15/08/12 Møte Veil SYP204",2015-08-12,14:15,2015-08-12,15:00,"","CK I1 054, CK I1 056, CK I1 058, CK IU 054, CK IU 056"
".SYPL 3. år/15/08/12 Møte Veil SYP205",2015-08-12,14:15,2015-08-12,15:00,"","CK HK 039, CK HK 041, CK IK 023, CK IK 028, CK IU 057, CK IU 059"
".SYPL 3. år/15/08/13 Konfl Gr 1+2 SYP204/205",2015-08-13,08:15,2015-08-13,15:00,"","CK I1 066 aud"
".SYPL 3. år/15/08/13 Probl SYP203 LF ",2015-08-13,12:15,2015-08-13,13:00,"","CK B2 003 aud"
".SYPL 3. år/15/08/13 Søkekurs SYP203 ES ",2015-08-13,13:15,2015-08-13,15:00,"","CK B2 003 aud"
".SYPL 3. år/15/08/14 Konfl Gr 3+4 SYP203",2015-08-14,08:15,2015-08-14,15:00,"","CK I1 066 aud"
".SYPL 3. år/15/10/12 Info SYP204 HS",2015-10-12,08:15,2015-10-12,09:00,"","CK HK 007 sem"
".SYPL 3. år/15/10/12 Info SYP205 MS",2015-10-12,08:15,2015-10-12,09:00,"","CK HU 022 sem"
".SYPL 3. år/15/10/12 Møte Veil SYP204",2015-10-12,09:15,2015-10-12,10:00,"","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039"
".SYPL 3. år/15/10/12 Møte Veil SYP205",2015-10-12,09:15,2015-10-12,10:00,"","CK IK 023, CK IK 028, CK IU 054, CK IU 056, CK IU 057, CK IU 059"
".SYPL 3. år/15/10/12 Klasseråd",2015-10-12,10:15,2015-10-12,11:00,"","CK B2 003 aud"
".SYPL 3. år/15/10/12 Tema",2015-10-12,12:15,2015-10-12,16:00,"","CK 46 118 aula/aud"
