Subject,Start Date,Start Time,End Date,End Time,Description,Location
"TKS100-G/-13 tirs",2015-08-18,12:15,2015-08-18,17:00,"","CG A2 085 aud"
"TKS100-G/-13 ons + tors",2015-08-19,08:15,2015-08-19,17:00,"","CG A2 085 aud"
"TKS100-G/-13 ons + tors",2015-08-20,08:15,2015-08-20,17:00,"","CG A2 085 aud"
"TKS100-G/-13 fre",2015-08-21,08:15,2015-08-21,12:00,"","CG A2 085 aud"
"TKS430-G/-03 (del 1) man-ons",2015-09-07,08:15,2015-09-07,17:00,"","CG A2 085 aud"
"TKS430-G/-03 (del 1) man-ons",2015-09-08,08:15,2015-09-08,17:00,"","CG A2 085 aud"
"TKS430-G/-03 (del 1) man-ons",2015-09-09,08:15,2015-09-09,17:00,"","CG A2 085 aud"
"TKS430-G/-03 (del 1) fre",2015-09-11,08:15,2015-09-11,12:00,"","CG A2 085 aud"
"TKS100-G/-14 tirs",2015-09-22,12:15,2015-09-22,17:00,"","CG A2 085 aud"
"TKS100-G/-14 ons + tors",2015-09-23,08:15,2015-09-23,17:00,"","CG A2 085 aud"
"TKS100-G/-14 ons + tors",2015-09-24,08:15,2015-09-24,17:00,"","CG A2 085 aud"
"TKS100-G/-14 fre",2015-09-25,08:15,2015-09-25,13:00,"","CG A2 085 aud"
"TKS430-G/-04 (s2/2) man-ons",2015-11-23,08:15,2015-11-23,17:00,"","CG A2 085 aud"
"TKS430-G/-04 (s2/2) man-ons",2015-11-24,08:15,2015-11-24,17:00,"","CG A2 085 aud"
"TKS430-G/-04 (s2/2) man-ons",2015-11-25,08:15,2015-11-25,17:00,"","CG A2 085 aud"
"TKS430-G/-04 (s2/2) fre",2015-11-27,08:15,2015-11-27,12:00,"","CG A2 085 aud"
