Subject,Start Date,Start Time,End Date,End Time,Description,Location
"NO-133-G/Forel/øv/01",2015-08-18,16:15,2015-08-18,18:00,"Vukovska, Boriana","CG A2 023 sem"
"NO-133-G/Forel/øv/02",2015-08-20,16:15,2015-08-20,18:00,"Vukovska, Boriana","CG A2 023 sem"
"NO-133-G/Forel/øv/01",2015-08-25,16:15,2015-08-25,18:00,"Vukovska, Boriana","CG A2 023 sem"
"NO-133-G/Forel/øv/02",2015-08-27,16:15,2015-08-27,18:00,"Vukovska, Boriana","CG A2 023 sem"
"NO-133-G/Forel/øv/01",2015-09-01,16:15,2015-09-01,18:00,"Vukovska, Boriana","CG A2 023 sem"
"NO-133-G/Forel/øv/02",2015-09-03,16:15,2015-09-03,18:00,"Vukovska, Boriana","CG A2 023 sem"
"NO-133-G/Forel/øv/01",2015-09-08,16:15,2015-09-08,18:00,"Vukovska, Boriana","CG A2 023 sem"
"NO-133-G/Forel/øv/02",2015-09-10,16:15,2015-09-10,18:00,"Vukovska, Boriana","CG A2 023 sem"
"NO-133-G/Forel/øv/01",2015-09-15,16:15,2015-09-15,18:00,"Vukovska, Boriana","CG A2 023 sem"
"NO-133-G/Forel/øv/02",2015-09-17,16:15,2015-09-17,18:00,"Vukovska, Boriana","CG A2 023 sem"
"NO-133-G/Forel/øv/01",2015-09-22,16:15,2015-09-22,18:00,"Vukovska, Boriana","CG A2 023 sem"
"NO-133-G/Forel/øv/02",2015-09-24,16:15,2015-09-24,18:00,"Vukovska, Boriana","CG A2 023 sem"
"NO-133-G/Forel/øv/01",2015-09-29,16:15,2015-09-29,18:00,"Vukovska, Boriana","CG A2 023 sem"
"NO-133-G/Forel/øv/02",2015-10-01,16:15,2015-10-01,18:00,"Vukovska, Boriana","CG A2 023 sem"
"NO-133-G/Forel/øv/01",2015-10-06,16:15,2015-10-06,18:00,"Vukovska, Boriana","CG A2 023 sem"
"NO-133-G/Forel/øv/02",2015-10-08,16:15,2015-10-08,18:00,"Vukovska, Boriana","CG A2 023 sem"
"NO-133-G/Forel/øv/01",2015-10-13,16:15,2015-10-13,18:00,"Vukovska, Boriana","CG A2 023 sem"
"NO-133-G/Forel/øv/02",2015-10-15,16:15,2015-10-15,18:00,"Vukovska, Boriana","CG A2 023 sem"
"NO-133-G/Forel/øv/01",2015-10-20,16:15,2015-10-20,18:00,"Vukovska, Boriana","CG A2 023 sem"
"NO-133-G/Forel/øv/02",2015-10-22,16:15,2015-10-22,18:00,"Vukovska, Boriana","CG A2 023 sem"
"NO-133-G/Forel/øv/01",2015-10-27,16:15,2015-10-27,18:00,"Vukovska, Boriana","CG A2 023 sem"
"NO-133-G/Forel/øv/02",2015-10-29,16:15,2015-10-29,18:00,"Vukovska, Boriana","CG A2 023 sem"
"NO-133-G/Forel/øv/01",2015-11-03,16:15,2015-11-03,18:00,"Vukovska, Boriana","CG A2 023 sem"
"NO-133-G/Forel/øv/02",2015-11-05,16:15,2015-11-05,18:00,"Vukovska, Boriana","CG A2 023 sem"
"NO-133-G/Forel/øv/01",2015-11-10,16:15,2015-11-10,18:00,"Vukovska, Boriana","CG A2 023 sem"
"NO-133-G/Forel/øv/02",2015-11-12,16:15,2015-11-12,18:00,"Vukovska, Boriana","CG A2 023 sem"
"NO-133-G/Forel/øv/01",2015-11-17,16:15,2015-11-17,18:00,"Vukovska, Boriana","CG A2 023 sem"
"NO-133-G/Forel/øv/02",2015-11-19,16:15,2015-11-19,18:00,"Vukovska, Boriana","CG A2 023 sem"
