Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-EX-100 for filosofi ",2015-08-17,12:15,2015-08-17,14:00,"Vaags Ralph Henk","CK B1 018 aud"
"-EX-100 for etikk ",2015-08-18,12:15,2015-08-18,14:00,"Løkke Håvard","CK B1 018 aud"
".SV-133 for STREAM B1 007 & JU-071",2015-08-19,12:15,2015-08-19,15:00,"Halvorsen Anne H.","CK JU 071 aud, CK B1 007 aud"
".SV-133 gr",2015-08-19,15:15,2015-08-19,17:00,"Halvorsen Anne H.","CK 50 110, CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116b, CK 50 116c, CK 50 116d, CK 50 116e, CK 50 116f, CK 50 136, CK 50 137a, CK 50 137b, CK 50 114c , CK J1 031, CK J1 032, CK J1 056, CK J1 057, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"-EX-100 for filosofi ",2015-08-24,12:15,2015-08-24,14:00,"Vaags Ralph Henk","CK B1 018 aud"
"-EX-100 for etikk ",2015-08-25,12:15,2015-08-25,14:00,"Løkke Håvard","CK B1 018 aud"
".SV-133 for STREAM B1 007 & JU-071",2015-08-26,12:15,2015-08-26,15:00,"Halvorsen Anne H.","CK JU 071 aud, CK B1 007 aud"
".SV-133 gr",2015-08-26,15:15,2015-08-26,17:00,"Halvorsen Anne H.","CK 50 110, CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116b, CK 50 116c, CK 50 116d, CK 50 116e, CK 50 116f, CK 50 136, CK 50 137a, CK 50 137b, CK 50 114c , CK J1 031, CK J1 032, CK J1 056, CK J1 057, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"-EX-100 for filosofi ",2015-08-31,12:15,2015-08-31,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-204 for",2015-09-01,10:15,2015-09-01,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-09-01,12:15,2015-09-01,14:00,"Løkke Håvard","CK B1 018 aud"
".SV-133 for STREAM B1 007 & JU-071",2015-09-02,12:15,2015-09-02,15:00,"Halvorsen Anne H.","CK JU 071 aud, CK B1 007 aud"
".SV-133 gr",2015-09-02,15:15,2015-09-02,17:00,"Halvorsen Anne H.","CK 50 110, CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116b, CK 50 116c, CK 50 116d, CK 50 116e, CK 50 116f, CK 50 136, CK 50 137a, CK 50 137b, CK 50 114c , CK J1 031, CK J1 032, CK J1 056, CK J1 057, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
".UT-204 for",2015-09-08,10:15,2015-09-08,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-09-08,12:15,2015-09-08,14:00,"Løkke Håvard","CK B1 018 aud"
".SV-133 for STREAM B1 007 & JU-071",2015-09-09,12:15,2015-09-09,15:00,"Halvorsen Anne H.","CK JU 071 aud, CK B1 007 aud"
".SV-133 gr",2015-09-09,15:15,2015-09-09,17:00,"Halvorsen Anne H.","CK 50 110, CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116b, CK 50 116c, CK 50 116d, CK 50 116e, CK 50 116f, CK 50 136, CK 50 137a, CK 50 137b, CK 50 114c , CK J1 031, CK J1 032, CK J1 056, CK J1 057, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"-EX-100 for filosofi ",2015-09-14,12:15,2015-09-14,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-204 for",2015-09-15,10:15,2015-09-15,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-09-15,12:15,2015-09-15,14:00,"Løkke Håvard","CK B1 018 aud"
".SV-133 for STREAM B1 007 & JU-071",2015-09-16,12:15,2015-09-16,15:00,"Halvorsen Anne H.","CK JU 071 aud, CK B1 007 aud"
".SV-133 gr",2015-09-16,15:15,2015-09-16,17:00,"Halvorsen Anne H.","CK 50 110, CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116b, CK 50 116c, CK 50 116d, CK 50 116e, CK 50 116f, CK 50 136, CK 50 137a, CK 50 137b, CK 50 114c , CK J1 031, CK J1 032, CK J1 056, CK J1 057, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"-EX-100 for filosofi ",2015-09-21,12:15,2015-09-21,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-204 for",2015-09-22,10:15,2015-09-22,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-09-22,12:15,2015-09-22,14:00,"Løkke Håvard","CK B1 018 aud"
".SV-133 for STREAM B1 007 & JU-071",2015-09-23,12:15,2015-09-23,15:00,"Halvorsen Anne H.","CK JU 071 aud, CK B1 007 aud"
".SV-133 gr",2015-09-23,15:15,2015-09-23,17:00,"Halvorsen Anne H.","CK 50 110, CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116b, CK 50 116c, CK 50 116d, CK 50 116e, CK 50 116f, CK 50 136, CK 50 137a, CK 50 137b, CK 50 114c , CK J1 031, CK J1 032, CK J1 056, CK J1 057, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"-EX-100 for filosofi ",2015-09-28,12:15,2015-09-28,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-204 for",2015-09-29,10:15,2015-09-29,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
".SV-133 for STREAM B1 007 & JU-071",2015-09-30,12:15,2015-09-30,15:00,"Halvorsen Anne H.","CK JU 071 aud, CK B1 007 aud"
".SV-133 gr",2015-09-30,15:15,2015-09-30,17:00,"Halvorsen Anne H.","CK 50 110, CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116b, CK 50 116c, CK 50 116d, CK 50 116e, CK 50 116f, CK 50 136, CK 50 137a, CK 50 137b, CK 50 114c , CK J1 031, CK J1 032, CK J1 056, CK J1 057, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"-EX-100 for filosofi ",2015-10-05,12:15,2015-10-05,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-204 for",2015-10-06,10:15,2015-10-06,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-10-06,12:15,2015-10-06,14:00,"Løkke Håvard","CK B1 018 aud"
".SV-133 for STREAM B1 007 & JU-071",2015-10-07,12:15,2015-10-07,15:00,"Halvorsen Anne H.","CK JU 071 aud, CK B1 007 aud"
".SV-133 gr",2015-10-07,15:15,2015-10-07,17:00,"Halvorsen Anne H.","CK 50 110, CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116b, CK 50 116c, CK 50 116d, CK 50 116e, CK 50 116f, CK 50 136, CK 50 137a, CK 50 137b, CK 50 114c , CK J1 031, CK J1 032, CK J1 056, CK J1 057, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
".UT-204 for",2015-10-13,10:15,2015-10-13,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-10-13,12:15,2015-10-13,14:00,"Løkke Håvard","CK B1 018 aud"
"-EX-100 for filosofi ",2015-10-19,12:15,2015-10-19,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-204 for",2015-10-20,10:15,2015-10-20,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-10-20,12:15,2015-10-20,14:00,"Løkke Håvard","CK B1 018 aud"
"-EX-100 for filosofi ",2015-10-26,12:15,2015-10-26,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-204 for",2015-10-27,10:15,2015-10-27,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-10-27,12:15,2015-10-27,14:00,"Løkke Håvard","CK B1 018 aud"
"-EX-100 for filosofi ",2015-11-02,12:15,2015-11-02,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-204 for",2015-11-03,10:15,2015-11-03,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-11-03,12:15,2015-11-03,14:00,"Løkke Håvard","CK B1 018 aud"
