Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-KR-103 for",2015-08-14,09:15,2015-08-14,12:00,"Eidhamar Levi Geir, Haakedal Elisabet","CK B2 004 aud"
"-EX-100 for filosofi ",2015-08-17,12:15,2015-08-17,14:00,"Vaags Ralph Henk","CK B1 018 aud"
"-EX-100 for etikk ",2015-08-18,12:15,2015-08-18,14:00,"Løkke Håvard","CK B1 018 aud"
"-KR-103 for",2015-08-21,09:15,2015-08-21,12:00,"Eidhamar Levi Geir, Haakedal Elisabet","CK B2 004 aud"
"-EX-100 for filosofi ",2015-08-24,12:15,2015-08-24,14:00,"Vaags Ralph Henk","CK B1 018 aud"
"-EX-100 for etikk ",2015-08-25,12:15,2015-08-25,14:00,"Løkke Håvard","CK B1 018 aud"
"-KR-103 for",2015-08-28,09:15,2015-08-28,12:00,"Eidhamar Levi Geir, Haakedal Elisabet","CK B2 004 aud"
"-EX-100 for filosofi ",2015-08-31,12:15,2015-08-31,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-204 for",2015-09-01,10:15,2015-09-01,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-09-01,12:15,2015-09-01,14:00,"Løkke Håvard","CK B1 018 aud"
"-KR-103 for",2015-09-04,09:15,2015-09-04,12:00,"Eidhamar Levi Geir, Haakedal Elisabet","CK B2 004 aud"
".UT-204 for",2015-09-08,10:15,2015-09-08,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-09-08,12:15,2015-09-08,14:00,"Løkke Håvard","CK B1 018 aud"
"-KR-103 for",2015-09-11,09:15,2015-09-11,12:00,"Eidhamar Levi Geir, Haakedal Elisabet","CK B2 004 aud"
"-EX-100 for filosofi ",2015-09-14,12:15,2015-09-14,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-204 for",2015-09-15,10:15,2015-09-15,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-09-15,12:15,2015-09-15,14:00,"Løkke Håvard","CK B1 018 aud"
"-KR-103 for",2015-09-18,09:15,2015-09-18,12:00,"Eidhamar Levi Geir, Haakedal Elisabet","CK B2 004 aud"
"-EX-100 for filosofi ",2015-09-21,12:15,2015-09-21,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-204 for",2015-09-22,10:15,2015-09-22,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-09-22,12:15,2015-09-22,14:00,"Løkke Håvard","CK B1 018 aud"
"-KR-103 for",2015-09-25,09:15,2015-09-25,12:00,"Eidhamar Levi Geir, Haakedal Elisabet","CK B2 004 aud"
"-EX-100 for filosofi ",2015-09-28,12:15,2015-09-28,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-204 for",2015-09-29,10:15,2015-09-29,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-KR-103 for",2015-10-02,09:15,2015-10-02,12:00,"Eidhamar Levi Geir, Haakedal Elisabet","CK B2 004 aud"
"-EX-100 for filosofi ",2015-10-05,12:15,2015-10-05,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-204 for",2015-10-06,10:15,2015-10-06,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-10-06,12:15,2015-10-06,14:00,"Løkke Håvard","CK B1 018 aud"
"-KR-103 for",2015-10-09,09:15,2015-10-09,12:00,"Eidhamar Levi Geir, Haakedal Elisabet","CK B2 004 aud"
".UT-204 for",2015-10-13,10:15,2015-10-13,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-10-13,12:15,2015-10-13,14:00,"Løkke Håvard","CK B1 018 aud"
"-KR-103 for ons uke 42",2015-10-14,12:15,2015-10-14,15:00,"Eidhamar Levi Geir, Haakedal Elisabet","CK B2 004 aud"
