Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-EX-100 for filosofi ",2015-08-17,12:15,2015-08-17,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-112-1 for",2015-08-17,14:15,2015-08-17,17:00,"Leer-Helgesen Arnhild","CK B2 006 aud"
"-EX-100 for etikk ",2015-08-18,12:15,2015-08-18,14:00,"Løkke Håvard","CK B1 018 aud"
".UT-112-1 gr",2015-08-19,14:15,2015-08-19,16:00,"Leer-Helgesen Arnhild","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
"-EX-100 for filosofi ",2015-08-24,12:15,2015-08-24,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-112-1 for",2015-08-24,14:15,2015-08-24,17:00,"Leer-Helgesen Arnhild","CK B2 006 aud"
"-EX-100 for etikk ",2015-08-25,12:15,2015-08-25,14:00,"Løkke Håvard","CK B1 018 aud"
".UT-112-1 gr",2015-08-26,14:15,2015-08-26,16:00,"Leer-Helgesen Arnhild","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
"-EX-100 for filosofi ",2015-08-31,12:15,2015-08-31,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-112-1 for",2015-08-31,14:15,2015-08-31,17:00,"Leer-Helgesen Arnhild","CK B2 006 aud"
".UT-204 for",2015-09-01,10:15,2015-09-01,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-09-01,12:15,2015-09-01,14:00,"Løkke Håvard","CK B1 018 aud"
".UT-112-1 gr",2015-09-02,14:15,2015-09-02,16:00,"Leer-Helgesen Arnhild","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
".UT-112-1 for",2015-09-07,14:15,2015-09-07,17:00,"Leer-Helgesen Arnhild","CK B2 006 aud"
".UT-204 for",2015-09-08,10:15,2015-09-08,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-09-08,12:15,2015-09-08,14:00,"Løkke Håvard","CK B1 018 aud"
".UT-112-1 gr",2015-09-09,14:15,2015-09-09,16:00,"Leer-Helgesen Arnhild","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
"-EX-100 for filosofi ",2015-09-14,12:15,2015-09-14,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-112-1 for",2015-09-14,14:15,2015-09-14,17:00,"Leer-Helgesen Arnhild","CK B2 006 aud"
".UT-204 for",2015-09-15,10:15,2015-09-15,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-09-15,12:15,2015-09-15,14:00,"Løkke Håvard","CK B1 018 aud"
".UT-112-1 gr",2015-09-16,14:15,2015-09-16,16:00,"Leer-Helgesen Arnhild","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
"-EX-100 for filosofi ",2015-09-21,12:15,2015-09-21,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-112-1 for",2015-09-21,14:15,2015-09-21,17:00,"Leer-Helgesen Arnhild","CK B2 006 aud"
".UT-204 for",2015-09-22,10:15,2015-09-22,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-09-22,12:15,2015-09-22,14:00,"Løkke Håvard","CK B1 018 aud"
".UT-112-1 gr",2015-09-23,14:15,2015-09-23,16:00,"Leer-Helgesen Arnhild","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
"-EX-100 for filosofi ",2015-09-28,12:15,2015-09-28,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-112-1 for",2015-09-28,14:15,2015-09-28,17:00,"Leer-Helgesen Arnhild","CK B2 006 aud"
".UT-204 for",2015-09-29,10:15,2015-09-29,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
".UT-112-1 gr",2015-09-30,14:15,2015-09-30,16:00,"Leer-Helgesen Arnhild","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
"-EX-100 for filosofi ",2015-10-05,12:15,2015-10-05,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-112-1 for",2015-10-05,14:15,2015-10-05,17:00,"Leer-Helgesen Arnhild","CK B2 006 aud"
".UT-204 for",2015-10-06,10:15,2015-10-06,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-10-06,12:15,2015-10-06,14:00,"Løkke Håvard","CK B1 018 aud"
".UT-112-1 gr",2015-10-07,14:15,2015-10-07,16:00,"Leer-Helgesen Arnhild","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
".UT-112-1 for",2015-10-12,14:15,2015-10-12,17:00,"Leer-Helgesen Arnhild","CK B2 006 aud"
".UT-204 for",2015-10-13,10:15,2015-10-13,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-10-13,12:15,2015-10-13,14:00,"Løkke Håvard","CK B1 018 aud"
".UT-112-1 gr",2015-10-14,14:15,2015-10-14,16:00,"Leer-Helgesen Arnhild","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
"-EX-100 for filosofi ",2015-10-19,12:15,2015-10-19,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-204 for",2015-10-20,10:15,2015-10-20,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-10-20,12:15,2015-10-20,14:00,"Løkke Håvard","CK B1 018 aud"
"-EX-100 for filosofi ",2015-10-26,12:15,2015-10-26,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-204 for",2015-10-27,10:15,2015-10-27,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-10-27,12:15,2015-10-27,14:00,"Løkke Håvard","CK B1 018 aud"
"-EX-100 for filosofi ",2015-11-02,12:15,2015-11-02,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-112-1 for",2015-11-02,14:15,2015-11-02,17:00,"Leer-Helgesen Arnhild","CK B2 006 aud"
".UT-204 for",2015-11-03,10:15,2015-11-03,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-11-03,12:15,2015-11-03,14:00,"Løkke Håvard","CK B1 018 aud"
".UT-112-1 gr",2015-11-04,14:15,2015-11-04,16:00,"Leer-Helgesen Arnhild","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
"-EX-100 for filosofi ",2015-11-09,12:15,2015-11-09,14:00,"Vaags Ralph Henk","CK B1 018 aud"
".UT-112-1 for",2015-11-09,14:15,2015-11-09,17:00,"Leer-Helgesen Arnhild","CK B2 006 aud"
".UT-204 for",2015-11-10,10:15,2015-11-10,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
"-EX-100 for etikk ",2015-11-10,12:15,2015-11-10,14:00,"Løkke Håvard","CK B1 018 aud"
".UT-112-1 gr",2015-11-11,14:15,2015-11-11,16:00,"Leer-Helgesen Arnhild","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
".UT-112-1 for",2015-11-16,14:15,2015-11-16,17:00,"Leer-Helgesen Arnhild","CK B2 006 aud"
".UT-112-1 gr",2015-11-18,14:15,2015-11-18,16:00,"Leer-Helgesen Arnhild","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
