Subject,Start Date,Start Time,End Date,End Time,Description,Location
".ME-107-1 for",2015-08-12,10:15,2015-08-12,12:00,"Eriksen Stein Sundstøl","CK D3 054 sem"
".ME-107-1 gr",2015-08-12,12:15,2015-08-12,14:00,"Eriksen Stein Sundstøl","CK B3 019, CK B3 023, CK B3 026, CK B3 012, CK B3 014, CK B3 017"
".UT-203-1 for",2015-08-17,09:15,2015-08-17,11:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK H1 058 aud"
".UT-203-1 gr",2015-08-17,11:15,2015-08-17,13:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 108, CK 47 109, CK 47 110"
".EX-104 forelesn",2015-08-18,13:15,2015-08-18,15:00,"Eriksen Stein Sundstøl","CK H1 058 aud"
".EX-104 gr",2015-08-18,15:15,2015-08-18,17:00,"Eriksen Stein Sundstøl","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".ME-107-1 for",2015-08-19,10:15,2015-08-19,12:00,"Eriksen Stein Sundstøl","CK D3 054 sem"
".ME-107-1 gr",2015-08-19,12:15,2015-08-19,14:00,"Eriksen Stein Sundstøl","CK B3 019, CK B3 023, CK B3 026, CK B3 012, CK B3 014, CK B3 017"
".UT-203-1 for",2015-08-24,09:15,2015-08-24,11:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK H1 058 aud"
".UT-203-1 gr",2015-08-24,11:15,2015-08-24,13:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 108, CK 47 109, CK 47 110"
".EX-104 forelesn",2015-08-25,13:15,2015-08-25,15:00,"Eriksen Stein Sundstøl","CK H1 058 aud"
".EX-104 gr",2015-08-25,15:15,2015-08-25,17:00,"Eriksen Stein Sundstøl","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".ME-107-1 for",2015-08-26,10:15,2015-08-26,12:00,"Eriksen Stein Sundstøl","CK D3 054 sem"
".ME-107-1 gr",2015-08-26,12:15,2015-08-26,14:00,"Eriksen Stein Sundstøl","CK B3 019, CK B3 023, CK B3 026, CK B3 012, CK B3 014, CK B3 017"
".UT-203-1 for",2015-08-31,09:15,2015-08-31,11:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK H1 058 aud"
".UT-203-1 gr",2015-08-31,11:15,2015-08-31,13:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 108, CK 47 109, CK 47 110"
".EX-104 forelesn",2015-09-01,13:15,2015-09-01,15:00,"Eriksen Stein Sundstøl","CK H1 058 aud"
".EX-104 gr",2015-09-01,15:15,2015-09-01,17:00,"Eriksen Stein Sundstøl","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".ME-107-1 for",2015-09-02,10:15,2015-09-02,12:00,"Eriksen Stein Sundstøl","CK D3 054 sem"
".ME-107-1 gr",2015-09-02,12:15,2015-09-02,14:00,"Eriksen Stein Sundstøl","CK B3 019, CK B3 023, CK B3 026, CK B3 012, CK B3 014, CK B3 017"
".UT-203-1 for",2015-09-07,09:15,2015-09-07,11:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK H1 058 aud"
".UT-203-1 gr",2015-09-07,11:15,2015-09-07,13:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 108, CK 47 109, CK 47 110"
".EX-104 forelesn",2015-09-08,13:15,2015-09-08,15:00,"Eriksen Stein Sundstøl","CK H1 058 aud"
".EX-104 gr",2015-09-08,15:15,2015-09-08,17:00,"Eriksen Stein Sundstøl","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".ME-107-1 for",2015-09-09,10:15,2015-09-09,12:00,"Eriksen Stein Sundstøl","CK D3 054 sem"
".ME-107-1 gr",2015-09-09,12:15,2015-09-09,14:00,"Eriksen Stein Sundstøl","CK B3 019, CK B3 023, CK B3 026, CK B3 012, CK B3 014, CK B3 017"
".UT-203-1 for",2015-09-14,09:15,2015-09-14,11:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK H1 058 aud"
".UT-203-1 gr",2015-09-14,11:15,2015-09-14,13:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 108, CK 47 109, CK 47 110"
".EX-104 forelesn",2015-09-15,13:15,2015-09-15,15:00,"Eriksen Stein Sundstøl","CK H1 058 aud"
".EX-104 gr",2015-09-15,15:15,2015-09-15,17:00,"Eriksen Stein Sundstøl","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".ME-107-1 for",2015-09-16,10:15,2015-09-16,12:00,"Eriksen Stein Sundstøl","CK D3 054 sem"
".ME-107-1 gr",2015-09-16,12:15,2015-09-16,14:00,"Eriksen Stein Sundstøl","CK B3 019, CK B3 023, CK B3 026, CK B3 012, CK B3 014, CK B3 017"
".UT-203-1 for",2015-09-21,09:15,2015-09-21,11:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK H1 058 aud"
".UT-203-1 gr",2015-09-21,11:15,2015-09-21,13:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 108, CK 47 109, CK 47 110"
".EX-104 forelesn",2015-09-22,13:15,2015-09-22,15:00,"Eriksen Stein Sundstøl","CK H1 058 aud"
".EX-104 gr",2015-09-22,15:15,2015-09-22,17:00,"Eriksen Stein Sundstøl","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".ME-107-1 for",2015-09-23,10:15,2015-09-23,12:00,"Eriksen Stein Sundstøl","CK D3 054 sem"
".ME-107-1 gr",2015-09-23,12:15,2015-09-23,14:00,"Eriksen Stein Sundstøl","CK B3 019, CK B3 023, CK B3 026, CK B3 012, CK B3 014, CK B3 017"
".UT-203-1 for",2015-09-28,09:15,2015-09-28,11:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK H1 058 aud"
".UT-203-1 for 28.09 EKSTRA TIME",2015-09-28,11:15,2015-09-28,12:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK H1 058 aud"
".UT-203-1 gr",2015-09-28,11:15,2015-09-28,13:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 108, CK 47 109, CK 47 110"
".EX-104 forelesn",2015-09-29,13:15,2015-09-29,15:00,"Eriksen Stein Sundstøl","CK H1 058 aud"
".EX-104 gr",2015-09-29,15:15,2015-09-29,17:00,"Eriksen Stein Sundstøl","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".ME-107-1 for",2015-09-30,10:15,2015-09-30,12:00,"Eriksen Stein Sundstøl","CK D3 054 sem"
".ME-107-1 gr",2015-09-30,12:15,2015-09-30,14:00,"Eriksen Stein Sundstøl","CK B3 019, CK B3 023, CK B3 026, CK B3 012, CK B3 014, CK B3 017"
".UT-203-1 for",2015-10-05,09:15,2015-10-05,11:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK H1 058 aud"
".UT-203-1 gr",2015-10-05,11:15,2015-10-05,13:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 108, CK 47 109, CK 47 110"
".EX-104 forelesn",2015-10-06,13:15,2015-10-06,15:00,"Eriksen Stein Sundstøl","CK H1 058 aud"
".EX-104 gr",2015-10-06,15:15,2015-10-06,17:00,"Eriksen Stein Sundstøl","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".ME-107-1 for",2015-10-07,10:15,2015-10-07,12:00,"Eriksen Stein Sundstøl","CK D3 054 sem"
".ME-107-1 gr",2015-10-07,12:15,2015-10-07,14:00,"Eriksen Stein Sundstøl","CK B3 019, CK B3 023, CK B3 026, CK B3 012, CK B3 014, CK B3 017"
".UT-203-1 for",2015-10-12,09:15,2015-10-12,11:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK H1 058 aud"
".UT-203-1 gr",2015-10-12,11:15,2015-10-12,13:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 108, CK 47 109, CK 47 110"
".EX-104 forelesn",2015-10-13,13:15,2015-10-13,15:00,"Eriksen Stein Sundstøl","CK H1 058 aud"
".EX-104 gr",2015-10-13,15:15,2015-10-13,17:00,"Eriksen Stein Sundstøl","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".ME-107-1 for",2015-10-14,10:15,2015-10-14,12:00,"Eriksen Stein Sundstøl","CK D3 054 sem"
".ME-107-1 gr",2015-10-14,12:15,2015-10-14,14:00,"Eriksen Stein Sundstøl","CK B3 019, CK B3 023, CK B3 026, CK B3 012, CK B3 014, CK B3 017"
".UT-203-1 for",2015-10-19,09:15,2015-10-19,11:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK H1 058 aud"
".UT-203-1 gr",2015-10-19,11:15,2015-10-19,13:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 108, CK 47 109, CK 47 110"
".EX-104 forelesn",2015-10-20,13:15,2015-10-20,15:00,"Eriksen Stein Sundstøl","CK H1 058 aud"
".EX-104 gr",2015-10-20,15:15,2015-10-20,17:00,"Eriksen Stein Sundstøl","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".ME-107-1 for",2015-10-21,10:15,2015-10-21,12:00,"Eriksen Stein Sundstøl","CK D3 054 sem"
".ME-107-1 gr",2015-10-21,12:15,2015-10-21,14:00,"Eriksen Stein Sundstøl","CK B3 019, CK B3 023, CK B3 026, CK B3 012, CK B3 014, CK B3 017"
".UT-203-1 for",2015-10-26,09:15,2015-10-26,11:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK H1 058 aud"
".UT-203-1 gr",2015-10-26,11:15,2015-10-26,13:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 108, CK 47 109, CK 47 110"
".EX-104 forelesn",2015-10-27,13:15,2015-10-27,15:00,"Eriksen Stein Sundstøl","CK H1 058 aud"
".EX-104 gr",2015-10-27,15:15,2015-10-27,17:00,"Eriksen Stein Sundstøl","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".ME-107-1 for",2015-10-28,10:15,2015-10-28,12:00,"Eriksen Stein Sundstøl","CK D3 054 sem"
".ME-107-1 gr",2015-10-28,12:15,2015-10-28,14:00,"Eriksen Stein Sundstøl","CK B3 019, CK B3 023, CK B3 026, CK B3 012, CK B3 014, CK B3 017"
".UT-203-1 for",2015-11-02,09:15,2015-11-02,11:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK H1 058 aud"
