Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-HI-100 foreles",2015-08-17,08:15,2015-08-17,12:00,"Aase Andreas","CK 46 118 aula/aud"
".UT-113 for",2015-08-20,12:15,2015-08-20,14:00,"Cruickshank Jørn, Eriksen Stein Sundstøl, Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK B1 007 aud"
".UT-113 gr 20.08",2015-08-20,14:15,2015-08-20,16:00,"Cruickshank Jørn, Eriksen Stein Sundstøl, Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK 46 138, CK 46 139, CK 51 101, CK 51 102, CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d, CK 51 122e, CK 51 122f, CK 51 122g, CK GK 004, CK D3 024, CK D3 026, CK D3 032, CK G1 037, CK G1 038, CK G1 009, CK G1 011, CK GK 002, CK GK 003"
".UT-114-1 for ",2015-08-21,09:15,2015-08-21,11:00,"Lysgård Hans Kjetil, Wallevik Hege","CK B1 001 aud"
".UT-114-1 gr (ikke gr uke 35.40.42)",2015-08-21,11:15,2015-08-21,13:00,"Lysgård Hans Kjetil, Wallevik Hege","CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032"
"-HI-100 foreles",2015-08-24,08:15,2015-08-24,12:00,"Aase Andreas","CK 46 118 aula/aud"
".UT-113 for",2015-08-27,12:15,2015-08-27,14:00,"Cruickshank Jørn, Eriksen Stein Sundstøl, Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK B1 007 aud"
".UT-113 gr ",2015-08-27,14:15,2015-08-27,16:00,"Cruickshank Jørn, Eriksen Stein Sundstøl, Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK 46 138, CK 46 139, CK 51 101, CK 51 102, CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d, CK 51 122e, CK 51 122f, CK 51 122g, CK GK 004, CK D3 024, CK D3 026, CK D3 032, CK G1 037, CK G1 038, CK G1 009, CK G1 011, CK GK 002, CK GK 003"
".UT-114-1 for ",2015-08-28,09:15,2015-08-28,11:00,"Lysgård Hans Kjetil, Wallevik Hege","CK B1 001 aud"
"-HI-100 foreles ekstra uke 35",2015-08-28,12:15,2015-08-28,15:00,"Aase Andreas","CK B1 018 aud"
"-HI-100 foreles",2015-08-31,08:15,2015-08-31,12:00,"Aase Andreas","CK 46 118 aula/aud"
".UT-113 for",2015-09-03,12:15,2015-09-03,14:00,"Cruickshank Jørn, Eriksen Stein Sundstøl, Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK B1 007 aud"
".UT-113 gr ",2015-09-03,14:15,2015-09-03,16:00,"Cruickshank Jørn, Eriksen Stein Sundstøl, Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK 46 138, CK 46 139, CK 51 101, CK 51 102, CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d, CK 51 122e, CK 51 122f, CK 51 122g, CK GK 004, CK D3 024, CK D3 026, CK D3 032, CK G1 037, CK G1 038, CK G1 009, CK G1 011, CK GK 002, CK GK 003"
".UT-114-1 for ",2015-09-04,09:15,2015-09-04,11:00,"Lysgård Hans Kjetil, Wallevik Hege","CK B1 001 aud"
".UT-114-1 gr (ikke gr uke 35.40.42)",2015-09-04,11:15,2015-09-04,13:00,"Lysgård Hans Kjetil, Wallevik Hege","CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032"
".UT-113 for",2015-09-10,12:15,2015-09-10,14:00,"Cruickshank Jørn, Eriksen Stein Sundstøl, Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK B1 007 aud"
".UT-113 gr ",2015-09-10,14:15,2015-09-10,16:00,"Cruickshank Jørn, Eriksen Stein Sundstøl, Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK 46 138, CK 46 139, CK 51 101, CK 51 102, CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d, CK 51 122e, CK 51 122f, CK 51 122g, CK GK 004, CK D3 024, CK D3 026, CK D3 032, CK G1 037, CK G1 038, CK G1 009, CK G1 011, CK GK 002, CK GK 003"
".UT-114-1 for ",2015-09-11,09:15,2015-09-11,11:00,"Lysgård Hans Kjetil, Wallevik Hege","CK B1 001 aud"
".UT-114-1 gr (ikke gr uke 35.40.42)",2015-09-11,11:15,2015-09-11,13:00,"Lysgård Hans Kjetil, Wallevik Hege","CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032"
"-HI-100 foreles",2015-09-14,08:15,2015-09-14,12:00,"Aase Andreas","CK 46 118 aula/aud"
".UT-113 for",2015-09-17,12:15,2015-09-17,14:00,"Cruickshank Jørn, Eriksen Stein Sundstøl, Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK B1 007 aud"
".UT-113 gr ",2015-09-17,14:15,2015-09-17,16:00,"Cruickshank Jørn, Eriksen Stein Sundstøl, Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK 46 138, CK 46 139, CK 51 101, CK 51 102, CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d, CK 51 122e, CK 51 122f, CK 51 122g, CK GK 004, CK D3 024, CK D3 026, CK D3 032, CK G1 037, CK G1 038, CK G1 009, CK G1 011, CK GK 002, CK GK 003"
".UT-114-1 for ",2015-09-18,09:15,2015-09-18,11:00,"Lysgård Hans Kjetil, Wallevik Hege","CK B1 001 aud"
".UT-114-1 gr (ikke gr uke 35.40.42)",2015-09-18,11:15,2015-09-18,13:00,"Lysgård Hans Kjetil, Wallevik Hege","CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032"
"-HI-100 foreles",2015-09-21,08:15,2015-09-21,12:00,"Aase Andreas","CK 46 118 aula/aud"
".UT-113 for",2015-09-24,12:15,2015-09-24,14:00,"Cruickshank Jørn, Eriksen Stein Sundstøl, Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK B1 007 aud"
