Subject,Start Date,Start Time,End Date,End Time,Description,Location
"MUK110/MU-149 musikkhistorie ons",2015-08-12,10:15,2015-08-12,12:00,"Mathisen Terje H","CK G1 020"
"MUK109 Gehør 1uk tors",2015-08-13,11:15,2015-08-13,12:00,"Christensen Jorun","CK G1 020"
"MUK111 Musikkteknologi",2015-08-18,12:15,2015-08-18,14:00,"Bøe Jon Reidar","CK K3 024 midi-lab"
"MUK109/MU-151/MU-210/MU-300/MUK203 Felles klarinett tirs",2015-08-18,15:15,2015-08-18,16:00,"",""
"MUK109/MUK203/MU-151/MU-210/MU-300 Felles strykere Tir",2015-08-18,16:15,2015-08-18,17:00,"","CK K1 037 samspillsal 3"
"MUK110/MU-149 musikkhistorie ons",2015-08-19,10:15,2015-08-19,12:00,"Mathisen Terje H","CK G1 020"
"MUK109/MUK203/MU-151/MU-210/MU-300/MU-500 Felles gitar Ons",2015-08-19,12:15,2015-08-19,13:00,"Farstad Per Kjetil","CK K1 041 samspillsal 1"
"MUK109 Gehør 1uk tors",2015-08-20,11:15,2015-08-20,12:00,"Christensen Jorun","CK G1 020"
"MUK109/MUK203/MU-151/MU-210/MU-300/MU-500 Felles Klaver Tor",2015-08-20,15:15,2015-08-20,17:00,"","CK K1 041 samspillsal 1"
"MUK109/MUK203/MU-151/MU-210/MU-300/MU-500 Felles Fløyte Fre",2015-08-21,09:15,2015-08-21,11:00,"","CK K1 041 samspillsal 1"
"MU Klassiske felles-klasser/ seminar",2015-08-21,12:15,2015-08-21,15:00,"","CK K1 041 samspillsal 1"
"MUK111 Musikkteknologi",2015-08-25,12:15,2015-08-25,14:00,"Bøe Jon Reidar","CK K3 024 midi-lab"
"MUK109/MU-151/MU-210/MU-300/MUK203 Felles klarinett tirs",2015-08-25,15:15,2015-08-25,16:00,"",""
"MUK109/MUK203/MU-151/MU-210/MU-300 Felles strykere Tir",2015-08-25,16:15,2015-08-25,17:00,"","CK K1 037 samspillsal 3"
"MUK110/MU-149 musikkhistorie ons",2015-08-26,10:15,2015-08-26,12:00,"Mathisen Terje H","CK G1 020"
"MUK109 Gehør 1uk tors",2015-08-27,11:15,2015-08-27,12:00,"Christensen Jorun","CK G1 020"
"MUK109/MUK203/MU-151/MU-210/MU-300/MU-500 Felles Klaver Tor",2015-08-27,15:15,2015-08-27,17:00,"","CK K1 041 samspillsal 1"
