Subject,Start Date,Start Time,End Date,End Time,Description,Location
"MUK307/MU-151/MU-210/MU-300/MUK109/MUK203 Felles klarinett tirs",2015-08-18,15:15,2015-08-18,16:00,"","CK K1 041 samspillsal 1"
"MUK307/MU-151/MU-210/MU-300/MUK109/MUK203 Felles klarinett tirs",2015-08-25,15:15,2015-08-25,16:00,"","CK K1 041 samspillsal 1"
"MUK307/MU-151/MU-210/MU-300/MUK109/MUK203 Felles klarinett tirs",2015-09-01,15:15,2015-09-01,16:00,"","CK K1 041 samspillsal 1"
"MUK307/MU-151/MU-210/MU-300/MUK109/MUK203 Felles klarinett tirs",2015-09-08,15:15,2015-09-08,16:00,"","CK K1 041 samspillsal 1"
"MUK307/MU-151/MU-210/MU-300/MUK109/MUK203 Felles klarinett tirs",2015-09-15,15:15,2015-09-15,16:00,"","CK K1 041 samspillsal 1"
"MUK307/MU-151/MU-210/MU-300/MUK109/MUK203 Felles klarinett tirs",2015-09-22,15:15,2015-09-22,16:00,"","CK K1 041 samspillsal 1"
"MUK307/MU-151/MU-210/MU-300/MUK109/MUK203 Felles klarinett tirs",2015-09-29,15:15,2015-09-29,16:00,"","CK K1 041 samspillsal 1"
"MUK307/MU-151/MU-210/MU-300/MUK109/MUK203 Felles klarinett tirs",2015-10-06,15:15,2015-10-06,16:00,"","CK K1 041 samspillsal 1"
"MUK307/MU-151/MU-210/MU-300/MUK109/MUK203 Felles klarinett tirs",2015-10-13,15:15,2015-10-13,16:00,"","CK K1 041 samspillsal 1"
"MUK307/MU-151/MU-210/MU-300/MUK109/MUK203 Felles klarinett tirs",2015-10-27,15:15,2015-10-27,16:00,"","CK K1 041 samspillsal 1"
"MUK307/MU-151/MU-210/MU-300/MUK109/MUK203 Felles klarinett tirs",2015-11-03,15:15,2015-11-03,16:00,"","CK K1 041 samspillsal 1"
"MUK307/MU-151/MU-210/MU-300/MUK109/MUK203 Felles klarinett tirs",2015-11-10,15:15,2015-11-10,16:00,"","CK K1 041 samspillsal 1"
"MUK307/MU-151/MU-210/MU-300/MUK109/MUK203 Felles klarinett tirs",2015-11-17,15:15,2015-11-17,16:00,"","CK K1 041 samspillsal 1"
