Subject,Start Date,Start Time,End Date,End Time,Description,Location
"MUK501/MUK401 Masterseminar",2015-08-19,10:15,2015-08-19,12:00,"Farstad Per Kjetil","CK K1 037/Samspillsal 3"
"MUK501/MUK401 Masterseminar",2015-08-26,10:15,2015-08-26,12:00,"Farstad Per Kjetil","CK K1 037/Samspillsal 3"
"MUK501/MUK401 Masterseminar",2015-09-02,10:15,2015-09-02,12:00,"Farstad Per Kjetil","CK K1 037/Samspillsal 3"
"MUK501/MUK401 Masterseminar",2015-09-09,10:15,2015-09-09,12:00,"Farstad Per Kjetil","CK K1 037/Samspillsal 3"
"MUK501/MUK401 Masterseminar",2015-09-16,10:15,2015-09-16,12:00,"Farstad Per Kjetil","CK K1 037/Samspillsal 3"
"MUK501/MUK401 Masterseminar",2015-09-23,10:15,2015-09-23,12:00,"Farstad Per Kjetil","CK K1 037/Samspillsal 3"
"MUK501/MUK401 Masterseminar",2015-09-30,10:15,2015-09-30,12:00,"Farstad Per Kjetil","CK K1 037/Samspillsal 3"
"MUK501/MUK401 Masterseminar",2015-10-07,10:15,2015-10-07,12:00,"Farstad Per Kjetil","CK K1 037/Samspillsal 3"
"MUK501/MUK401 Masterseminar",2015-10-14,10:15,2015-10-14,12:00,"Farstad Per Kjetil","CK K1 037/Samspillsal 3"
"MUK501/MUK401 Masterseminar",2015-10-21,10:15,2015-10-21,12:00,"Farstad Per Kjetil","CK K1 037/Samspillsal 3"
"MUK501/MUK401 Masterseminar",2015-10-28,10:15,2015-10-28,12:00,"Farstad Per Kjetil","CK K1 037/Samspillsal 3"
"MUK501/MUK401 Masterseminar",2015-11-04,10:15,2015-11-04,12:00,"Farstad Per Kjetil","CK K1 037/Samspillsal 3"
"MUK501/MUK401 Masterseminar",2015-11-11,10:15,2015-11-11,12:00,"Farstad Per Kjetil","CK K1 037/Samspillsal 3"
"MUK501/MUK401 Masterseminar",2015-11-18,10:15,2015-11-18,12:00,"Farstad Per Kjetil","CK K1 037/Samspillsal 3"
