Subject,Start Date,Start Time,End Date,End Time,Description,Location
"MUR119 forel ons",2015-08-12,11:15,2015-08-12,13:00,"Gunvaldsen Erik","CK K3 024 midi-lab"
"MUR107/MU-136 Analyse/estetikk og vitenskaspsteori (2r)",2015-08-17,11:15,2015-08-17,13:00,"Gunvaldsen Erik, Tønsberg Knut","CK G1 018"
"MUR200/MUR106/MU-210/MU-300 Samspill C",2015-08-17,15:15,2015-08-17,17:00,"Bråthen Tore, Hoven Marius","CK K1 039 samspillsal 2"
"MUR119 forel ons",2015-08-19,11:15,2015-08-19,13:00,"Gunvaldsen Erik","CK K3 024 midi-lab"
"MUR120 Sounddesign 2url",2015-08-20,09:15,2015-08-20,11:00,"Gunvaldsen Erik","CK K3 024 midi-lab"
"MUR107/MU-136 Analyse/estetikk og vitenskaspsteori (2r)",2015-08-24,11:15,2015-08-24,13:00,"Gunvaldsen Erik, Tønsberg Knut","CK G1 018"
"MUR200/MUR106/MU-210/MU-300 Samspill C",2015-08-24,15:15,2015-08-24,17:00,"Bråthen Tore, Hoven Marius","CK K1 039 samspillsal 2"
"MUR119 forel ons",2015-08-26,11:15,2015-08-26,13:00,"Gunvaldsen Erik","CK K3 024 midi-lab"
"MUR120 Sounddesign 2url",2015-08-27,09:15,2015-08-27,11:00,"Gunvaldsen Erik","CK K3 024 midi-lab"
"MUR107/MU-136 Analyse/estetikk og vitenskaspsteori (2r)",2015-08-31,11:15,2015-08-31,13:00,"Gunvaldsen Erik, Tønsberg Knut","CK G1 018"
"MUR200/MUR106/MU-210/MU-300 Samspill C",2015-08-31,15:15,2015-08-31,17:00,"Bråthen Tore, Hoven Marius","CK K1 039 samspillsal 2"
"MUR119 forel ons",2015-09-02,11:15,2015-09-02,13:00,"Gunvaldsen Erik","CK K3 024 midi-lab"
"MUR120 Sounddesign 2url",2015-09-03,09:15,2015-09-03,11:00,"Gunvaldsen Erik","CK K3 024 midi-lab"
"MUR107/MU-136 Analyse/estetikk og vitenskaspsteori (2r)",2015-09-07,11:15,2015-09-07,13:00,"Gunvaldsen Erik, Tønsberg Knut","CK G1 018"
"MUR200/MUR106/MU-210/MU-300 Samspill C",2015-09-07,15:15,2015-09-07,17:00,"Bråthen Tore, Hoven Marius","CK K1 039 samspillsal 2"
"MUR119 forel ons",2015-09-09,11:15,2015-09-09,13:00,"Gunvaldsen Erik","CK K3 024 midi-lab"
"MUR120 Sounddesign 2url",2015-09-10,09:15,2015-09-10,11:00,"Gunvaldsen Erik","CK K3 024 midi-lab"
"MUR107/MU-136 Analyse/estetikk og vitenskaspsteori (2r)",2015-09-14,11:15,2015-09-14,13:00,"Gunvaldsen Erik, Tønsberg Knut","CK G1 018"
"MUR200/MUR106/MU-210/MU-300 Samspill C",2015-09-14,15:15,2015-09-14,17:00,"Bråthen Tore, Hoven Marius","CK K1 039 samspillsal 2"
"MUR119 forel ons",2015-09-16,11:15,2015-09-16,13:00,"Gunvaldsen Erik","CK K3 024 midi-lab"
"MUR120 Sounddesign 2url",2015-09-17,09:15,2015-09-17,11:00,"Gunvaldsen Erik","CK K3 024 midi-lab"
"MUR107/MU-136 Analyse/estetikk og vitenskaspsteori (2r)",2015-09-21,11:15,2015-09-21,13:00,"Gunvaldsen Erik, Tønsberg Knut","CK G1 018"
"MUR200/MUR106/MU-210/MU-300 Samspill C",2015-09-21,15:15,2015-09-21,17:00,"Bråthen Tore, Hoven Marius","CK K1 039 samspillsal 2"
"MUR119 forel ons",2015-09-23,11:15,2015-09-23,13:00,"Gunvaldsen Erik","CK K3 024 midi-lab"
"MUR120 Sounddesign 2url",2015-09-24,09:15,2015-09-24,11:00,"Gunvaldsen Erik","CK K3 024 midi-lab"
"MUR107/MU-136 Analyse/estetikk og vitenskaspsteori (2r)",2015-09-28,11:15,2015-09-28,13:00,"Gunvaldsen Erik, Tønsberg Knut","CK G1 018"
"MUR200/MUR106/MU-210/MU-300 Samspill C",2015-09-28,15:15,2015-09-28,17:00,"Bråthen Tore, Hoven Marius","CK K1 039 samspillsal 2"
"MUR119 forel ons",2015-09-30,11:15,2015-09-30,13:00,"Gunvaldsen Erik","CK K3 024 midi-lab"
