Subject,Start Date,Start Time,End Date,End Time,Description,Location
"MUR106/MUR200/MU-210/MU-300 Samspill C",2015-08-17,15:15,2015-08-17,17:00,"Bråthen Tore, Hoven Marius","CK K1 039 samspillsal 2"
"MUR106/MUR200/MU-210/MU-300 Samspill C",2015-08-24,15:15,2015-08-24,17:00,"Bråthen Tore, Hoven Marius","CK K1 039 samspillsal 2"
"MUR106/MUR200/MU-210/MU-300 Samspill C",2015-08-31,15:15,2015-08-31,17:00,"Bråthen Tore, Hoven Marius","CK K1 039 samspillsal 2"
"MUR106/MUR200/MU-210/MU-300 Samspill C",2015-09-07,15:15,2015-09-07,17:00,"Bråthen Tore, Hoven Marius","CK K1 039 samspillsal 2"
"MUR106/MUR200/MU-210/MU-300 Samspill C",2015-09-14,15:15,2015-09-14,17:00,"Bråthen Tore, Hoven Marius","CK K1 039 samspillsal 2"
"MUR106/MUR200/MU-210/MU-300 Samspill C",2015-09-21,15:15,2015-09-21,17:00,"Bråthen Tore, Hoven Marius","CK K1 039 samspillsal 2"
"MUR106/MUR200/MU-210/MU-300 Samspill C",2015-09-28,15:15,2015-09-28,17:00,"Bråthen Tore, Hoven Marius","CK K1 039 samspillsal 2"
"MUR106/MUR200/MU-210/MU-300 Samspill C",2015-10-05,15:15,2015-10-05,17:00,"Bråthen Tore, Hoven Marius","CK K1 039 samspillsal 2"
"MUR106/MUR200/MU-210/MU-300 Samspill C",2015-10-12,15:15,2015-10-12,17:00,"Bråthen Tore, Hoven Marius","CK K1 039 samspillsal 2"
"MUR106/MUR200/MU-210/MU-300 Samspill C",2015-10-19,15:15,2015-10-19,17:00,"Bråthen Tore, Hoven Marius","CK K1 039 samspillsal 2"
"MUR106/MUR200/MU-210/MU-300 Samspill C",2015-10-26,15:15,2015-10-26,17:00,"Bråthen Tore, Hoven Marius","CK K1 039 samspillsal 2"
"MUR106/MUR200/MU-210/MU-300 Samspill C",2015-11-02,15:15,2015-11-02,17:00,"Bråthen Tore, Hoven Marius","CK K1 039 samspillsal 2"
"MUR106/MUR200/MU-210/MU-300 Samspill C",2015-11-09,15:15,2015-11-09,17:00,"Bråthen Tore, Hoven Marius","CK K1 039 samspillsal 2"
"MUR106/MUR200/MU-210/MU-300 Samspill C",2015-11-16,15:15,2015-11-16,17:00,"Bråthen Tore, Hoven Marius","CK K1 039 samspillsal 2"
