Subject,Start Date,Start Time,End Date,End Time,Description,Location
"MUR118 Musikkprogramering (urL)",2015-08-17,11:15,2015-08-17,14:00,"Brodtkorb Henrik J","CK K3 024 midi-lab"
"MUR113/MU-151 Musikkteori 1ur/1fr. tirs",2015-08-18,09:15,2015-08-18,11:00,"Bråthen Tore","CK K1 037 samspillsal 3"
"MUR113/MUR162 Musikkteori 1url/1alr. ons",2015-08-19,09:15,2015-08-19,11:00,"Gunvaldsen Erik","CK K3 024 midi-lab"
"MUR113/MUR162 Gehør og rytmikk1url/1alr. ons",2015-08-19,12:15,2015-08-19,13:00,"Wennerberg Karl Oluf","CK K1 039 samspillsal 2"
"MUR114/MU-149 Musikkhistorie (1ur/1urL/1fr)",2015-08-20,09:15,2015-08-20,11:00,"Rasmussen Bruce C","CK K1 037 samspillsal 3"
"MUR118 Produsentarbeid (1urL)",2015-08-20,13:15,2015-08-20,16:00,"Aareskiold Jon Marius","CK K3 024 midi-lab"
"MUR113/MU-210 laptopensemble. tors",2015-08-20,16:15,2015-08-20,18:00,"",""
"MUR118 Musikkprogramering (urL)",2015-08-24,11:15,2015-08-24,14:00,"Brodtkorb Henrik J","CK K3 024 midi-lab"
"MUR113/MU-151 Musikkteori 1ur/1fr. tirs",2015-08-25,09:15,2015-08-25,11:00,"Bråthen Tore","CK K1 037 samspillsal 3"
"MUR113/MUR162 Musikkteori 1url/1alr. ons",2015-08-26,09:15,2015-08-26,11:00,"Gunvaldsen Erik","CK K3 024 midi-lab"
"MUR113/MUR162 Gehør og rytmikk1url/1alr. ons",2015-08-26,12:15,2015-08-26,13:00,"Wennerberg Karl Oluf","CK K1 039 samspillsal 2"
"MUR114/MU-149 Musikkhistorie (1ur/1urL/1fr)",2015-08-27,09:15,2015-08-27,11:00,"Rasmussen Bruce C","CK K1 037 samspillsal 3"
"MUR118 Produsentarbeid (1urL)",2015-08-27,13:15,2015-08-27,16:00,"Aareskiold Jon Marius","CK K3 024 midi-lab"
"MUR113/MU-210 laptopensemble. tors",2015-08-27,16:15,2015-08-27,18:00,"",""
"MUR118 Musikkprogramering (urL)",2015-08-31,11:15,2015-08-31,14:00,"Brodtkorb Henrik J","CK K3 024 midi-lab"
"MUR113/MU-151 Musikkteori 1ur/1fr. tirs",2015-09-01,09:15,2015-09-01,11:00,"Bråthen Tore","CK K1 037 samspillsal 3"
"MUR113/MUR162 Musikkteori 1url/1alr. ons",2015-09-02,09:15,2015-09-02,11:00,"Gunvaldsen Erik","CK K3 024 midi-lab"
"MUR113/MUR162 Gehør og rytmikk1url/1alr. ons",2015-09-02,12:15,2015-09-02,13:00,"Wennerberg Karl Oluf","CK K1 039 samspillsal 2"
"MUR114/MU-149 Musikkhistorie (1ur/1urL/1fr)",2015-09-03,09:15,2015-09-03,11:00,"Rasmussen Bruce C","CK K1 037 samspillsal 3"
"MUR118 Produsentarbeid (1urL)",2015-09-03,13:15,2015-09-03,16:00,"Aareskiold Jon Marius","CK K3 024 midi-lab"
"MUR113/MU-210 laptopensemble. tors",2015-09-03,16:15,2015-09-03,18:00,"",""
"MUR118 Musikkprogramering (urL)",2015-09-07,11:15,2015-09-07,14:00,"Brodtkorb Henrik J","CK K3 024 midi-lab"
"MUR113/MU-151 Musikkteori 1ur/1fr. tirs",2015-09-08,09:15,2015-09-08,11:00,"Bråthen Tore","CK K1 037 samspillsal 3"
