Subject,Start Date,Start Time,End Date,End Time,Description,Location
"MUR500 Masterseminar (MaR)",2015-08-26,12:15,2015-08-26,15:00,"Drabløs Per Elias","CK K1 037/Samspillsal 3"
"MUR400 Masterinterpret (MaR)",2015-09-02,09:15,2015-09-02,12:00,"Nypan Øyvind, Rasch Bjørn Ole","CK K1 039/samspillsal 2"
"MUR500 Masterseminar (MaR)",2015-09-02,12:15,2015-09-02,15:00,"Drabløs Per Elias","CK K1 037/Samspillsal 3"
"MUR400 Masterinterpret (MaR)",2015-09-16,09:15,2015-09-16,12:00,"Nypan Øyvind, Rasch Bjørn Ole","CK K1 039/samspillsal 2"
"MUR500 Masterseminar (MaR)",2015-09-16,12:15,2015-09-16,15:00,"Drabløs Per Elias","CK K1 037/Samspillsal 3"
"MUR400 Masterinterpret (MaR)",2015-09-30,09:15,2015-09-30,12:00,"Nypan Øyvind, Rasch Bjørn Ole","CK K1 039/samspillsal 2"
"MUR500 Masterseminar (MaR)",2015-09-30,12:15,2015-09-30,15:00,"Drabløs Per Elias","CK K1 037/Samspillsal 3"
"MUR400 Masterinterpret (MaR)",2015-10-14,09:15,2015-10-14,12:00,"Nypan Øyvind, Rasch Bjørn Ole","CK K1 039/samspillsal 2"
"MUR500 Masterseminar (MaR)",2015-10-14,12:15,2015-10-14,15:00,"Drabløs Per Elias","CK K1 037/Samspillsal 3"
"MUR400 Masterinterpret (MaR)",2015-10-28,09:15,2015-10-28,12:00,"Nypan Øyvind, Rasch Bjørn Ole","CK K1 039/samspillsal 2"
"MUR500 Masterseminar (MaR)",2015-10-28,12:15,2015-10-28,15:00,"Drabløs Per Elias","CK K1 037/Samspillsal 3"
"MUR400 Masterinterpret (MaR)",2015-11-11,09:15,2015-11-11,12:00,"Nypan Øyvind, Rasch Bjørn Ole","CK K1 039/samspillsal 2"
"MUR500 Masterseminar (MaR)",2015-11-11,12:15,2015-11-11,15:00,"Drabløs Per Elias","CK K1 037/Samspillsal 3"
"MUR400 Masterinterpret (MaR)",2015-11-18,09:15,2015-11-18,12:00,"Nypan Øyvind, Rasch Bjørn Ole","CK K1 039/samspillsal 2"
"MUR500 Masterseminar (MaR)",2015-11-18,12:15,2015-11-18,15:00,"Drabløs Per Elias","CK K1 037/Samspillsal 3"
