Subject,Start Date,Start Time,End Date,End Time,Description,Location
"VER300-G 12.08",2015-08-12,12:15,2015-08-12,16:00,"Steig, Marianne","CG A3 025 sem (VER)"
"VER300-G 17.08",2015-08-17,08:15,2015-08-17,12:00,"Nilsen, Geir Sigmund","CG A3 027 sem (VER)"
"VER300-G 18.08",2015-08-18,08:15,2015-08-18,12:00,"Abusland, Terje","CG A3 027 sem (VER)"
"VER300-G 20.08",2015-08-20,08:15,2015-08-20,12:00,"Abusland, Terje","CG A3 027 sem (VER)"
"VER300-G 21.08",2015-08-21,08:15,2015-08-21,12:00,"Nilsen, Geir Sigmund","CG A3 027 sem (VER)"
"VER300-G 24.08",2015-08-24,08:15,2015-08-24,12:00,"Gundersen, Bjørn Vidar","CG A3 027 sem (VER)"
"VER300-G 26.08",2015-08-26,08:15,2015-08-26,10:00,"Nilsen, Geir Sigmund","CG A3 027 sem (VER)"
"VER300-G 26.08",2015-08-26,10:15,2015-08-26,12:00,"Haugland, Siri","CG A3 027 sem (VER)"
"VER300-G 27.08 grom",2015-08-27,08:15,2015-08-27,14:00,"Steig, Marianne","CG C3 091"
"VER300-G 31.08",2015-08-31,08:15,2015-08-31,12:00,"Abusland, Terje","CG A3 027 sem (VER)"
"VER300-G 01.09 grom",2015-09-01,08:15,2015-09-01,14:00,"Abusland, Terje","CG C3 091"
"VER300-G 04.09",2015-09-04,08:15,2015-09-04,10:00,"Haugland, Siri","CG A3 027 sem (VER)"
"VER300-G 04.09",2015-09-04,10:15,2015-09-04,12:00,"Bergstøl, Lisbeth","CG A3 027 sem (VER)"
"VER300-G 08.09",2015-09-08,08:15,2015-09-08,10:00,"Haugland, Siri","CG A3 027 sem (VER)"
"VER300-G 10.09",2015-09-10,08:15,2015-09-10,12:00,"Steig, Marianne","CG A3 027 sem (VER)"
"VER300-G 11.09",2015-09-11,08:15,2015-09-11,12:00,"Nilsen, Geir Sigmund","CG A3 027 sem (VER)"
"VER300-G 14.09",2015-09-14,12:15,2015-09-14,16:00,"Nilsen, Geir Sigmund","CG A3 027 sem (VER)"
"VER300-G 15.09",2015-09-15,12:15,2015-09-15,16:00,"Abusland, Terje","CG A3 027 sem (VER)"
"VER304-G 24.09 kl 0815-1215",2015-09-24,08:15,2015-09-24,12:00,"Haugland, Silje","CG A2 023 sem"
"VER304-G 24.09 kl 1215-1515",2015-09-24,12:15,2015-09-24,14:00,"Haugland, Silje","CG A2 027 sem"
"VER304-G 25.09",2015-09-25,09:15,2015-09-25,15:00,"Haugland, Silje","CG F 203 sem"
"VER304-G 14.10",2015-10-14,09:15,2015-10-14,12:00,"Haugland, Silje","CG A3 027 sem (VER)"
"VER304-G 27.10",2015-10-27,12:15,2015-10-27,15:00,"","CG C3 072 aud"
"VER304-G 18.11",2015-11-25,09:15,2015-11-25,12:00,"Haugland, Silje","CG A3 027 sem (VER)"
