Subject,Start Date,Start Time,End Date,End Time,Description,Location
".MF-203 for (H1 058)",2015-08-12,08:15,2015-08-12,11:00,"Saeed Naima","CK H1 058 aud"
".IS-108-1 for Wed ",2015-08-12,11:15,2015-08-12,15:00,"Henriksen Helle Zinner","CK D3 018 sem"
".MF-205-1 for wk 33 START 14:15 hours (B2 003)",2015-08-12,14:15,2015-08-12,17:00,"Sirisena Amila","CK B2 003 aud"
".SE-305 for 2 ",2015-08-13,15:15,2015-08-13,18:00,"Goeller Daniel","CK B3 008 aud"
".BE-211-1 for ",2015-08-14,08:15,2015-08-14,11:00,"Haaland Geir","CK B2 003 aud"
".EN-139 for 1 S.E. ",2015-08-14,12:15,2015-08-14,14:00,"Erdmann Susan","CK B2 003 aud"
".EN-139 sem L.M.W. (gr 1)",2015-08-14,14:15,2015-08-14,15:00,"Erdmann Susan, Whitehead Lisa Marie","CK B2 014 sem"
".EN-139 sem L.M.W. (gr 2)",2015-08-14,15:15,2015-08-14,16:00,"Erdmann Susan, Whitehead Lisa Marie","CK B3 007 aud"
".JU-305 for 34.41.42",2015-08-17,08:15,2015-08-17,11:00,"Husby Marianne","CK B3 007 aud"
".JU-305 gr ",2015-08-17,11:15,2015-08-17,14:00,"Husby Marianne","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 119, CK 15 118, CK 15 117, CK 15 116, CK 15 115, CK 15 114"
".ORG313-1 sem",2015-08-18,08:15,2015-08-18,15:00,"Arntsen Erik, Shneor Rotem","CK 15 110 sem (ikke PC)"
".ORG313-1 gr",2015-08-18,08:15,2015-08-18,15:00,"Arntsen Erik, Shneor Rotem","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 114"
".ORG313-1 for I1 066)",2015-08-18,08:15,2015-08-18,15:00,"Arntsen Erik, Shneor Rotem","CK I1 066 aud"
".SE-305 gr",2015-08-18,13:15,2015-08-18,15:00,"Goeller Daniel","CK 50 110, CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 114c "
".SE-305 for 1 ",2015-08-18,15:15,2015-08-18,18:00,"Goeller Daniel","CK B3 008 aud"
".MF-203 for wk 34 & 45 (I1 066)",2015-08-19,08:15,2015-08-19,11:00,"Saeed Naima","CK I1 066 aud"
".BE-313-1 for 34-39 (B3 008)",2015-08-19,11:15,2015-08-19,13:00,"Alon Anna","CK B3 008 aud"
".MF-205-1 for 34.36.37.38.40.41.42.43.44 (B2 003)",2015-08-19,13:15,2015-08-19,16:00,"Sirisena Amila","CK B2 003 aud"
".JU-207/JU-300 for ",2015-08-20,09:15,2015-08-20,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
".JU-207/JU-300 gr ",2015-08-20,12:15,2015-08-20,14:00,"Lunøe-Nielsen Kari","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".BE-317/BE-315 for GH/TH wk 34-41.43",2015-08-20,12:15,2015-08-20,15:00,"Heskestad Terje, Haaland, Geir","CK B3 007 aud"
".SE-305 for 2 ",2015-08-20,15:15,2015-08-20,18:00,"Goeller Daniel","CK B3 008 aud"
".BE-211-1 for ",2015-08-21,08:15,2015-08-21,11:00,"Haaland Geir","CK B2 003 aud"
".EN-139 for 1 S.E. ",2015-08-21,12:15,2015-08-21,14:00,"Erdmann Susan","CK B2 003 aud"
".EN-139 sem L.M.W. (gr 1)",2015-08-21,14:15,2015-08-21,15:00,"Erdmann Susan, Whitehead Lisa Marie","CK B2 014 sem"
".EN-139 sem L.M.W. (gr 2)",2015-08-21,15:15,2015-08-21,16:00,"Erdmann Susan, Whitehead Lisa Marie","CK B3 007 aud"
".JU-305 for 35.36.37.38.39.40.43.44.45.46.47",2015-08-24,08:15,2015-08-24,11:00,"Husby Marianne","CK B2 003 aud"
".JU-305 gr ",2015-08-24,11:15,2015-08-24,14:00,"Husby Marianne","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 119, CK 15 118, CK 15 117, CK 15 116, CK 15 115, CK 15 114"
".BE-313-1 gr 35-47 (B3)",2015-08-24,14:15,2015-08-24,16:00,"Alon Anna","CK B3 019, CK B3 021, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029, CK B3 018"
".ORG313-1 sem",2015-08-25,08:15,2015-08-25,15:00,"Arntsen Erik, Shneor Rotem","CK 15 110 sem (ikke PC)"
".ORG313-1 gr",2015-08-25,08:15,2015-08-25,15:00,"Arntsen Erik, Shneor Rotem","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 114"
".ORG313-1 for I1 066)",2015-08-25,08:15,2015-08-25,15:00,"Arntsen Erik, Shneor Rotem","CK I1 066 aud"
".SE-305 gr",2015-08-25,13:15,2015-08-25,15:00,"Goeller Daniel","CK 50 110, CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 114c "
".SE-305 for 1 ",2015-08-25,15:15,2015-08-25,18:00,"Goeller Daniel","CK B3 008 aud"
".MF-203 for (H1 058)",2015-08-26,08:15,2015-08-26,11:00,"Saeed Naima","CK H1 058 aud"
".BE-313-1 for 34-39 (B3 008)",2015-08-26,11:15,2015-08-26,13:00,"Alon Anna","CK B3 008 aud"
".JU-207/JU-300 for ",2015-08-27,09:15,2015-08-27,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
