Subject,Start Date,Start Time,End Date,End Time,Description,Location
".BE-315/BE-317 for GH/TH wk 33-41.43",2015-08-13,12:15,2015-08-13,15:00,"Heskestad Terje, Haaland, Geir","CK B3 007 aud"
".BE-211-1 for kun GH",2015-08-14,08:15,2015-08-14,11:00,"Haaland Geir","CK B2 003 aud"
".JU-305 for 34.41.42",2015-08-17,08:15,2015-08-17,11:00,"Husby Marianne","CK B3 007 aud"
".JU-305 gr ",2015-08-17,11:15,2015-08-17,14:00,"Husby Marianne","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 119, CK 15 118, CK 15 117, CK 15 116, CK 15 115, CK 15 114"
".BE-313-1 for 34 STREAM B2 001 & B3 008",2015-08-19,11:15,2015-08-19,13:00,"Alon Anna","CK B2 001 aud, CK B3 008 aud"
".BE-315/BE-317 for GH/TH wk 33-41.43",2015-08-20,12:15,2015-08-20,15:00,"Heskestad Terje, Haaland, Geir","CK B3 007 aud"
".BE-211-1 for kun GH",2015-08-21,08:15,2015-08-21,11:00,"Haaland Geir","CK B2 003 aud"
".JU-305 for 35.36.37.38.39.40.43.44.45.46.47",2015-08-24,08:15,2015-08-24,11:00,"Husby Marianne","CK B2 003 aud"
".JU-305 gr ",2015-08-24,11:15,2015-08-24,14:00,"Husby Marianne","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 119, CK 15 118, CK 15 117, CK 15 116, CK 15 115, CK 15 114"
".BE-313-1 gr 35-47 (B3)",2015-08-24,14:15,2015-08-24,16:00,"Alon Anna","CK B3 019, CK B3 021, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029, CK B3 018"
".BE-313-1 for 35.38 (B3 008)",2015-08-26,11:15,2015-08-26,13:00,"Alon Anna","CK B3 008 aud"
".BE-315/BE-317 for GH/TH wk 33-41.43",2015-08-27,12:15,2015-08-27,15:00,"Heskestad Terje, Haaland, Geir","CK B3 007 aud"
".BE-211-1 for GH/SN",2015-08-28,08:15,2015-08-28,11:00,"Haaland Geir, Nerskogen Sylvi","CK B2 003 aud"
".JU-305 for 35.36.37.38.39.40.43.44.45.46.47",2015-08-31,08:15,2015-08-31,11:00,"Husby Marianne","CK B2 003 aud"
".JU-305 gr ",2015-08-31,11:15,2015-08-31,14:00,"Husby Marianne","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 119, CK 15 118, CK 15 117, CK 15 116, CK 15 115, CK 15 114"
".BE-313-1 gr 35-47 (B3)",2015-08-31,14:15,2015-08-31,16:00,"Alon Anna","CK B3 019, CK B3 021, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029, CK B3 018"
".BE-313-1 for 36 STREAM B2 014 & B3 008",2015-09-02,11:15,2015-09-02,13:00,"Alon Anna","CK B2 014 sem, CK B3 008 aud"
".BE-315/BE-317 for GH/TH wk 33-41.43",2015-09-03,12:15,2015-09-03,15:00,"Heskestad Terje, Haaland, Geir","CK B3 007 aud"
".BE-211-1 for GH/SN",2015-09-04,08:15,2015-09-04,11:00,"Haaland Geir, Nerskogen Sylvi","CK B2 003 aud"
".JU-305 for 35.36.37.38.39.40.43.44.45.46.47",2015-09-07,08:15,2015-09-07,11:00,"Husby Marianne","CK B2 003 aud"
".JU-305 gr ",2015-09-07,11:15,2015-09-07,14:00,"Husby Marianne","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 119, CK 15 118, CK 15 117, CK 15 116, CK 15 115, CK 15 114"
".BE-313-1 gr 35-47 (B3)",2015-09-07,14:15,2015-09-07,16:00,"Alon Anna","CK B3 019, CK B3 021, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029, CK B3 018"
".BE-313-1 for 37.39 (B1 001)",2015-09-09,11:15,2015-09-09,13:00,"Alon Anna","CK B1 001 aud"
".BE-315/BE-317 for GH/TH wk 33-41.43",2015-09-10,12:15,2015-09-10,15:00,"Heskestad Terje, Haaland, Geir","CK B3 007 aud"
".BE-211-1 for GH/SN",2015-09-11,08:15,2015-09-11,11:00,"Haaland Geir, Nerskogen Sylvi","CK B2 003 aud"
".JU-305 for 35.36.37.38.39.40.43.44.45.46.47",2015-09-14,08:15,2015-09-14,11:00,"Husby Marianne","CK B2 003 aud"
".JU-305 gr ",2015-09-14,11:15,2015-09-14,14:00,"Husby Marianne","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 119, CK 15 118, CK 15 117, CK 15 116, CK 15 115, CK 15 114"
".BE-313-1 gr 35-47 (B3)",2015-09-14,14:15,2015-09-14,16:00,"Alon Anna","CK B3 019, CK B3 021, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029, CK B3 018"
".BE-313-1 for 35.38 (B3 008)",2015-09-16,11:15,2015-09-16,13:00,"Alon Anna","CK B3 008 aud"
".BE-315/BE-317 for GH/TH wk 33-41.43",2015-09-17,12:15,2015-09-17,15:00,"Heskestad Terje, Haaland, Geir","CK B3 007 aud"
".BE-211-1 for GH/SN",2015-09-18,08:15,2015-09-18,11:00,"Haaland Geir, Nerskogen Sylvi","CK B2 003 aud"
".JU-305 for 35.36.37.38.39.40.43.44.45.46.47",2015-09-21,08:15,2015-09-21,11:00,"Husby Marianne","CK B2 003 aud"
".JU-305 gr ",2015-09-21,11:15,2015-09-21,14:00,"Husby Marianne","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 119, CK 15 118, CK 15 117, CK 15 116, CK 15 115, CK 15 114"
".BE-313-1 gr 35-47 (B3)",2015-09-21,14:15,2015-09-21,16:00,"Alon Anna","CK B3 019, CK B3 021, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029, CK B3 018"
".BE-313-1 for 37.39 (B1 001)",2015-09-23,11:15,2015-09-23,13:00,"Alon Anna","CK B1 001 aud"
".BE-315/BE-317 for GH/TH wk 33-41.43",2015-09-24,12:15,2015-09-24,15:00,"Heskestad Terje, Haaland, Geir","CK B3 007 aud"
".BE-211-1 for GH/JLB",2015-09-25,08:15,2015-09-25,11:00,"Berglund Jacob L, Haaland Geir","CK B2 003 aud"
".JU-305 for 35.36.37.38.39.40.43.44.45.46.47",2015-09-28,08:15,2015-09-28,11:00,"Husby Marianne","CK B2 003 aud"
".JU-305 gr ",2015-09-28,11:15,2015-09-28,14:00,"Husby Marianne","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 119, CK 15 118, CK 15 117, CK 15 116, CK 15 115, CK 15 114"
".BE-313-1 gr 35-47 (B3)",2015-09-28,14:15,2015-09-28,16:00,"Alon Anna","CK B3 019, CK B3 021, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029, CK B3 018"
".BE-313-1 for 40-47 (H1 058)",2015-09-30,11:15,2015-09-30,13:00,"Alon Anna","CK H1 058 aud"
".BE-315/BE-317 for GH/TH wk 33-41.43",2015-10-01,12:15,2015-10-01,15:00,"Heskestad Terje, Haaland, Geir","CK B3 007 aud"
".BE-211-1 for kun GH",2015-10-02,08:15,2015-10-02,11:00,"Haaland Geir","CK B2 003 aud"
".JU-305 for 34.41.42",2015-10-05,08:15,2015-10-05,11:00,"Husby Marianne","CK B3 007 aud"
".JU-305 gr ",2015-10-05,11:15,2015-10-05,14:00,"Husby Marianne","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 119, CK 15 118, CK 15 117, CK 15 116, CK 15 115, CK 15 114"
".BE-313-1 gr 35-47 (B3)",2015-10-05,14:15,2015-10-05,16:00,"Alon Anna","CK B3 019, CK B3 021, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029, CK B3 018"
".BE-313-1 for 40-47 (H1 058)",2015-10-07,11:15,2015-10-07,13:00,"Alon Anna","CK H1 058 aud"
".BE-315/BE-317 for GH/TH wk 33-41.43",2015-10-08,12:15,2015-10-08,15:00,"Heskestad Terje, Haaland, Geir","CK B3 007 aud"
".BE-211-1 for GH/JLB",2015-10-09,08:15,2015-10-09,11:00,"Berglund Jacob L, Haaland Geir","CK B2 003 aud"
".JU-305 for 34.41.42",2015-10-12,08:15,2015-10-12,11:00,"Husby Marianne","CK B3 007 aud"
".JU-305 gr ",2015-10-12,11:15,2015-10-12,14:00,"Husby Marianne","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 119, CK 15 118, CK 15 117, CK 15 116, CK 15 115, CK 15 114"
".BE-313-1 gr 35-47 (B3)",2015-10-12,14:15,2015-10-12,16:00,"Alon Anna","CK B3 019, CK B3 021, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029, CK B3 018"
".BE-313-1 for 40-47 (H1 058)",2015-10-14,11:15,2015-10-14,13:00,"Alon Anna","CK H1 058 aud"
".BE-315/BE-317 for GH/TH wk 42.44.45.47",2015-10-15,12:15,2015-10-15,15:00,"Heskestad Terje, Haaland, Geir","CK B2 003 aud"
".JU-305 for 35.36.37.38.39.40.43.44.45.46.47",2015-10-19,08:15,2015-10-19,11:00,"Husby Marianne","CK B2 003 aud"
".JU-305 gr ",2015-10-19,11:15,2015-10-19,14:00,"Husby Marianne","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 119, CK 15 118, CK 15 117, CK 15 116, CK 15 115, CK 15 114"
".BE-313-1 gr 35-47 (B3)",2015-10-19,14:15,2015-10-19,16:00,"Alon Anna","CK B3 019, CK B3 021, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029, CK B3 018"
".BE-313-1 for 40-47 (H1 058)",2015-10-21,11:15,2015-10-21,13:00,"Alon Anna","CK H1 058 aud"
".BE-315/BE-317 for GH/TH wk 33-41.43",2015-10-22,12:15,2015-10-22,15:00,"Heskestad Terje, Haaland, Geir","CK B3 007 aud"
".BE-211-1 for GH/JLB",2015-10-23,08:15,2015-10-23,11:00,"Berglund Jacob L, Haaland Geir","CK B2 003 aud"
