Subject,Start Date,Start Time,End Date,End Time,Description,Location
".ORG409 Frid (32-37)",2015-08-07,09:15,2015-08-07,12:00,"Efrat Kalanit","CK D3 018 sem"
".ORG409 Mond (33-38)",2015-08-10,13:15,2015-08-10,16:00,"Efrat Kalanit","CK B2 014 sem"
".BE-410 prelim Wed Aug 12 (46 118)",2015-08-12,10:15,2015-08-12,11:00,"Koekebakker Steen","CK 46 118 aula/aud"
".BE-410 prelim Wed Aug 12 (B1 007)",2015-08-12,12:15,2015-08-12,14:00,"Koekebakker Steen","CK B1 007 aud"
".ORG409 Frid (32-37)",2015-08-14,09:15,2015-08-14,12:00,"Efrat Kalanit","CK D3 018 sem"
".ORG409 Mond (33-38)",2015-08-17,13:15,2015-08-17,16:00,"Efrat Kalanit","CK B2 014 sem"
".BE-410 for 1 Tues 34-39 (LEIE LOKALE)",2015-08-18,08:15,2015-08-18,11:00,"Koekebakker Steen",""
".BE-410 for 2 Wed 34-39 (46 118)",2015-08-19,09:15,2015-08-19,12:00,"Koekebakker Steen","CK 46 118 aula/aud"
".BE-410 gr Wed 34-39",2015-08-19,12:15,2015-08-19,15:00,"Koekebakker Steen","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 119, CK 15 118, CK 15 117, CK 15 116, CK 15 115, CK 15 114, CK F2 012, CK F2 016, CK F2 017, CK F2 018, CK F2 019, CK F2 021, CK F2 022, CK F2 026, CK F2 023, CK F2 024, CK F1 002, CK F1 004, CK F1 007, CK F1 008"
".ORG409 Frid (32-37)",2015-08-21,09:15,2015-08-21,12:00,"Efrat Kalanit","CK D3 018 sem"
".ORG409 Mond (33-38)",2015-08-24,13:15,2015-08-24,16:00,"Efrat Kalanit","CK B2 014 sem"
".BE-410 for 1 Tues 34-39 (LEIE LOKALE)",2015-08-25,08:15,2015-08-25,11:00,"Koekebakker Steen",""
".BE-410 for 2 Wed 34-39 (46 118)",2015-08-26,09:15,2015-08-26,12:00,"Koekebakker Steen","CK 46 118 aula/aud"
".BE-410 gr Wed 34-39",2015-08-26,12:15,2015-08-26,15:00,"Koekebakker Steen","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 119, CK 15 118, CK 15 117, CK 15 116, CK 15 115, CK 15 114, CK F2 012, CK F2 016, CK F2 017, CK F2 018, CK F2 019, CK F2 021, CK F2 022, CK F2 026, CK F2 023, CK F2 024, CK F1 002, CK F1 004, CK F1 007, CK F1 008"
".ORG409 Frid (32-37)",2015-08-28,09:15,2015-08-28,12:00,"Efrat Kalanit","CK D3 018 sem"
".ORG409 Mond (33-38)",2015-08-31,13:15,2015-08-31,16:00,"Efrat Kalanit","CK B2 014 sem"
".BE-410 for 1 Tues 34-39 (LEIE LOKALE)",2015-09-01,08:15,2015-09-01,11:00,"Koekebakker Steen",""
".BE-410 for 2 Wed 34-39 (46 118)",2015-09-02,09:15,2015-09-02,12:00,"Koekebakker Steen","CK 46 118 aula/aud"
".BE-410 gr Wed 34-39",2015-09-02,12:15,2015-09-02,15:00,"Koekebakker Steen","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 119, CK 15 118, CK 15 117, CK 15 116, CK 15 115, CK 15 114, CK F2 012, CK F2 016, CK F2 017, CK F2 018, CK F2 019, CK F2 021, CK F2 022, CK F2 026, CK F2 023, CK F2 024, CK F1 002, CK F1 004, CK F1 007, CK F1 008"
".ORG409 Frid (32-37)",2015-09-04,09:15,2015-09-04,12:00,"Efrat Kalanit","CK D3 018 sem"
".ORG409 Mond (33-38)",2015-09-07,13:15,2015-09-07,16:00,"Efrat Kalanit","CK B2 014 sem"
".BE-410 for 1 Tues 34-39 (LEIE LOKALE)",2015-09-08,08:15,2015-09-08,11:00,"Koekebakker Steen",""
".BE-410 for 2 Wed 34-39 (46 118)",2015-09-09,09:15,2015-09-09,12:00,"Koekebakker Steen","CK 46 118 aula/aud"
".BE-410 gr Wed 34-39",2015-09-09,12:15,2015-09-09,15:00,"Koekebakker Steen","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 119, CK 15 118, CK 15 117, CK 15 116, CK 15 115, CK 15 114, CK F2 012, CK F2 016, CK F2 017, CK F2 018, CK F2 019, CK F2 021, CK F2 022, CK F2 026, CK F2 023, CK F2 024, CK F1 002, CK F1 004, CK F1 007, CK F1 008"
".ORG409 Frid (32-37)",2015-09-11,09:15,2015-09-11,12:00,"Efrat Kalanit","CK D3 018 sem"
".ORG409 Mond (33-38)",2015-09-14,13:15,2015-09-14,16:00,"Efrat Kalanit","CK B2 014 sem"
".BE-410 for 1 Tues 34-39 (LEIE LOKALE)",2015-09-15,08:15,2015-09-15,11:00,"Koekebakker Steen",""
".BE-410 for 2 Wed 34-39 (46 118)",2015-09-16,09:15,2015-09-16,12:00,"Koekebakker Steen","CK 46 118 aula/aud"
".BE-410 gr Wed 34-39",2015-09-16,12:15,2015-09-16,15:00,"Koekebakker Steen","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 119, CK 15 118, CK 15 117, CK 15 116, CK 15 115, CK 15 114, CK F2 012, CK F2 016, CK F2 017, CK F2 018, CK F2 019, CK F2 021, CK F2 022, CK F2 026, CK F2 023, CK F2 024, CK F1 002, CK F1 004, CK F1 007, CK F1 008"
".BE-410 for 1 Tues 34-39 (LEIE LOKALE)",2015-09-22,08:15,2015-09-22,11:00,"Koekebakker Steen",""
".BE-410 for 2 Wed 34-39 (46 118)",2015-09-23,09:15,2015-09-23,12:00,"Koekebakker Steen","CK 46 118 aula/aud"
".BE-410 gr Wed 34-39",2015-09-23,12:15,2015-09-23,15:00,"Koekebakker Steen","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 119, CK 15 118, CK 15 117, CK 15 116, CK 15 115, CK 15 114, CK F2 012, CK F2 016, CK F2 017, CK F2 018, CK F2 019, CK F2 021, CK F2 022, CK F2 026, CK F2 023, CK F2 024, CK F1 002, CK F1 004, CK F1 007, CK F1 008"
".ME-423 lecture Mon 42 (O.A.)",2015-10-12,12:15,2015-10-12,14:00,"Andersen Otto","CK B1 018 aud"
".ME-423 lecture Tues 42 (O.A.)",2015-10-13,12:15,2015-10-13,14:00,"Andersen Otto","CK B2 003 aud"
".ME-423 lecture Wedn 42-48 (O.A.)",2015-10-14,14:15,2015-10-14,16:00,"Andersen Otto","CK B1 006 aud"
".ORG444 for/gr 42 Thurs",2015-10-15,09:15,2015-10-15,12:00,"Arntsen Erik, Randøy Trond, Shneor Rotem","CK 15 110 sem (ikke PC), CK 15 104, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109"
".ME-423 lecture Mon 43.45 (O.A.)",2015-10-19,12:15,2015-10-19,14:00,"Andersen Otto","CK B1 007 aud"
".ME-423 lecture Tues 43-47 (O.A.)",2015-10-20,12:15,2015-10-20,14:00,"Andersen Otto","CK B1 007 aud"
".ME-423 lecture Wedn 42-48 (O.A.)",2015-10-21,14:15,2015-10-21,16:00,"Andersen Otto","CK B1 006 aud"
".ORG444 for/gr 43.44.45.47.48 Fri",2015-10-23,09:15,2015-10-23,16:00,"Arntsen Erik, Randøy Trond, Shneor Rotem","CK 15 110 sem (ikke PC), CK 15 104, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109"
".ME-423 lab/lect (N.S.) Mon 44-48",2015-10-26,10:15,2015-10-26,12:00,"Saeed Naima","CK D3 018 sem"
".ME-423 lecture Mon 44.46-48 (O.A.)",2015-10-26,12:15,2015-10-26,14:00,"Andersen Otto","CK B1 001 aud"
".ME-423 lecture Tues 43-47 (O.A.)",2015-10-27,12:15,2015-10-27,14:00,"Andersen Otto","CK B1 007 aud"
".ME-423 lab (A.M.M.)",2015-10-27,14:15,2015-10-27,16:00,"Musau Andrew Muteti ","CK D3 017 lab"
".ME-423 lecture Wedn 42-48 (O.A.)",2015-10-28,14:15,2015-10-28,16:00,"Andersen Otto","CK B1 006 aud"
".ME-423 lab/lect (N.S.) Wed 44-48",2015-10-28,16:15,2015-10-28,18:00,"Saeed Naima","CK D3 018 sem"
".ME-423 lab (A.M.M.)",2015-10-29,16:15,2015-10-29,18:00,"Musau Andrew Muteti ","CK D3 017 lab"
".ME-423 lect (N.S.) Thursd 44-48",2015-10-29,16:15,2015-10-29,18:00,"Saeed Naima","CK D3 018 sem"
".ORG444 for/gr 43.44.45.47.48 Fri",2015-10-30,09:15,2015-10-30,16:00,"Arntsen Erik, Randøy Trond, Shneor Rotem","CK 15 110 sem (ikke PC), CK 15 104, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109"
".ME-423 lab/lect (N.S.) Mon 44-48",2015-11-02,10:15,2015-11-02,12:00,"Saeed Naima","CK D3 018 sem"
".ME-423 lecture Mon 43.45 (O.A.)",2015-11-02,12:15,2015-11-02,14:00,"Andersen Otto","CK B1 007 aud"
".ME-423 lecture Tues 43-47 (O.A.)",2015-11-03,12:15,2015-11-03,14:00,"Andersen Otto","CK B1 007 aud"
".ME-423 lab (A.M.M.)",2015-11-03,14:15,2015-11-03,16:00,"Musau Andrew Muteti ","CK D3 017 lab"
".ME-423 lecture Wedn 42-48 (O.A.)",2015-11-04,14:15,2015-11-04,16:00,"Andersen Otto","CK B1 006 aud"
".ME-423 lab/lect (N.S.) Wed 44-48",2015-11-04,16:15,2015-11-04,18:00,"Saeed Naima","CK D3 018 sem"
".ORG444 for/gr 45.47 Thurs",2015-11-05,09:15,2015-11-05,16:00,"Arntsen Erik, Randøy Trond, Shneor Rotem","CK 15 110 sem (ikke PC), CK 15 104, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109"
".ME-423 lab (A.M.M.)",2015-11-05,16:15,2015-11-05,18:00,"Musau Andrew Muteti ","CK D3 017 lab"
".ME-423 lect (N.S.) Thursd 44-48",2015-11-05,16:15,2015-11-05,18:00,"Saeed Naima","CK D3 018 sem"
".ORG444 for/gr 43.44.45.47.48 Fri",2015-11-06,09:15,2015-11-06,16:00,"Arntsen Erik, Randøy Trond, Shneor Rotem","CK 15 110 sem (ikke PC), CK 15 104, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109"
".ME-423 lab/lect (N.S.) Mon 44-48",2015-11-09,10:15,2015-11-09,12:00,"Saeed Naima","CK D3 018 sem"
".ME-423 lecture Mon 44.46-48 (O.A.)",2015-11-09,12:15,2015-11-09,14:00,"Andersen Otto","CK B1 001 aud"
".ME-423 lecture Tues 43-47 (O.A.)",2015-11-10,12:15,2015-11-10,14:00,"Andersen Otto","CK B1 007 aud"
".ME-423 lab (A.M.M.)",2015-11-10,14:15,2015-11-10,16:00,"Musau Andrew Muteti ","CK D3 017 lab"
".ME-423 lecture Wedn 42-48 (O.A.)",2015-11-11,14:15,2015-11-11,16:00,"Andersen Otto","CK B1 006 aud"
".ME-423 lab/lect (N.S.) Wed 44-48",2015-11-11,16:15,2015-11-11,18:00,"Saeed Naima","CK D3 018 sem"
".ME-423 lab (A.M.M.)",2015-11-12,16:15,2015-11-12,18:00,"Musau Andrew Muteti ","CK D3 017 lab"
".ME-423 lect (N.S.) Thursd 44-48",2015-11-12,16:15,2015-11-12,18:00,"Saeed Naima","CK D3 018 sem"
".ME-423 lab/lect (N.S.) Mon 44-48",2015-11-16,10:15,2015-11-16,12:00,"Saeed Naima","CK D3 018 sem"
".ME-423 lecture Mon 44.46-48 (O.A.)",2015-11-16,12:15,2015-11-16,14:00,"Andersen Otto","CK B1 001 aud"
".ME-423 lecture Tues 43-47 (O.A.)",2015-11-17,12:15,2015-11-17,14:00,"Andersen Otto","CK B1 007 aud"
".ME-423 lab (A.M.M.)",2015-11-17,14:15,2015-11-17,16:00,"Musau Andrew Muteti ","CK D3 017 lab"
".ME-423 lecture Wedn 42-48 (O.A.)",2015-11-18,14:15,2015-11-18,16:00,"Andersen Otto","CK B1 006 aud"
".ME-423 lab/lect (N.S.) Wed 44-48",2015-11-18,16:15,2015-11-18,18:00,"Saeed Naima","CK D3 018 sem"
".ORG444 for/gr 45.47 Thurs",2015-11-19,09:15,2015-11-19,16:00,"Arntsen Erik, Randøy Trond, Shneor Rotem","CK 15 110 sem (ikke PC), CK 15 104, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109"
".ME-423 lab (A.M.M.)",2015-11-19,16:15,2015-11-19,18:00,"Musau Andrew Muteti ","CK D3 017 lab"
".ME-423 lect (N.S.) Thursd 44-48",2015-11-19,16:15,2015-11-19,18:00,"Saeed Naima","CK D3 018 sem"
".ORG444 for/gr 43.44.45.47.48 Fri",2015-11-20,09:15,2015-11-20,16:00,"Arntsen Erik, Randøy Trond, Shneor Rotem","CK 15 110 sem (ikke PC), CK 15 104, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109"
".ME-423 lab/lect (N.S.) Mon 44-48",2015-11-23,10:15,2015-11-23,12:00,"Saeed Naima","CK D3 018 sem"
".ME-423 lecture Mon 44.46-48 (O.A.)",2015-11-23,12:15,2015-11-23,14:00,"Andersen Otto","CK B1 001 aud"
".ME-423 lecture Tues 48 (O.A.)",2015-11-24,12:15,2015-11-24,14:00,"Andersen Otto","CK B1 001 aud"
".ME-423 lab (A.M.M.)",2015-11-24,14:15,2015-11-24,16:00,"Musau Andrew Muteti ","CK D3 017 lab"
".ME-423 lecture Wedn 42-48 (O.A.)",2015-11-25,14:15,2015-11-25,16:00,"Andersen Otto","CK B1 006 aud"
".ME-423 lab/lect (N.S.) Wed 44-48",2015-11-25,16:15,2015-11-25,18:00,"Saeed Naima","CK D3 018 sem"
".ME-423 lab (A.M.M.)",2015-11-26,16:15,2015-11-26,18:00,"Musau Andrew Muteti ","CK D3 017 lab"
".ME-423 lect (N.S.) Thursd 44-48",2015-11-26,16:15,2015-11-26,18:00,"Saeed Naima","CK D3 018 sem"
".ORG444 for/gr 43.44.45.47.48 Fri",2015-11-27,09:15,2015-11-27,16:00,"Arntsen Erik, Randøy Trond, Shneor Rotem","CK 15 110 sem (ikke PC), CK 15 104, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109"
