Subject,Start Date,Start Time,End Date,End Time,Description,Location
".BE-410 Kick Off Wed Aug 12 (46 118)",2015-08-12,10:15,2015-08-12,11:00,"Koekebakker Steen","CK 46 118 aula/aud"
".BE-410 Wed Aug 12 (B1 007)",2015-08-12,12:15,2015-08-12,14:00,"Koekebakker Steen","CK B1 007 aud"
".SE-413 for Thurs wk 33",2015-08-13,09:15,2015-08-13,12:00,"Andersson Kjetil","CK B1 018 aud"
".SE-413 for Mon B1 018  10:15-12:00",2015-08-17,10:15,2015-08-17,12:00,"Andersson Kjetil","CK B1 018 aud"
".BE-410 for 1 Tues 34-39 Tordenskjoldsgate 68 Sentrum",2015-08-18,09:15,2015-08-18,14:00,"Koekebakker Steen","CK x Tordenskjoldsgate 68 Sentrum"
".BE-410 for 2 Wed 34-39 (46 118)",2015-08-19,09:15,2015-08-19,12:00,"Koekebakker Steen","CK 46 118 aula/aud"
".BE-410 gr Wed 34-39",2015-08-19,13:15,2015-08-19,15:00,"Koekebakker Steen","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 119, CK 15 118, CK 15 117, CK 15 116, CK 15 115, CK 15 114, CK F2 012, CK F2 016, CK F2 017, CK F2 018, CK F2 019, CK F2 021, CK F2 022, CK F2 026, CK F2 023, CK F2 024, CK F1 002, CK F1 004, CK F1 007, CK F1 008"
".SE-413 for Thurs wk 34-39",2015-08-20,09:15,2015-08-20,12:00,"Andersson Kjetil","CK B1 007 aud"
".SE-413 gr Thurs 34.36.39",2015-08-20,13:15,2015-08-20,16:00,"Andersson Kjetil","CK 15 119, CK 15 118, CK 15 117, CK 15 116, CK 15 115, CK 15 114, CK B3 019, CK B3 021, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029, CK B3 012, CK B3 013, CK B3 014, CK B3 016, CK B3 017, CK B3 018"
".SE-413 for Mon B1 018  10:15-12:00",2015-08-24,10:15,2015-08-24,12:00,"Andersson Kjetil","CK B1 018 aud"
".BE-410 for 1 Tues 34-39 Tordenskjoldsgate 68 Sentrum",2015-08-25,09:15,2015-08-25,14:00,"Koekebakker Steen","CK x Tordenskjoldsgate 68 Sentrum"
".BE-410 for 2 Wed 34-39 (46 118)",2015-08-26,09:15,2015-08-26,12:00,"Koekebakker Steen","CK 46 118 aula/aud"
".BE-410 gr Wed 34-39",2015-08-26,13:15,2015-08-26,15:00,"Koekebakker Steen","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 119, CK 15 118, CK 15 117, CK 15 116, CK 15 115, CK 15 114, CK F2 012, CK F2 016, CK F2 017, CK F2 018, CK F2 019, CK F2 021, CK F2 022, CK F2 026, CK F2 023, CK F2 024, CK F1 002, CK F1 004, CK F1 007, CK F1 008"
".SE-413 for Thurs wk 34-39",2015-08-27,09:15,2015-08-27,12:00,"Andersson Kjetil","CK B1 007 aud"
".SE-413 gr Thurs 35",2015-08-27,13:15,2015-08-27,16:00,"Andersson Kjetil","CK B3 019, CK B3 021, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029, CK B2 016, CK B2 017, CK B2 018, CK B3 002, CK B3 003, CK B3 005, CK B3 012, CK B3 013, CK B3 014, CK B3 016, CK B3 017, CK B3 018"
".SE-413 for Mon B1 018  10:15-12:00",2015-08-31,10:15,2015-08-31,12:00,"Andersson Kjetil","CK B1 018 aud"
