Subject,Start Date,Start Time,End Date,End Time,Description,Location
"SE-204-G/Forel/01",2015-08-12,09:15,2015-08-12,12:00,"Dale, Kristin","CG F 203 sem"
"SE-204-G/Forel/gruppe/01",2015-08-12,12:15,2015-08-12,14:00,"Dale, Kristin","CG A3 034, CG A3 030, CG A2 043, CG A2 071, CG A2 083, CG A2 026, CG A2 140, CG A2 141, CG A2 145, CG A2 042"
"BE-209-G/Forelesning/01",2015-08-13,10:15,2015-08-13,12:00,"Tofteland, Andre","CG F 204 sem"
"BE-209-G/Forelesning/gruppe/01",2015-08-13,12:15,2015-08-13,15:00,"Tofteland, Andre","CG F 204 sem"
"JU-104-G/Forel/01",2015-08-18,12:15,2015-08-18,15:00,"Bjerkås, Trygve","CG F 204 sem"
"JU-104-G/Gruppe/01",2015-08-18,15:15,2015-08-18,17:00,"Bjerkås, Trygve","CG F 225, CG F 226, CG F 229, CG F 204 sem"
"SE-204-G/Forel/01",2015-08-19,09:15,2015-08-19,12:00,"Dale, Kristin","CG F 203 sem"
"SE-204-G/Forel/gruppe/01",2015-08-19,12:15,2015-08-19,14:00,"Dale, Kristin","CG A3 034, CG A3 030, CG A2 043, CG A2 071, CG A2 083, CG A2 026, CG A2 140, CG A2 141, CG A2 145, CG A2 042"
"BE-209-G/Forelesning/01",2015-08-20,10:15,2015-08-20,12:00,"Tofteland, Andre","CG F 204 sem"
"BE-209-G/Forelesning/gruppe/01",2015-08-20,12:15,2015-08-20,15:00,"Tofteland, Andre","CG F 204 sem"
"ORG207-G/Forel/øv/",2015-08-21,09:15,2015-08-21,12:00,"Knudsen, Jon P.","CG F 204 sem"
"JU-104-G/Forel/01",2015-08-25,12:15,2015-08-25,15:00,"Bjerkås, Trygve","CG F 204 sem"
"JU-104-G/Gruppe/01",2015-08-25,15:15,2015-08-25,17:00,"Bjerkås, Trygve","CG F 225, CG F 226, CG F 229, CG F 204 sem"
"SE-204-G/Forel/01",2015-08-26,09:15,2015-08-26,12:00,"Dale, Kristin","CG F 203 sem"
"SE-204-G/Forel/gruppe/01",2015-08-26,12:15,2015-08-26,14:00,"Dale, Kristin","CG A3 034, CG A3 030, CG A2 043, CG A2 071, CG A2 083, CG A2 026, CG A2 140, CG A2 141, CG A2 145, CG A2 042"
"BE-209-G/Forelesning/01",2015-08-27,10:15,2015-08-27,12:00,"Tofteland, Andre","CG F 204 sem"
"BE-209-G/Forelesning/gruppe/01",2015-08-27,12:15,2015-08-27,15:00,"Tofteland, Andre","CG F 204 sem"
"ORG207-G/Forel/øv/",2015-08-28,09:15,2015-08-28,12:00,"Knudsen, Jon P.","CG F 204 sem"
"JU-104-G/Forel/01",2015-09-01,12:15,2015-09-01,15:00,"Bjerkås, Trygve","CG F 204 sem"
"JU-104-G/Gruppe/01",2015-09-01,15:15,2015-09-01,17:00,"Bjerkås, Trygve","CG F 225, CG F 226, CG F 229, CG F 204 sem"
"SE-204-G/Forel/01",2015-09-02,09:15,2015-09-02,12:00,"Dale, Kristin","CG F 203 sem"
"SE-204-G/Forel/gruppe/01",2015-09-02,12:15,2015-09-02,14:00,"Dale, Kristin","CG A3 034, CG A3 030, CG A2 043, CG A2 071, CG A2 083, CG A2 026, CG A2 140, CG A2 141, CG A2 145, CG A2 042"
"BE-209-G/Forelesning/01",2015-09-03,10:15,2015-09-03,12:00,"Tofteland, Andre","CG F 204 sem"
"BE-209-G/Forelesning/gruppe/01",2015-09-03,12:15,2015-09-03,15:00,"Tofteland, Andre","CG F 204 sem"
"ORG207-G/Forel/øv/",2015-09-04,09:15,2015-09-04,12:00,"Knudsen, Jon P.","CG F 204 sem"
"SE-204-G/Forel/01 08.sept Gjesteforeleser",2015-09-08,09:15,2015-09-08,11:00,"Dale, Kristin","CG C2 040 aud"
"JU-104-G/Forel/01",2015-09-08,12:15,2015-09-08,15:00,"Bjerkås, Trygve","CG F 204 sem"
"JU-104-G/Gruppe/01",2015-09-08,15:15,2015-09-08,17:00,"Bjerkås, Trygve","CG F 225, CG F 226, CG F 229, CG F 204 sem"
"SE-204-G/Forel/01",2015-09-09,09:15,2015-09-09,12:00,"Dale, Kristin","CG F 203 sem"
"SE-204-G/Forel/gruppe/01",2015-09-09,12:15,2015-09-09,14:00,"Dale, Kristin","CG A3 034, CG A3 030, CG A2 043, CG A2 071, CG A2 083, CG A2 026, CG A2 140, CG A2 141, CG A2 145, CG A2 042"
"BE-209-G/Forelesning/01",2015-09-10,10:15,2015-09-10,12:00,"Tofteland, Andre","CG F 204 sem"
"BE-209-G/Forelesning/gruppe/01",2015-09-10,12:15,2015-09-10,15:00,"Tofteland, Andre","CG F 204 sem"
"ORG207-G/Forel/øv/",2015-09-11,09:15,2015-09-11,12:00,"Knudsen, Jon P.","CG F 204 sem"
"JU-104-G/Forel/01",2015-09-15,12:15,2015-09-15,15:00,"Bjerkås, Trygve","CG F 204 sem"
"JU-104-G/Gruppe/01",2015-09-15,15:15,2015-09-15,17:00,"Bjerkås, Trygve","CG F 225, CG F 226, CG F 229, CG F 204 sem"
"SE-204-G/Forel/01",2015-09-16,09:15,2015-09-16,12:00,"Dale, Kristin","CG F 203 sem"
"SE-204-G/Forel/gruppe/01",2015-09-16,12:15,2015-09-16,14:00,"Dale, Kristin","CG A3 034, CG A3 030, CG A2 043, CG A2 071, CG A2 083, CG A2 026, CG A2 140, CG A2 141, CG A2 145, CG A2 042"
"BE-209-G/Forelesning/01",2015-09-17,10:15,2015-09-17,12:00,"Tofteland, Andre","CG F 204 sem"
"BE-209-G/Forelesning/gruppe/01",2015-09-17,12:15,2015-09-17,15:00,"Tofteland, Andre","CG F 204 sem"
"ORG207-G/Forel/øv/",2015-09-18,09:15,2015-09-18,12:00,"Knudsen, Jon P.","CG F 204 sem"
"JU-104-G/Forel/01",2015-09-22,12:15,2015-09-22,15:00,"Bjerkås, Trygve","CG F 204 sem"
"JU-104-G/Gruppe/01",2015-09-22,15:15,2015-09-22,17:00,"Bjerkås, Trygve","CG F 225, CG F 226, CG F 229, CG F 204 sem"
"SE-204-G/Forel/01",2015-09-23,09:15,2015-09-23,12:00,"Dale, Kristin","CG F 203 sem"
"SE-204-G/Forel/gruppe/01",2015-09-23,12:15,2015-09-23,14:00,"Dale, Kristin","CG A3 034, CG A3 030, CG A2 043, CG A2 071, CG A2 083, CG A2 026, CG A2 140, CG A2 141, CG A2 145, CG A2 042"
"BE-209-G/Forelesning/01",2015-09-24,10:15,2015-09-24,12:00,"Tofteland, Andre","CG F 204 sem"
"BE-209-G/Forelesning/gruppe/01",2015-09-24,12:15,2015-09-24,15:00,"Tofteland, Andre","CG F 204 sem"
"ORG207-G/Forel/øv/",2015-09-25,09:15,2015-09-25,12:00,"Knudsen, Jon P.","CG F 204 sem"
"JU-104-G/Forel/01",2015-09-29,12:15,2015-09-29,15:00,"Bjerkås, Trygve","CG F 204 sem"
"JU-104-G/Gruppe/01",2015-09-29,15:15,2015-09-29,17:00,"Bjerkås, Trygve","CG F 225, CG F 226, CG F 229, CG F 204 sem"
"SE-204-G/Forel/01",2015-09-30,09:15,2015-09-30,12:00,"Dale, Kristin","CG F 203 sem"
"SE-204-G/Forel/gruppe/01",2015-09-30,12:15,2015-09-30,14:00,"Dale, Kristin","CG A3 034, CG A3 030, CG A2 043, CG A2 071, CG A2 083, CG A2 026, CG A2 140, CG A2 141, CG A2 145, CG A2 042"
"JU-104-G/Forel/01",2015-10-06,12:15,2015-10-06,15:00,"Bjerkås, Trygve","CG F 204 sem"
"JU-104-G/Gruppe/01",2015-10-06,15:15,2015-10-06,17:00,"Bjerkås, Trygve","CG F 225, CG F 226, CG F 229, CG F 204 sem"
