Subject,Start Date,Start Time,End Date,End Time,Description,Location
BIO401-1 forel uke 2-7,2015-01-05,13:15,2015-01-05,16:00,Olsen Esben Moland,CK 46 211 sem
BIO401-1 forel uke 2-7,2015-01-09,13:15,2015-01-09,16:00,Olsen Esben Moland,CK 46 211 sem
BIO401-1 forel uke 2-7,2015-01-12,13:15,2015-01-12,16:00,Olsen Esben Moland,CK 46 211 sem
BIO401-1 feltøvelse uke 3-5,2015-01-13,08:15,2015-01-13,16:00,Olsen Esben Moland,
BIO401-1 lab uke 3-5 (ekstern lab Flødevigen),2015-01-15,10:15,2015-01-15,14:00,Olsen Esben Moland,
BIO401-1 forel uke 2-7,2015-01-16,13:15,2015-01-16,16:00,Olsen Esben Moland,CK 46 211 sem
BIO401-1 forel uke 2-7,2015-01-19,13:15,2015-01-19,16:00,Olsen Esben Moland,CK 46 211 sem
BIO401-1 feltøvelse uke 3-5,2015-01-20,08:15,2015-01-20,16:00,Olsen Esben Moland,
BIO401-1 lab uke 3-5 (ekstern lab Flødevigen),2015-01-22,10:15,2015-01-22,14:00,Olsen Esben Moland,
BIO401-1 forel uke 2-7,2015-01-23,13:15,2015-01-23,16:00,Olsen Esben Moland,CK 46 211 sem
BIO401-1 seminar uke 6-7,2015-01-26,08:15,2015-01-26,13:00,Olsen Esben Moland,CK 48 113 sem
BIO401-1 forel uke 2-7,2015-01-26,13:15,2015-01-26,16:00,Olsen Esben Moland,CK 46 211 sem
BIO401-1 feltøvelse uke 3-5,2015-01-27,08:15,2015-01-27,16:00,Olsen Esben Moland,
BIO401-1 lab uke 3-5 (ekstern lab Flødevigen),2015-01-29,10:15,2015-01-29,14:00,Olsen Esben Moland,
BIO401-1 forel uke 2-7,2015-01-30,13:15,2015-01-30,16:00,Olsen Esben Moland,CK 46 211 sem
BIO401-1 seminar uke 6-7,2015-02-02,08:15,2015-02-02,13:00,Olsen Esben Moland,CK 48 113 sem
BIO401-1 forel uke 2-7,2015-02-02,13:15,2015-02-02,16:00,Olsen Esben Moland,CK 46 211 sem
BIO401-1 forel uke 2-7,2015-02-06,13:15,2015-02-06,16:00,Olsen Esben Moland,CK 46 211 sem
BIO401-1 forel uke 2-7,2015-02-09,13:15,2015-02-09,16:00,Olsen Esben Moland,CK 46 211 sem
BIO401-1 forel uke 2-7,2015-02-13,13:15,2015-02-13,16:00,Olsen Esben Moland,CK 46 211 sem
BIO402-1 forel man,2015-02-16,08:15,2015-02-16,10:00,Slettan Audun,CK 46 135 sem
BIO402-1 lab alle dager,2015-02-16,11:15,2015-02-16,15:00,Slettan Audun,CK JU 016 kjemi
BIO402-1 lab alle dager,2015-02-17,11:15,2015-02-17,15:00,Slettan Audun,CK JU 016 kjemi
BIO402-1 lab alle dager,2015-02-18,11:15,2015-02-18,15:00,Slettan Audun,CK JU 016 kjemi
BIO402-1 forel tors,2015-02-19,08:15,2015-02-19,10:00,Slettan Audun,CK 46 135 sem
BIO402-1 lab alle dager,2015-02-19,11:15,2015-02-19,15:00,Slettan Audun,CK JU 016 kjemi
BIO402-1 forel man,2015-02-23,08:15,2015-02-23,10:00,Slettan Audun,CK 46 135 sem
BIO402-1 lab alle dager,2015-02-23,11:15,2015-02-23,15:00,Slettan Audun,CK JU 016 kjemi
