Subject,Start Date,Start Time,End Date,End Time,Description,Location
.JU-200-1 for,2015-01-06,15:15,2015-01-06,18:00,Grønningsæter Elisabeth B E,CK B2 014 sem
.SV-209-1 for,2015-01-12,09:15,2015-01-12,12:00,Skarpenes Ove,CK B3 007 aud 
.SV-209-1 gr,2015-01-12,12:15,2015-01-12,14:00,Skarpenes Ove,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.SV-210-1 gr uke 3-10,2015-01-12,14:15,2015-01-12,16:00,,CK 50 136. CK 50 137a. CK 50 137b. CK 50 140. CK 50 141. CK 50 142. CK 50 144. CK 50 145. CK 50 149. CK 50 150. CK 51 122e. CK 51 122f. CK 51 122g. CK 50 114c . CK 50 116b. CK 50 116f
.JU-200-1 for,2015-01-13,15:15,2015-01-13,18:00,Grønningsæter Elisabeth B E,CK B2 014 sem
.SV-210-1 for uke 3-7,2015-01-14,13:15,2015-01-14,16:00,,CK B2 003 aud
.SV-209-1 for,2015-01-19,09:15,2015-01-19,12:00,Skarpenes Ove,CK B3 007 aud 
.SV-209-1 gr,2015-01-19,12:15,2015-01-19,14:00,Skarpenes Ove,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.SV-210-1 gr uke 3-10,2015-01-19,14:15,2015-01-19,16:00,,CK 50 136. CK 50 137a. CK 50 137b. CK 50 140. CK 50 141. CK 50 142. CK 50 144. CK 50 145. CK 50 149. CK 50 150. CK 51 122e. CK 51 122f. CK 51 122g. CK 50 114c . CK 50 116b. CK 50 116f
.JU-200-1 for,2015-01-20,15:15,2015-01-20,18:00,Grønningsæter Elisabeth B E,CK B2 014 sem
.SV-210-1 for uke 3-7,2015-01-21,13:15,2015-01-21,16:00,,CK B2 003 aud
.SV-209-1 for,2015-01-26,09:15,2015-01-26,12:00,Skarpenes Ove,CK B3 007 aud 
.SV-209-1 gr,2015-01-26,12:15,2015-01-26,14:00,Skarpenes Ove,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.SV-210-1 gr uke 3-10,2015-01-26,14:15,2015-01-26,16:00,,CK 50 136. CK 50 137a. CK 50 137b. CK 50 140. CK 50 141. CK 50 142. CK 50 144. CK 50 145. CK 50 149. CK 50 150. CK 51 122e. CK 51 122f. CK 51 122g. CK 50 114c . CK 50 116b. CK 50 116f
.JU-200-1 for,2015-01-27,15:15,2015-01-27,18:00,Grønningsæter Elisabeth B E,CK B2 014 sem
.SV-210-1 for uke 3-7,2015-01-28,13:15,2015-01-28,16:00,,CK B2 003 aud
.SV-209-1 for,2015-02-02,09:15,2015-02-02,12:00,Skarpenes Ove,CK B3 007 aud 
.SV-209-1 gr,2015-02-02,12:15,2015-02-02,14:00,Skarpenes Ove,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.SV-210-1 gr uke 3-10,2015-02-02,14:15,2015-02-02,16:00,,CK 50 136. CK 50 137a. CK 50 137b. CK 50 140. CK 50 141. CK 50 142. CK 50 144. CK 50 145. CK 50 149. CK 50 150. CK 51 122e. CK 51 122f. CK 51 122g. CK 50 114c . CK 50 116b. CK 50 116f
.JU-200-1 for,2015-02-03,15:15,2015-02-03,18:00,Grønningsæter Elisabeth B E,CK B2 014 sem
.SV-210-1 for uke 3-7,2015-02-04,13:15,2015-02-04,16:00,,CK B2 003 aud
.SV-209-1 for,2015-02-09,09:15,2015-02-09,12:00,Skarpenes Ove,CK B3 007 aud 
.SV-209-1 gr,2015-02-09,12:15,2015-02-09,14:00,Skarpenes Ove,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.SV-210-1 gr uke 3-10,2015-02-09,14:15,2015-02-09,16:00,,CK 50 136. CK 50 137a. CK 50 137b. CK 50 140. CK 50 141. CK 50 142. CK 50 144. CK 50 145. CK 50 149. CK 50 150. CK 51 122e. CK 51 122f. CK 51 122g. CK 50 114c . CK 50 116b. CK 50 116f
.JU-200-1 for,2015-02-10,15:15,2015-02-10,18:00,Grønningsæter Elisabeth B E,CK B2 014 sem
.SV-210-1 for uke 3-7,2015-02-11,13:15,2015-02-11,16:00,,CK B2 003 aud
.SV-209-1 for,2015-02-16,09:15,2015-02-16,12:00,Skarpenes Ove,CK B3 007 aud 
.SV-209-1 gr,2015-02-16,12:15,2015-02-16,14:00,Skarpenes Ove,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.SV-210-1 gr uke 3-10,2015-02-16,14:15,2015-02-16,16:00,,CK 50 136. CK 50 137a. CK 50 137b. CK 50 140. CK 50 141. CK 50 142. CK 50 144. CK 50 145. CK 50 149. CK 50 150. CK 51 122e. CK 51 122f. CK 51 122g. CK 50 114c . CK 50 116b. CK 50 116f
.JU-200-1 for,2015-02-17,15:15,2015-02-17,18:00,Grønningsæter Elisabeth B E,CK B2 014 sem
.SV-210-1 for uke 8-10,2015-02-18,13:15,2015-02-18,15:00,,CK B2 003 aud
.SV-209-1 for,2015-02-23,09:15,2015-02-23,12:00,Skarpenes Ove,CK B3 007 aud 
.SV-209-1 gr,2015-02-23,12:15,2015-02-23,14:00,Skarpenes Ove,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.SV-210-1 gr uke 3-10,2015-02-23,14:15,2015-02-23,16:00,,CK 50 136. CK 50 137a. CK 50 137b. CK 50 140. CK 50 141. CK 50 142. CK 50 144. CK 50 145. CK 50 149. CK 50 150. CK 51 122e. CK 51 122f. CK 51 122g. CK 50 114c . CK 50 116b. CK 50 116f
.JU-200-1 for,2015-02-24,15:15,2015-02-24,18:00,Grønningsæter Elisabeth B E,CK B2 014 sem
.SV-210-1 for uke 8-10,2015-02-25,13:15,2015-02-25,15:00,,CK B2 003 aud
.SV-209-1 for,2015-03-02,09:15,2015-03-02,12:00,Skarpenes Ove,CK B3 007 aud 
.SV-209-1 gr,2015-03-02,12:15,2015-03-02,14:00,Skarpenes Ove,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.SV-210-1 gr uke 3-10,2015-03-02,14:15,2015-03-02,16:00,,CK 50 136. CK 50 137a. CK 50 137b. CK 50 140. CK 50 141. CK 50 142. CK 50 144. CK 50 145. CK 50 149. CK 50 150. CK 51 122e. CK 51 122f. CK 51 122g. CK 50 114c . CK 50 116b. CK 50 116f
.JU-200-1 for,2015-03-03,15:15,2015-03-03,18:00,Grønningsæter Elisabeth B E,CK B2 014 sem
.SV-210-1 for uke 8-10,2015-03-04,13:15,2015-03-04,15:00,,CK B2 003 aud
.SV-209-1 for,2015-03-09,09:15,2015-03-09,12:00,Skarpenes Ove,CK B3 007 aud 
.SV-209-1 gr,2015-03-09,12:15,2015-03-09,14:00,Skarpenes Ove,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.JU-200-1 for,2015-03-10,15:15,2015-03-10,18:00,Grønningsæter Elisabeth B E,CK B2 014 sem
.SV-209-1 for,2015-03-16,09:15,2015-03-16,12:00,Skarpenes Ove,CK B3 007 aud 
.SV-209-1 gr,2015-03-16,12:15,2015-03-16,14:00,Skarpenes Ove,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.JU-200-1 for,2015-03-17,15:15,2015-03-17,18:00,Grønningsæter Elisabeth B E,CK B2 014 sem
.JU-200-1 for,2015-03-24,15:15,2015-03-24,18:00,Grønningsæter Elisabeth B E,CK B2 014 sem
.JU-200-1 for,2015-04-07,15:15,2015-04-07,18:00,Grønningsæter Elisabeth B E,CK B2 014 sem
.JU-200-1 for,2015-04-14,15:15,2015-04-14,18:00,Grønningsæter Elisabeth B E,CK B2 014 sem
.JU-200-1 for,2015-04-21,15:15,2015-04-21,18:00,Grønningsæter Elisabeth B E,CK B2 014 sem
.JU-200-1 for,2015-04-28,15:15,2015-04-28,18:00,Grønningsæter Elisabeth B E,CK B2 014 sem
.JU-200-1 for,2015-05-05,15:15,2015-05-05,18:00,Grønningsæter Elisabeth B E,CK B2 014 sem
