Subject,Start Date,Start Time,End Date,End Time,Description,Location
.SE-100/SE-110 for ,2015-01-07,09:15,2015-01-07,12:00,Jacobsen Gorm,CK B3 007 aud 
.SE-100/SE-110 gr,2015-01-07,12:15,2015-01-07,14:00,Jacobsen Gorm,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.SV-209-1 for,2015-01-12,09:15,2015-01-12,12:00,Skarpenes Ove,CK B3 007 aud 
.SV-209-1 gr,2015-01-12,12:15,2015-01-12,14:00,Skarpenes Ove,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.SE-100/SE-110 for ,2015-01-14,09:15,2015-01-14,12:00,Jacobsen Gorm,CK B3 007 aud 
.SE-100/SE-110 gr,2015-01-14,12:15,2015-01-14,14:00,Jacobsen Gorm,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.SV-210-1 for,2015-01-14,12:15,2015-01-14,15:00,Magnussen May Linda. Olsen Torunn S.,CK B2 003 aud
.SV-210-1 gr ,2015-01-14,15:15,2015-01-14,17:00,Magnussen May Linda. Olsen Torunn S.,CK 50 110. CK 50 114a. CK 50 114b. CK 50 115a. CK 50 115b. CK 50 115c. CK 50 115e. CK 50 115f. CK 50 116a. CK 50 116c. CK 50 116d. CK 50 116e. CK 50 136. CK 50 137a. CK 50 137b. CK 50 140
.SV-209-1 for,2015-01-19,09:15,2015-01-19,12:00,Skarpenes Ove,CK B3 007 aud 
.SV-209-1 gr,2015-01-19,12:15,2015-01-19,14:00,Skarpenes Ove,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.SE-100/SE-110 for ,2015-01-21,09:15,2015-01-21,12:00,Jacobsen Gorm,CK B3 007 aud 
.SE-100/SE-110 gr,2015-01-21,12:15,2015-01-21,14:00,Jacobsen Gorm,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.SV-210-1 for,2015-01-21,12:15,2015-01-21,15:00,Magnussen May Linda. Olsen Torunn S.,CK B2 003 aud
.SV-210-1 gr ,2015-01-21,15:15,2015-01-21,17:00,Magnussen May Linda. Olsen Torunn S.,CK 50 110. CK 50 114a. CK 50 114b. CK 50 115a. CK 50 115b. CK 50 115c. CK 50 115e. CK 50 115f. CK 50 116a. CK 50 116c. CK 50 116d. CK 50 116e. CK 50 136. CK 50 137a. CK 50 137b. CK 50 140
.SV-209-1 for,2015-01-26,09:15,2015-01-26,12:00,Skarpenes Ove,CK B3 007 aud 
.SV-209-1 gr,2015-01-26,12:15,2015-01-26,14:00,Skarpenes Ove,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.SE-100/SE-110 for ,2015-01-28,09:15,2015-01-28,12:00,Jacobsen Gorm,CK B3 007 aud 
.SV-210-1 for,2015-01-28,12:15,2015-01-28,15:00,Magnussen May Linda. Olsen Torunn S.,CK B2 003 aud
.SV-210-1 gr ,2015-01-28,15:15,2015-01-28,17:00,Magnussen May Linda. Olsen Torunn S.,CK 50 110. CK 50 114a. CK 50 114b. CK 50 115a. CK 50 115b. CK 50 115c. CK 50 115e. CK 50 115f. CK 50 116a. CK 50 116c. CK 50 116d. CK 50 116e. CK 50 136. CK 50 137a. CK 50 137b. CK 50 140
.SV-209-1 for,2015-02-02,09:15,2015-02-02,12:00,Skarpenes Ove,CK B3 007 aud 
.SV-209-1 gr,2015-02-02,12:15,2015-02-02,14:00,Skarpenes Ove,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.SE-100/SE-110 for ,2015-02-04,09:15,2015-02-04,12:00,Jacobsen Gorm,CK B3 007 aud 
.SE-100/SE-110 gr,2015-02-04,12:15,2015-02-04,14:00,Jacobsen Gorm,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.SV-210-1 for,2015-02-04,12:15,2015-02-04,15:00,Magnussen May Linda. Olsen Torunn S.,CK B2 003 aud
.SV-210-1 gr ,2015-02-04,15:15,2015-02-04,17:00,Magnussen May Linda. Olsen Torunn S.,CK 50 110. CK 50 114a. CK 50 114b. CK 50 115a. CK 50 115b. CK 50 115c. CK 50 115e. CK 50 115f. CK 50 116a. CK 50 116c. CK 50 116d. CK 50 116e. CK 50 136. CK 50 137a. CK 50 137b. CK 50 140
.SV-209-1 for,2015-02-09,09:15,2015-02-09,12:00,Skarpenes Ove,CK B3 007 aud 
.SV-209-1 gr,2015-02-09,12:15,2015-02-09,14:00,Skarpenes Ove,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.SE-100/SE-110 for ,2015-02-11,09:15,2015-02-11,12:00,Jacobsen Gorm,CK B3 007 aud 
.SE-100/SE-110 gr,2015-02-11,12:15,2015-02-11,14:00,Jacobsen Gorm,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.SV-210-1 for,2015-02-11,12:15,2015-02-11,15:00,Magnussen May Linda. Olsen Torunn S.,CK B2 003 aud
.SV-210-1 gr ,2015-02-11,15:15,2015-02-11,17:00,Magnussen May Linda. Olsen Torunn S.,CK 50 110. CK 50 114a. CK 50 114b. CK 50 115a. CK 50 115b. CK 50 115c. CK 50 115e. CK 50 115f. CK 50 116a. CK 50 116c. CK 50 116d. CK 50 116e. CK 50 136. CK 50 137a. CK 50 137b. CK 50 140
.SV-209-1 for,2015-02-16,09:15,2015-02-16,12:00,Skarpenes Ove,CK B3 007 aud 
.SV-209-1 gr,2015-02-16,12:15,2015-02-16,14:00,Skarpenes Ove,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
