Subject,Start Date,Start Time,End Date,End Time,Description,Location
KKK100-G/Forel/01 D/M 06/01,2015-01-06,08:15,2015-01-06,16:00,,CG-C2 020 klasserom (50) (dans/drama). CG-C2 022. CG-C2 023. CG-C2 024. CG-C2 025
KKK100-G/Forel/01 D/M 07/01 PED,2015-01-07,09:15,2015-01-07,12:00,Melhuus Else Cathrine,CG-F 203 klasserom (Jon Lilletunsvei 3)
KKK100-G/Forel/01 D/M 07/01 Praksisforberedende møte,2015-01-07,12:15,2015-01-07,15:00,Melhuus Else Cathrine,CG-F 203 klasserom (Jon Lilletunsvei 3)
STM100-G/Forel/01 tors,2015-01-08,08:15,2015-01-08,14:00,Arnesen Elin. Carlsen. Martin. Wathne Unni GRM,CG-A2 023 klasserom
STM100-G/Forel/01 fre,2015-01-09,09:15,2015-01-09,14:00,Arnesen Elin. Carlsen. Martin. Wathne Unni GRM,CG-A2 023 klasserom
STM100-G/Forel/01 tors,2015-02-26,08:15,2015-02-26,14:00,Arnesen Elin. Carlsen. Martin. Wathne Unni GRM,CG-A2 023 klasserom
STM100-G/Forel/01 fre,2015-02-27,09:15,2015-02-27,14:00,Arnesen Elin. Carlsen. Martin. Wathne Unni GRM,CG-A2 023 klasserom
KKK100-G/Forel/01 D/M 02/03 Musikk,2015-03-02,08:15,2015-03-02,16:00,,CG-C2 020 klasserom (50) (dans/drama)
KKK100-G/Forel/01 D/M 03/03 Drama,2015-03-03,08:15,2015-03-03,16:00,,CG-C2 020 klasserom (50) (dans/drama)
KKK100-G/Forel/01 D/M 04/03 Praksisfremlegg,2015-03-04,08:15,2015-03-04,14:00,,CG-C2 020 klasserom (50) (dans/drama). CG-C2 021. CG-C2 022. CG-C2 023. CG-C2 024. CG-C2 025
STM100-G/Forel/01 tors,2015-03-05,08:15,2015-03-05,14:00,Arnesen Elin. Carlsen. Martin. Wathne Unni GRM,CG-A2 023 klasserom
STM100-G/Forel/01 fre,2015-03-06,09:15,2015-03-06,14:00,Arnesen Elin. Carlsen. Martin. Wathne Unni GRM,CG-A2 023 klasserom
KKK100-G/Forel/01 D/M 09/03 Forming,2015-03-09,09:15,2015-03-09,11:00,,CG-C3 084 lab-design/tegning (30)
KKK100-G/Forel/01 D/M 10/03 Forming,2015-03-10,08:15,2015-03-10,16:00,,CG-C3 084 lab-design/tegning (30)
KKK100-G/Forel/01 D/M 11/03 Forming,2015-03-11,08:15,2015-03-11,16:00,,CG-C3 084 lab-design/tegning (30)
STM100-G/Forel/01 tors,2015-03-12,08:15,2015-03-12,14:00,Arnesen Elin. Carlsen. Martin. Wathne Unni GRM,CG-A2 023 klasserom
STM100-G/Forel/01 fre,2015-03-13,09:15,2015-03-13,14:00,Arnesen Elin. Carlsen. Martin. Wathne Unni GRM,CG-A2 023 klasserom
KKK100-G/Forel/01 D/M 16/03 Forming,2015-03-16,09:15,2015-03-16,11:00,,CG-C3 084 lab-design/tegning (30)
KKK100-G/Forel/01 D/M 17/03 Forming,2015-03-17,08:15,2015-03-17,16:00,,CG-C3 084 lab-design/tegning (30)
KKK100-G/Forel/01 D/M 18/03 Forming,2015-03-18,08:15,2015-03-18,16:00,,CG-C3 084 lab-design/tegning (30)
STM100-G/Forel/01 tors,2015-03-19,08:15,2015-03-19,14:00,Arnesen Elin. Carlsen. Martin. Wathne Unni GRM,CG-A2 023 klasserom
STM100-G/Forel/01 fre,2015-03-20,09:15,2015-03-20,14:00,Arnesen Elin. Carlsen. Martin. Wathne Unni GRM,CG-A2 023 klasserom
KKK100-G/Forel/01 D/M 23/03 Musikk,2015-03-23,08:15,2015-03-23,15:00,,CG-C2 020 klasserom (50) (dans/drama). CG-C2 021. CG-C2 022. CG-C2 023. CG-C2 024. CG-C2 025
KKK100-G/Forel/01 D/M 24/03 Drama,2015-03-24,08:15,2015-03-24,13:00,,CG-C2 020 klasserom (50) (dans/drama). CG-C2 022. CG-C2 023. CG-C2 024. CG-C2 025
KKK100-G/Forel/01 D/M 25/03 Drama,2015-03-25,08:15,2015-03-25,13:00,,CG-C2 020 klasserom (50) (dans/drama). CG-C2 022. CG-C2 023. CG-C2 024. CG-C2 025
STM100-G/Forel/01 tors,2015-03-26,08:15,2015-03-26,14:00,Arnesen Elin. Carlsen. Martin. Wathne Unni GRM,CG-A2 023 klasserom
STM100-G/Forel/01 fre,2015-03-27,09:15,2015-03-27,14:00,Arnesen Elin. Carlsen. Martin. Wathne Unni GRM,CG-A2 023 klasserom
KKK100-G/Forel/01 D/M Prosjekt uke 15-16,2015-04-06,08:15,2015-04-06,16:00,,CG-C2 020 klasserom (50) (dans/drama)
KKK100-G/Forel/01 D/M Prosjekt uke 15-16,2015-04-07,08:15,2015-04-07,16:00,,CG-C2 020 klasserom (50) (dans/drama)
KKK100-G/Forel/01 D/M Prosjekt uke 15-16,2015-04-08,08:15,2015-04-08,16:00,,CG-C2 020 klasserom (50) (dans/drama)
KKK100-G/Forel/01 D/M Prosjekt uke 15-16,2015-04-09,08:15,2015-04-09,16:00,,CG-C2 020 klasserom (50) (dans/drama)
KKK100-G/Forel/01 D/M Prosjekt uke 15-16,2015-04-10,08:15,2015-04-10,16:00,,CG-C2 020 klasserom (50) (dans/drama)
KKK100-G/Forel/01 D/M Prosjekt uke 15-16,2015-04-13,08:15,2015-04-13,16:00,,CG-C2 020 klasserom (50) (dans/drama)
KKK100-G/Forel/01 D/M Prosjekt uke 15-16,2015-04-14,08:15,2015-04-14,16:00,,CG-C2 020 klasserom (50) (dans/drama)
KKK100-G/Forel/01 D/M Prosjekt uke 15-16,2015-04-15,08:15,2015-04-15,16:00,,CG-C2 020 klasserom (50) (dans/drama)
KKK100-G/Forel/01 D/M Prosjekt uke 15-16,2015-04-16,08:15,2015-04-16,16:00,,CG-C2 020 klasserom (50) (dans/drama)
KKK100-G/Forel/01 D/M Prosjekt uke 15-16,2015-04-17,08:15,2015-04-17,16:00,,CG-C2 020 klasserom (50) (dans/drama)
KKK100-G/Forel/01 D/M 04/05,2015-05-04,09:15,2015-05-04,15:00,,CG-C2 020 klasserom (50) (dans/drama)
KKK100-G/Forel/01 D/M 05/05 Musikk,2015-05-05,09:15,2015-05-05,13:00,,CG-C2 020 klasserom (50) (dans/drama)
KKK100-G/Praktisk eksamen 20/5-26/5 uke 21,2015-05-20,08:15,2015-05-20,20:00,,CG-C2 020 klasserom (50) (dans/drama). CG-C2 021. CG-C2 022. CG-C2 023. CG-C2 024. CG-C2 025
KKK100-G/Praktisk eksamen 20/5-26/5 uke 21,2015-05-21,08:15,2015-05-21,20:00,,CG-C2 020 klasserom (50) (dans/drama). CG-C2 021. CG-C2 022. CG-C2 023. CG-C2 024. CG-C2 025
KKK100-G/Praktisk eksamen 20/5-26/5 uke 21,2015-05-22,08:15,2015-05-22,20:00,,CG-C2 020 klasserom (50) (dans/drama). CG-C2 021. CG-C2 022. CG-C2 023. CG-C2 024. CG-C2 025
