Subject,Start Date,Start Time,End Date,End Time,Description,Location
-SRE100 for,2015-01-05,11:15,2015-01-05,13:00,Halltorp Peter. Hidle Kari-Mette Wahlmann. Hodne Hans. Hägg Henny Solfrid F.,CK B1 006 aud
-SRE100 sem B,2015-01-05,14:15,2015-01-05,16:00,,CK F1 018 sem
-SRE100 for,2015-01-06,08:15,2015-01-06,12:00,Halltorp Peter. Hidle Kari-Mette Wahlmann. Hodne Hans. Hägg Henny Solfrid F.,CK B1 006 aud
-SRE100 sem B,2015-01-06,12:15,2015-01-06,14:00,,CK F1 018 sem
-NHB100 for,2015-01-08,08:15,2015-01-08,11:00,Grundetjern Svein. Stokke May Britt Jansson,CK B1 006 aud
-SRE100 for,2015-01-12,11:15,2015-01-12,13:00,Halltorp Peter. Hidle Kari-Mette Wahlmann. Hodne Hans. Hägg Henny Solfrid F.,CK B1 006 aud
-SRE100 sem B,2015-01-12,14:15,2015-01-12,16:00,,CK F1 018 sem
-SRE100 for,2015-01-13,08:15,2015-01-13,12:00,Halltorp Peter. Hidle Kari-Mette Wahlmann. Hodne Hans. Hägg Henny Solfrid F.,CK B1 006 aud
-SRE100 sem B,2015-01-13,12:15,2015-01-13,14:00,,CK F1 018 sem
-NHB100/SRE100 B sem,2015-01-14,10:15,2015-01-14,12:00,,CK F1 018 sem
-SRE100/NHB100 B sem,2015-01-14,10:15,2015-01-14,12:00,,CK F1 018 sem
-NHB100 for,2015-01-15,08:15,2015-01-15,11:00,Grundetjern Svein. Stokke May Britt Jansson,CK B1 006 aud
-NHB100 lab,2015-01-15,08:15,2015-01-15,16:00,Grundetjern Svein. Stokke May Britt Jansson,CK J1 004 bio
-NHB100 lab,2015-01-16,08:15,2015-01-16,16:00,Grundetjern Svein. Stokke May Britt Jansson,CK J1 004 bio
-SRE100 for,2015-01-19,11:15,2015-01-19,13:00,Halltorp Peter. Hidle Kari-Mette Wahlmann. Hodne Hans. Hägg Henny Solfrid F.,CK B1 006 aud
-SRE100 sem B,2015-01-19,14:15,2015-01-19,16:00,,CK F1 018 sem
-SRE100 for,2015-01-20,08:15,2015-01-20,12:00,Halltorp Peter. Hidle Kari-Mette Wahlmann. Hodne Hans. Hägg Henny Solfrid F.,CK B1 006 aud
-SRE100 sem B,2015-01-20,12:15,2015-01-20,14:00,,CK F1 018 sem
-NHB100/SRE100 B sem,2015-01-21,10:15,2015-01-21,12:00,,CK F1 018 sem
-SRE100/NHB100 B sem,2015-01-21,10:15,2015-01-21,12:00,,CK F1 018 sem
-NHB100 for,2015-01-22,08:15,2015-01-22,11:00,Grundetjern Svein. Stokke May Britt Jansson,CK B1 006 aud
-NHB100 lab,2015-01-22,08:15,2015-01-22,16:00,Grundetjern Svein. Stokke May Britt Jansson,CK J1 004 bio
-NHB100 lab,2015-01-23,08:15,2015-01-23,16:00,Grundetjern Svein. Stokke May Britt Jansson,CK J1 004 bio
-SRE100 for,2015-01-26,11:15,2015-01-26,13:00,Halltorp Peter. Hidle Kari-Mette Wahlmann. Hodne Hans. Hägg Henny Solfrid F.,CK B1 006 aud
