Subject,Start Date,Start Time,End Date,End Time,Description,Location
BIO113-1 forel man,2015-01-05,09:15,2015-01-05,11:00,Korslund Lars,CK JU 071 aud
BIO103-1 forel tirs,2015-01-06,08:15,2015-01-06,10:00,Grundetjern Svein,CK J1 064 aud
BIO102-1 forel tirs,2015-01-06,10:15,2015-01-06,12:00,Sandvik Sylvi M.,CK JU 071 aud
BIO113-1 forel ons,2015-01-07,09:15,2015-01-07,11:00,Korslund Lars,CK I1 066 aud
BIO102-1 forel fred,2015-01-09,08:15,2015-01-09,10:00,Sandvik Sylvi M.,CK J1 064 aud
BIO103-1 forel fred,2015-01-09,10:15,2015-01-09,12:00,Grundetjern Svein,CK J1 064 aud
BIO113-1 forel man,2015-01-12,09:15,2015-01-12,11:00,Korslund Lars,CK JU 071 aud
BIO103-1 forel tirs,2015-01-13,08:15,2015-01-13,10:00,Grundetjern Svein,CK J1 064 aud
BIO102-1 forel tirs,2015-01-13,10:15,2015-01-13,12:00,Sandvik Sylvi M.,CK JU 071 aud
BIO113-1 forel ons,2015-01-14,09:15,2015-01-14,11:00,Korslund Lars,CK I1 066 aud
BIO103-1 lab tors zoologi gr A ,2015-01-15,09:15,2015-01-15,13:00,Grundetjern Svein,CK J1 001 biol
BIO103-1 lab tors zoologi gr B,2015-01-15,13:15,2015-01-15,17:00,Grundetjern Svein,CK J1 001 biol
BIO102-1 forel fred,2015-01-16,08:15,2015-01-16,10:00,Sandvik Sylvi M.,CK J1 064 aud
BIO103-1 forel fred,2015-01-16,10:15,2015-01-16,12:00,Grundetjern Svein,CK J1 064 aud
BIO113-1 forel man,2015-01-19,09:15,2015-01-19,11:00,Korslund Lars,CK JU 071 aud
BIO103-1 forel tirs,2015-01-20,08:15,2015-01-20,10:00,Grundetjern Svein,CK J1 064 aud
BIO102-1 forel tirs,2015-01-20,10:15,2015-01-20,12:00,Sandvik Sylvi M.,CK JU 071 aud
BIO113-1 forel ons,2015-01-21,09:15,2015-01-21,11:00,Korslund Lars,CK I1 066 aud
BIO102-1 lab tors botanikk gr A,2015-01-22,09:15,2015-01-22,13:00,Sandvik Sylvi M.,CK J1 001 biol
BIO102-1 lab tors botanikk gr B,2015-01-22,13:15,2015-01-22,18:00,Sandvik Sylvi M.,CK J1 001 biol
BIO102-1 forel fred,2015-01-23,08:15,2015-01-23,10:00,Sandvik Sylvi M.,CK J1 064 aud
BIO103-1 forel fred,2015-01-23,10:15,2015-01-23,12:00,Grundetjern Svein,CK J1 064 aud
BIO113-1 gr uke 4.6.10.12.16,2015-01-23,12:15,2015-01-23,14:00,Korslund Lars,CK JK 031. CK JK 032. CK JK 033. CK J1 032. CK J1 057
BIO113-1 forel man,2015-01-26,09:15,2015-01-26,11:00,Korslund Lars,CK JU 071 aud
BIO103-1 forel tirs,2015-01-27,08:15,2015-01-27,10:00,Grundetjern Svein,CK J1 064 aud
BIO102-1 forel tirs,2015-01-27,10:15,2015-01-27,12:00,Sandvik Sylvi M.,CK JU 071 aud
BIO113-1 lab tirs,2015-01-27,12:15,2015-01-27,15:00,Korslund Lars,CK J1 001 biol
BIO113-1 pc lab tirs,2015-01-27,12:15,2015-01-27,15:00,Korslund Lars,CK JK 007 pclab
BIO113-1 forel ons,2015-01-28,09:15,2015-01-28,11:00,Korslund Lars,CK I1 066 aud
BIO113-1 lab ons,2015-01-28,12:15,2015-01-28,15:00,Korslund Lars,CK J1 001 biol
BIO113-1 pc lab ons,2015-01-28,12:15,2015-01-28,15:00,Korslund Lars,CK JK 007 pclab
BIO103-1 lab tors zoologi gr A ,2015-01-29,09:15,2015-01-29,13:00,Grundetjern Svein,CK J1 001 biol
BIO103-1 lab tors zoologi gr B,2015-01-29,13:15,2015-01-29,17:00,Grundetjern Svein,CK J1 001 biol
BIO102-1 forel fred,2015-01-30,08:15,2015-01-30,10:00,Sandvik Sylvi M.,CK J1 064 aud
BIO103-1 forel fred,2015-01-30,10:15,2015-01-30,12:00,Grundetjern Svein,CK J1 064 aud
BIO113-1 forel man,2015-02-02,09:15,2015-02-02,11:00,Korslund Lars,CK JU 071 aud
BIO103-1 forel tirs,2015-02-03,08:15,2015-02-03,10:00,Grundetjern Svein,CK J1 064 aud
BIO102-1 forel tirs,2015-02-03,10:15,2015-02-03,12:00,Sandvik Sylvi M.,CK JU 071 aud
BIO113-1 forel ons,2015-02-04,09:15,2015-02-04,11:00,Korslund Lars,CK I1 066 aud
BIO102-1 lab tors botanikk gr A,2015-02-05,09:15,2015-02-05,13:00,Sandvik Sylvi M.,CK J1 001 biol
BIO102-1 lab tors botanikk gr B,2015-02-05,13:15,2015-02-05,18:00,Sandvik Sylvi M.,CK J1 001 biol
BIO102-1 forel fred,2015-02-06,08:15,2015-02-06,10:00,Sandvik Sylvi M.,CK J1 064 aud
BIO103-1 forel fred,2015-02-06,10:15,2015-02-06,12:00,Grundetjern Svein,CK J1 064 aud
BIO113-1 gr uke 4.6.10.12.16,2015-02-06,12:15,2015-02-06,14:00,Korslund Lars,CK JK 031. CK JK 032. CK JK 033. CK J1 032. CK J1 057
BIO113-1 forel man,2015-02-09,09:15,2015-02-09,11:00,Korslund Lars,CK JU 071 aud
BIO103-1 forel tirs,2015-02-10,08:15,2015-02-10,10:00,Grundetjern Svein,CK J1 064 aud
BIO102-1 forel tirs,2015-02-10,10:15,2015-02-10,12:00,Sandvik Sylvi M.,CK JU 071 aud
BIO113-1 lab tirs,2015-02-10,12:15,2015-02-10,15:00,Korslund Lars,CK J1 001 biol
BIO113-1 pc lab tirs,2015-02-10,12:15,2015-02-10,15:00,Korslund Lars,CK JK 007 pclab
BIO113-1 forel ons,2015-02-11,09:15,2015-02-11,11:00,Korslund Lars,CK I1 066 aud
BIO113-1 lab ons,2015-02-11,12:15,2015-02-11,15:00,Korslund Lars,CK J1 001 biol
BIO113-1 pc lab ons,2015-02-11,12:15,2015-02-11,15:00,Korslund Lars,CK JK 007 pclab
BIO103-1 lab tors zoologi gr A ,2015-02-12,09:15,2015-02-12,13:00,Grundetjern Svein,CK J1 001 biol
BIO103-1 lab tors zoologi gr B,2015-02-12,13:15,2015-02-12,17:00,Grundetjern Svein,CK J1 001 biol
BIO102-1 forel fred,2015-02-13,08:15,2015-02-13,10:00,Sandvik Sylvi M.,CK J1 064 aud
BIO103-1 forel fred,2015-02-13,10:15,2015-02-13,12:00,Grundetjern Svein,CK J1 064 aud
BIO113-1 forel man,2015-02-16,09:15,2015-02-16,11:00,Korslund Lars,CK JU 071 aud
BIO103-1 forel tirs,2015-02-17,08:15,2015-02-17,10:00,Grundetjern Svein,CK J1 064 aud
BIO102-1 forel tirs,2015-02-17,10:15,2015-02-17,12:00,Sandvik Sylvi M.,CK JU 071 aud
BIO113-1 forel ons,2015-02-18,09:15,2015-02-18,11:00,Korslund Lars,CK I1 066 aud
BIO102-1 lab tors botanikk gr A,2015-02-19,09:15,2015-02-19,13:00,Sandvik Sylvi M.,CK J1 001 biol
BIO102-1 lab tors botanikk gr B,2015-02-19,13:15,2015-02-19,18:00,Sandvik Sylvi M.,CK J1 001 biol
BIO102-1 forel fred,2015-02-20,08:15,2015-02-20,10:00,Sandvik Sylvi M.,CK J1 064 aud
BIO103-1 forel fred,2015-02-20,10:15,2015-02-20,12:00,Grundetjern Svein,CK J1 064 aud
BIO113-1 gr uke 8,2015-02-20,16:15,2015-02-20,18:00,Korslund Lars,CK JK 031. CK JK 032. CK JK 033. CK J1 032. CK J1 057
BIO113-1 forel man,2015-02-23,09:15,2015-02-23,11:00,Korslund Lars,CK JU 071 aud
BIO103-1 forel tirs,2015-02-24,08:15,2015-02-24,10:00,Grundetjern Svein,CK J1 064 aud
BIO102-1 forel tirs,2015-02-24,10:15,2015-02-24,12:00,Sandvik Sylvi M.,CK JU 071 aud
BIO113-1 lab tirs,2015-02-24,12:15,2015-02-24,15:00,Korslund Lars,CK J1 001 biol
BIO113-1 pc lab tirs,2015-02-24,12:15,2015-02-24,15:00,Korslund Lars,CK JK 007 pclab
BIO113-1 forel ons,2015-02-25,09:15,2015-02-25,11:00,Korslund Lars,CK I1 066 aud
BIO113-1 lab ons,2015-02-25,12:15,2015-02-25,15:00,Korslund Lars,CK J1 001 biol
BIO113-1 pc lab ons,2015-02-25,12:15,2015-02-25,15:00,Korslund Lars,CK JK 007 pclab
BIO102-1 forel fred,2015-02-27,08:15,2015-02-27,10:00,Sandvik Sylvi M.,CK J1 064 aud
BIO103-1 forel fred,2015-02-27,10:15,2015-02-27,12:00,Grundetjern Svein,CK J1 064 aud
BIO113-1 forel man,2015-03-02,09:15,2015-03-02,11:00,Korslund Lars,CK JU 071 aud
BIO103-1 forel tirs,2015-03-03,08:15,2015-03-03,10:00,Grundetjern Svein,CK J1 064 aud
BIO102-1 forel tirs,2015-03-03,10:15,2015-03-03,12:00,Sandvik Sylvi M.,CK JU 071 aud
BIO113-1 forel ons,2015-03-04,09:15,2015-03-04,11:00,Korslund Lars,CK I1 066 aud
BIO102-1 lab tors botanikk gr A,2015-03-05,09:15,2015-03-05,13:00,Sandvik Sylvi M.,CK J1 001 biol
BIO102-1 lab tors botanikk gr B,2015-03-05,13:15,2015-03-05,18:00,Sandvik Sylvi M.,CK J1 001 biol
BIO102-1 forel fred,2015-03-06,08:15,2015-03-06,10:00,Sandvik Sylvi M.,CK J1 064 aud
BIO103-1 forel fred,2015-03-06,10:15,2015-03-06,12:00,Grundetjern Svein,CK J1 064 aud
BIO113-1 gr uke 4.6.10.12.16,2015-03-06,12:15,2015-03-06,14:00,Korslund Lars,CK JK 031. CK JK 032. CK JK 033. CK J1 032. CK J1 057
BIO113-1 forel man,2015-03-09,09:15,2015-03-09,11:00,Korslund Lars,CK JU 071 aud
BIO103-1 forel tirs,2015-03-10,08:15,2015-03-10,10:00,Grundetjern Svein,CK J1 064 aud
BIO102-1 forel tirs,2015-03-10,10:15,2015-03-10,12:00,Sandvik Sylvi M.,CK JU 071 aud
BIO113-1 lab tirs,2015-03-10,12:15,2015-03-10,15:00,Korslund Lars,CK J1 001 biol
BIO113-1 lab ons,2015-03-11,12:15,2015-03-11,15:00,Korslund Lars,CK J1 001 biol
BIO103-1 lab tors zoologi gr A ,2015-03-12,09:15,2015-03-12,13:00,Grundetjern Svein,CK J1 001 biol
BIO103-1 lab tors zoologi gr B,2015-03-12,13:15,2015-03-12,17:00,Grundetjern Svein,CK J1 001 biol
BIO102-1 forel fred,2015-03-13,08:15,2015-03-13,10:00,Sandvik Sylvi M.,CK J1 064 aud
BIO103-1 forel fred,2015-03-13,10:15,2015-03-13,12:00,Grundetjern Svein,CK J1 064 aud
BIO113-1 forel man,2015-03-16,09:15,2015-03-16,11:00,Korslund Lars,CK JU 071 aud
BIO103-1 forel tirs,2015-03-17,08:15,2015-03-17,10:00,Grundetjern Svein,CK J1 064 aud
BIO102-1 forel tirs,2015-03-17,10:15,2015-03-17,12:00,Sandvik Sylvi M.,CK JU 071 aud
BIO113-1 forel ons,2015-03-18,09:15,2015-03-18,11:00,Korslund Lars,CK I1 066 aud
BIO102-1 forel fred,2015-03-20,08:15,2015-03-20,10:00,Sandvik Sylvi M.,CK J1 064 aud
BIO103-1 forel fred,2015-03-20,10:15,2015-03-20,12:00,Grundetjern Svein,CK J1 064 aud
BIO113-1 gr uke 4.6.10.12.16,2015-03-20,12:15,2015-03-20,14:00,Korslund Lars,CK JK 031. CK JK 032. CK JK 033. CK J1 032. CK J1 057
BIO113-1 forel man,2015-03-23,09:15,2015-03-23,11:00,Korslund Lars,CK JU 071 aud
BIO103-1 forel tirs,2015-03-24,08:15,2015-03-24,10:00,Grundetjern Svein,CK J1 064 aud
BIO102-1 forel tirs,2015-03-24,10:15,2015-03-24,12:00,Sandvik Sylvi M.,CK JU 071 aud
BIO113-1 lab tirs,2015-03-24,12:15,2015-03-24,15:00,Korslund Lars,CK J1 001 biol
BIO113-1 forel ons,2015-03-25,09:15,2015-03-25,11:00,Korslund Lars,CK I1 066 aud
BIO113-1 lab ons,2015-03-25,12:15,2015-03-25,15:00,Korslund Lars,CK J1 001 biol
BIO102-1 lab tors botanikk gr A,2015-03-26,09:15,2015-03-26,13:00,Sandvik Sylvi M.,CK J1 001 biol
BIO102-1 lab tors botanikk gr B,2015-03-26,13:15,2015-03-26,18:00,Sandvik Sylvi M.,CK J1 001 biol
BIO102-1 forel fred,2015-03-27,08:15,2015-03-27,10:00,Sandvik Sylvi M.,CK J1 064 aud
BIO103-1 forel fred,2015-03-27,10:15,2015-03-27,12:00,Grundetjern Svein,CK J1 064 aud
BIO103-1 forel tirs,2015-04-07,08:15,2015-04-07,10:00,Grundetjern Svein,CK J1 064 aud
BIO102-1 forel tirs,2015-04-07,10:15,2015-04-07,12:00,Sandvik Sylvi M.,CK JU 071 aud
BIO113-1 forel ons,2015-04-08,09:15,2015-04-08,11:00,Korslund Lars,CK I1 066 aud
BIO103-1 lab tors zoologi gr A ,2015-04-09,09:15,2015-04-09,13:00,Grundetjern Svein,CK J1 001 biol
BIO103-1 lab tors zoologi gr B,2015-04-09,13:15,2015-04-09,17:00,Grundetjern Svein,CK J1 001 biol
BIO102-1 forel fred,2015-04-10,08:15,2015-04-10,10:00,Sandvik Sylvi M.,CK J1 064 aud
BIO103-1 forel fred,2015-04-10,10:15,2015-04-10,12:00,Grundetjern Svein,CK J1 064 aud
BIO113-1 forel man,2015-04-13,09:15,2015-04-13,11:00,Korslund Lars,CK JU 071 aud
BIO103-1 forel tirs,2015-04-14,08:15,2015-04-14,10:00,Grundetjern Svein,CK J1 064 aud
BIO102-1 forel tirs,2015-04-14,10:15,2015-04-14,12:00,Sandvik Sylvi M.,CK JU 071 aud
BIO113-1 forel ons,2015-04-15,09:15,2015-04-15,11:00,Korslund Lars,CK I1 066 aud
BIO102-1 forel fred,2015-04-17,08:15,2015-04-17,10:00,Sandvik Sylvi M.,CK J1 064 aud
