Subject,Start Date,Start Time,End Date,End Time,Description,Location
"BYG402/Forel/01",2015-01-05,08:15,2015-01-05,10:00,"Ding, Songxiong, Vertes Katalin","CG A3 120 pclab BYG"
"BYG402/Øv/01",2015-01-05,10:15,2015-01-05,12:00,"Ding, Songxiong, Vertes Katalin","CG A3 120 pclab BYG"
"BYG501/Forel/02 ",2015-01-07,08:15,2015-01-07,14:00,"Lassen Tom","CG C4 093 sem"
"BYG402/Forel/02",2015-01-09,12:15,2015-01-09,14:00,"Vertes Katalin","CG A3 120 pclab BYG"
"BYG402/Øv/02",2015-01-09,14:15,2015-01-09,16:00,"Vertes Katalin","CG A3 120 pclab BYG"
"BYG402/Forel/01",2015-01-12,08:15,2015-01-12,10:00,"Ding, Songxiong, Vertes Katalin","CG A3 120 pclab BYG"
"BYG402/Øv/01",2015-01-12,10:15,2015-01-12,12:00,"Ding, Songxiong, Vertes Katalin","CG A3 120 pclab BYG"
"BYG501/Forel/01",2015-01-13,08:15,2015-01-13,14:00,"Lassen Tom","CG C4 093 sem"
"BYG501/Forel/02 ",2015-01-14,08:15,2015-01-14,14:00,"Lassen Tom","CG C4 093 sem"
"BYG402/Forel/02",2015-01-16,12:15,2015-01-16,14:00,"Vertes Katalin","CG A3 120 pclab BYG"
"BYG402/Øv/02",2015-01-16,14:15,2015-01-16,16:00,"Vertes Katalin","CG A3 120 pclab BYG"
"BYG402/Forel/01",2015-01-19,08:15,2015-01-19,10:00,"Ding, Songxiong, Vertes Katalin","CG A3 120 pclab BYG"
"BYG402/Øv/01",2015-01-19,10:15,2015-01-19,12:00,"Ding, Songxiong, Vertes Katalin","CG A3 120 pclab BYG"
"BYG501/Forel/01",2015-01-20,08:15,2015-01-20,14:00,"Lassen Tom","CG C4 093 sem"
"BYG501/Forel/02 ",2015-01-21,08:15,2015-01-21,14:00,"Lassen Tom","CG C4 093 sem"
"BYG402/Forel/02",2015-01-23,12:15,2015-01-23,14:00,"Vertes Katalin","CG A3 120 pclab BYG"
"BYG402/Øv/02",2015-01-23,14:15,2015-01-23,16:00,"Vertes Katalin","CG A3 120 pclab BYG"
"BYG402/Forel/01",2015-01-26,08:15,2015-01-26,10:00,"Ding, Songxiong, Vertes Katalin","CG A3 120 pclab BYG"
"BYG402/Øv/01",2015-01-26,10:15,2015-01-26,12:00,"Ding, Songxiong, Vertes Katalin","CG A3 120 pclab BYG"
"BYG402/Forel/02",2015-01-30,12:15,2015-01-30,14:00,"Vertes Katalin","CG A3 120 pclab BYG"
"BYG402/Øv/02",2015-01-30,14:15,2015-01-30,16:00,"Vertes Katalin","CG A3 120 pclab BYG"
"BYG402/Forel/01",2015-02-02,08:15,2015-02-02,10:00,"Ding, Songxiong, Vertes Katalin","CG A3 120 pclab BYG"
"BYG402/Øv/01",2015-02-02,10:15,2015-02-02,12:00,"Ding, Songxiong, Vertes Katalin","CG A3 120 pclab BYG"
"BYG501/Forel/01",2015-02-03,08:15,2015-02-03,14:00,"Lassen Tom","CG C4 093 sem"
"BYG501/Forel/02 ",2015-02-04,08:15,2015-02-04,14:00,"Lassen Tom","CG C4 093 sem"
"BYG402/Forel/02",2015-02-06,12:15,2015-02-06,14:00,"Vertes Katalin","CG A3 120 pclab BYG"
"BYG402/Øv/02",2015-02-06,14:15,2015-02-06,16:00,"Vertes Katalin","CG A3 120 pclab BYG"
"BYG402/Forel/01",2015-02-09,08:15,2015-02-09,10:00,"Ding, Songxiong, Vertes Katalin","CG A3 120 pclab BYG"
"BYG402/Øv/01",2015-02-09,10:15,2015-02-09,12:00,"Ding, Songxiong, Vertes Katalin","CG A3 120 pclab BYG"
"BYG501/Forel/01",2015-02-10,08:15,2015-02-10,14:00,"Lassen Tom","CG C4 093 sem"
"BYG402/Forel/02",2015-02-13,12:15,2015-02-13,14:00,"Vertes Katalin","CG A3 120 pclab BYG"
"BYG402/Øv/02",2015-02-13,14:15,2015-02-13,16:00,"Vertes Katalin","CG A3 120 pclab BYG"
"BYG402/Forel/01",2015-02-16,08:15,2015-02-16,10:00,"Ding, Songxiong, Vertes Katalin","CG A3 120 pclab BYG"
"BYG402/Øv/01",2015-02-16,10:15,2015-02-16,12:00,"Ding, Songxiong, Vertes Katalin","CG A3 120 pclab BYG"
"BYG501/Forel/01",2015-02-17,08:15,2015-02-17,14:00,"Lassen Tom","CG C4 093 sem"
"BYG501/Forel/02 ",2015-02-18,08:15,2015-02-18,14:00,"Lassen Tom","CG C4 093 sem"
"BYG402/Forel/02",2015-02-20,12:15,2015-02-20,14:00,"Vertes Katalin","CG A3 120 pclab BYG"
"BYG402/Øv/02",2015-02-20,14:15,2015-02-20,16:00,"Vertes Katalin","CG A3 120 pclab BYG"
"BYG402/Forel/01",2015-02-23,08:15,2015-02-23,10:00,"Ding, Songxiong, Vertes Katalin","CG A3 120 pclab BYG"
"BYG402/Øv/01",2015-02-23,10:15,2015-02-23,12:00,"Ding, Songxiong, Vertes Katalin","CG A3 120 pclab BYG"
"BYG501/Forel/01",2015-02-24,08:15,2015-02-24,14:00,"Lassen Tom","CG C4 093 sem"
"BYG501/Forel/02 ",2015-02-25,08:15,2015-02-25,14:00,"Lassen Tom","CG C4 093 sem"
"BYG501/Forel/01 ekstra 27/2",2015-02-27,09:15,2015-02-27,12:00,"Lassen Tom","CG C4 093 sem"
"BYG402/Forel/02",2015-02-27,12:15,2015-02-27,14:00,"Vertes Katalin","CG A3 120 pclab BYG"
"BYG402/Øv/02",2015-02-27,14:15,2015-02-27,16:00,"Vertes Katalin","CG A3 120 pclab BYG"
"BYG402/Forel/01",2015-03-02,08:15,2015-03-02,10:00,"Ding, Songxiong, Vertes Katalin","CG A3 120 pclab BYG"
"BYG402/Øv/01",2015-03-02,10:15,2015-03-02,12:00,"Ding, Songxiong, Vertes Katalin","CG A3 120 pclab BYG"
"BYG501/Forel/01 3/3",2015-03-03,09:15,2015-03-03,10:00,"Lassen Tom","CG C4 090 sem, CG C4 091 sem"
"BYG502/Forel/Øv/01 DS",2015-03-04,12:15,2015-03-04,16:00,"Ding, Songxiong","CG A3 120 pclab BYG"
"BYG502/Forel/Øv/02 TE",2015-03-06,08:15,2015-03-06,12:00,"Taddesse Ephrem","CG C4 093 sem"
"BYG402/Forel/02",2015-03-06,12:15,2015-03-06,14:00,"Vertes Katalin","CG A3 120 pclab BYG"
"BYG402/Øv/02",2015-03-06,14:15,2015-03-06,16:00,"Vertes Katalin","CG A3 120 pclab BYG"
