Subject,Start Date,Start Time,End Date,End Time,Description,Location
Booking/15/01/05 DR-128/DR-124  uke 2,2015-01-05,08:15,2015-01-05,13:00,,CK 48 115 sem
DR-128/DR-124 man uke 2-9 og 17-19,2015-01-05,13:15,2015-01-05,16:00,,CK 48 115 sem
Booking/15/01/07 DR-128/DR-124 uke 2,2015-01-07,08:15,2015-01-07,10:00,,CK G1 051 aud (fg)
DR-129/DR-121 man uke 3-6,2015-01-12,08:15,2015-01-12,12:00,,CK GU 043 teatersal. CK GU 048 dramasal
DR-128/DR-124 man uke 2-9 og 17-19,2015-01-12,13:15,2015-01-12,16:00,,CK 48 115 sem
DR-129/DR-121 tirs uke 3-6,2015-01-13,12:15,2015-01-13,16:00,,CK GU 043 teatersal. CK GU 048 dramasal
DR-129/DR-121 tors uke 3-6,2015-01-15,12:15,2015-01-15,16:00,,CK GU 043 teatersal. CK GU 048 dramasal
DR-129/DR-121 man uke 3-6,2015-01-19,08:15,2015-01-19,12:00,,CK GU 043 teatersal. CK GU 048 dramasal
DR-128/DR-124 man uke 2-9 og 17-19,2015-01-19,13:15,2015-01-19,16:00,,CK 48 115 sem
DR-129/DR-121 tirs uke 3-6,2015-01-20,12:15,2015-01-20,16:00,,CK GU 043 teatersal. CK GU 048 dramasal
DR-129/DR-121 tors uke 3-6,2015-01-22,12:15,2015-01-22,16:00,,CK GU 043 teatersal. CK GU 048 dramasal
DR-129/DR-121 man uke 3-6,2015-01-26,08:15,2015-01-26,12:00,,CK GU 043 teatersal. CK GU 048 dramasal
DR-128/DR-124 man uke 2-9 og 17-19,2015-01-26,13:15,2015-01-26,16:00,,CK 48 115 sem
DR-129/DR-121 tirs uke 3-6,2015-01-27,12:15,2015-01-27,16:00,,CK GU 043 teatersal. CK GU 048 dramasal
DR-129/DR-121 tors uke 3-6,2015-01-29,12:15,2015-01-29,16:00,,CK GU 043 teatersal. CK GU 048 dramasal
DR-129/DR-121 man uke 3-6,2015-02-02,08:15,2015-02-02,12:00,,CK GU 043 teatersal. CK GU 048 dramasal
DR-128/DR-124 man uke 2-9 og 17-19,2015-02-02,13:15,2015-02-02,16:00,,CK 48 115 sem
DR-129/DR-121 tirs uke 3-6,2015-02-03,12:15,2015-02-03,16:00,,CK GU 043 teatersal. CK GU 048 dramasal
DR-129/DR-121 tors uke 3-6,2015-02-05,12:15,2015-02-05,16:00,,CK GU 043 teatersal. CK GU 048 dramasal
DR-129/DR-121 man uke 7-13,2015-02-09,08:15,2015-02-09,12:00,,CK GU 043 teatersal
DR-129/DR-121 man uke 7-13,2015-02-09,08:15,2015-02-09,16:00,,CK GU 048 dramasal
DR-128/DR-124 man uke 2-9 og 17-19,2015-02-09,13:15,2015-02-09,16:00,,CK 48 115 sem
DR-129/DR-121 tirs uke 7-13,2015-02-10,08:15,2015-02-10,16:00,,CK GU 048 dramasal
DR-129/DR-121 tirs uke 7-13,2015-02-10,12:15,2015-02-10,16:00,,CK GU 043 teatersal
DR-128/DR-124 ons uke 7-10. 13,2015-02-11,08:15,2015-02-11,10:00,,CK G1 051 aud (fg)
DR-129/DR-121 tors uke 7-13,2015-02-12,12:15,2015-02-12,16:00,,CK GU 043 teatersal
DR-129/DR-121 man uke 7-13,2015-02-16,08:15,2015-02-16,12:00,,CK GU 043 teatersal
DR-129/DR-121 man uke 7-13,2015-02-16,08:15,2015-02-16,16:00,,CK GU 048 dramasal
DR-128/DR-124 man uke 2-9 og 17-19,2015-02-16,13:15,2015-02-16,16:00,,CK 48 115 sem
DR-129/DR-121 tirs uke 7-13,2015-02-17,08:15,2015-02-17,16:00,,CK GU 048 dramasal
DR-129/DR-121 tirs uke 7-13,2015-02-17,12:15,2015-02-17,16:00,,CK GU 043 teatersal
DR-128/DR-124 ons uke 7-10. 13,2015-02-18,08:15,2015-02-18,10:00,,CK G1 051 aud (fg)
DR-129/DR-121 tors uke 7-13,2015-02-19,12:15,2015-02-19,16:00,,CK GU 043 teatersal
DR-129/DR-121 man uke 7-13,2015-02-23,08:15,2015-02-23,12:00,,CK GU 043 teatersal
DR-129/DR-121 man uke 7-13,2015-02-23,08:15,2015-02-23,16:00,,CK GU 048 dramasal
DR-128/DR-124 man uke 2-9 og 17-19,2015-02-23,13:15,2015-02-23,16:00,,CK 48 115 sem
DR-129/DR-121 tirs uke 7-13,2015-02-24,08:15,2015-02-24,16:00,,CK GU 048 dramasal
DR-129/DR-121 tirs uke 7-13,2015-02-24,12:15,2015-02-24,16:00,,CK GU 043 teatersal
DR-128/DR-124 ons uke 7-10. 13,2015-02-25,08:15,2015-02-25,10:00,,CK G1 051 aud (fg)
DR-129/DR-121 tors uke 7-13,2015-02-26,12:15,2015-02-26,16:00,,CK GU 043 teatersal
DR-129/DR-121 man uke 7-13,2015-03-02,08:15,2015-03-02,12:00,,CK GU 043 teatersal
DR-129/DR-121 man uke 7-13,2015-03-02,08:15,2015-03-02,16:00,,CK GU 048 dramasal
DR-129/DR-121 tirs uke 7-13,2015-03-03,08:15,2015-03-03,16:00,,CK GU 048 dramasal
DR-129/DR-121 tirs uke 7-13,2015-03-03,12:15,2015-03-03,16:00,,CK GU 043 teatersal
DR-128/DR-124 ons uke 7-10. 13,2015-03-04,08:15,2015-03-04,10:00,,CK G1 051 aud (fg)
DR-129/DR-121 tors uke 7-13,2015-03-05,12:15,2015-03-05,16:00,,CK GU 043 teatersal
DR-129/DR-121 man uke 7-13,2015-03-09,08:15,2015-03-09,12:00,,CK GU 043 teatersal
DR-129/DR-121 man uke 7-13,2015-03-09,08:15,2015-03-09,16:00,,CK GU 048 dramasal
DR-129/DR-121 tirs uke 7-13,2015-03-10,08:15,2015-03-10,16:00,,CK GU 048 dramasal
DR-129/DR-121 tirs uke 7-13,2015-03-10,12:15,2015-03-10,16:00,,CK GU 043 teatersal
DR-129/DR-121 tors uke 7-13,2015-03-12,12:15,2015-03-12,16:00,,CK GU 043 teatersal
DR-129/DR-121 man uke 7-13,2015-03-16,08:15,2015-03-16,12:00,,CK GU 043 teatersal
DR-129/DR-121 man uke 7-13,2015-03-16,08:15,2015-03-16,16:00,,CK GU 048 dramasal
DR-129/DR-121 tirs uke 7-13,2015-03-17,08:15,2015-03-17,16:00,,CK GU 048 dramasal
DR-129/DR-121 tirs uke 7-13,2015-03-17,12:15,2015-03-17,16:00,,CK GU 043 teatersal
DR-129/DR-121 ons uke 12,2015-03-18,08:15,2015-03-18,16:00,,CK GU 043 teatersal. CK GU 048 dramasal
DR-129/DR-121 tors uke 7-13,2015-03-19,08:15,2015-03-19,16:00,,CK GU 048 dramasal
DR-129/DR-121 tors uke 7-13,2015-03-19,12:15,2015-03-19,16:00,,CK GU 043 teatersal
DR-129/DR-121 man uke 7-13,2015-03-23,08:15,2015-03-23,12:00,,CK GU 043 teatersal
DR-129/DR-121 man uke 7-13,2015-03-23,08:15,2015-03-23,16:00,,CK GU 048 dramasal
DR-129/DR-121 tirs uke 7-13,2015-03-24,08:15,2015-03-24,16:00,,CK GU 048 dramasal
DR-129/DR-121 tirs uke 7-13,2015-03-24,12:15,2015-03-24,16:00,,CK GU 043 teatersal
DR-128/DR-124 ons uke 7-10. 13,2015-03-25,08:15,2015-03-25,10:00,,CK G1 051 aud (fg)
DR-129/DR-121 tors uke 7-13,2015-03-26,08:15,2015-03-26,16:00,,CK GU 048 dramasal
DR-129/DR-121 tors uke 7-13,2015-03-26,12:15,2015-03-26,16:00,,CK GU 043 teatersal
DR-129/DR-121 tirs uke 15,2015-04-07,08:15,2015-04-07,16:00,,CK 48 108 sem. CK 48 106 sem. CK 48 007 B sem. CK 48 002 sem
DR-129/DR-121 tirs uke15,2015-04-07,08:15,2015-04-07,16:00,,CK GU 043 teatersal. CK GU 048 dramasal
DR-129/DR-121 tors uke 15,2015-04-09,12:15,2015-04-09,16:00,,CK 51 131 sem. CK 48 117 sem. CK 48 115 sem. CK 48 113 sem. CK 48 114 sem. CK 48 013 sem
DR-128/DR-124 man uke 2-9 og 17-19,2015-04-20,13:15,2015-04-20,16:00,,CK 48 115 sem
DR-128/DR-124 man uke 2-9 og 17-19,2015-04-27,13:15,2015-04-27,16:00,,CK 48 115 sem
DR-128/DR-124 man uke 2-9 og 17-19,2015-05-04,13:15,2015-05-04,16:00,,CK 48 115 sem
