Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-EX-100 fil.hist. man",2015-01-05,12:15,2015-01-05,14:00,"Bøhn Einar D.","CK 46 118 aula"
"-EX-102 humanioravar.",2015-01-05,15:15,2015-01-05,17:00,"Markussen Bjarne","CK B2 003 aud"
"-EX-102/EX-101 vitensk.fil.",2015-01-06,15:15,2015-01-06,17:00,"Løkke Håvard","CK 46 118 aula"
"-EX-100 fil.hist. man",2015-01-12,12:15,2015-01-12,14:00,"Bøhn Einar D.","CK 46 118 aula"
"-EX-102 humanioravar.",2015-01-12,15:15,2015-01-12,17:00,"Markussen Bjarne","CK B2 003 aud"
"-EX-102/EX-101 vitensk.fil.",2015-01-13,15:15,2015-01-13,17:00,"Løkke Håvard","CK 46 118 aula"
"-EX-100 fil.hist. man",2015-01-19,12:15,2015-01-19,14:00,"Bøhn Einar D.","CK 46 118 aula"
"-EX-102 humanioravar.",2015-01-19,15:15,2015-01-19,17:00,"Markussen Bjarne","CK B2 003 aud"
"-EX-100 etikk tirs",2015-01-20,12:15,2015-01-20,14:00,"Bøhn Einar D.","CK 46 118 aula"
"-EX-102/EX-101 vitensk.fil.",2015-01-20,15:15,2015-01-20,17:00,"Løkke Håvard","CK 46 118 aula"
"EN-212 uke 4.8.12.15",2015-01-22,13:15,2015-01-22,15:00,"Erdmann Susan","CK H1 022 sem"
"-EX-100 fil.hist. man",2015-01-26,12:15,2015-01-26,14:00,"Bøhn Einar D.","CK 46 118 aula"
"-EX-102 humanioravar.",2015-01-26,15:15,2015-01-26,17:00,"Markussen Bjarne","CK B2 003 aud"
"-EX-100 etikk tirs",2015-01-27,12:15,2015-01-27,14:00,"Bøhn Einar D.","CK 46 118 aula"
"-EX-102/EX-101 vitensk.fil.",2015-01-27,15:15,2015-01-27,17:00,"Løkke Håvard","CK 46 118 aula"
"-EX-100 fil.hist. man",2015-02-02,12:15,2015-02-02,14:00,"Bøhn Einar D.","CK 46 118 aula"
"-EX-102 humanioravar.",2015-02-02,15:15,2015-02-02,17:00,"Markussen Bjarne","CK B2 003 aud"
"-EX-100 etikk tirs",2015-02-03,12:15,2015-02-03,14:00,"Bøhn Einar D.","CK 46 118 aula"
"-EX-102/EX-101 vitensk.fil.",2015-02-03,15:15,2015-02-03,17:00,"Løkke Håvard","CK 46 118 aula"
"-EX-100 fil.hist. man",2015-02-09,12:15,2015-02-09,14:00,"Bøhn Einar D.","CK 46 118 aula"
"-EX-102 humanioravar.",2015-02-09,15:15,2015-02-09,17:00,"Markussen Bjarne","CK B2 003 aud"
"-EX-100 etikk tirs",2015-02-10,12:15,2015-02-10,14:00,"Bøhn Einar D.","CK 46 118 aula"
"-EX-102/EX-101 vitensk.fil.",2015-02-10,15:15,2015-02-10,17:00,"Løkke Håvard","CK 46 118 aula"
"-EX-100 fil.hist. man",2015-02-16,12:15,2015-02-16,14:00,"Bøhn Einar D.","CK 46 118 aula"
"-EX-102 humanioravar.",2015-02-16,15:15,2015-02-16,17:00,"Markussen Bjarne","CK B2 003 aud"
"-EX-100 etikk tirs",2015-02-17,12:15,2015-02-17,14:00,"Bøhn Einar D.","CK 46 118 aula"
"EN-212 uke 4.8.12.15",2015-02-19,13:15,2015-02-19,15:00,"Erdmann Susan","CK H1 022 sem"
"-EX-100 fil.hist. man",2015-02-23,12:15,2015-02-23,14:00,"Bøhn Einar D.","CK 46 118 aula"
"-EX-102 humanioravar.",2015-02-23,15:15,2015-02-23,17:00,"Markussen Bjarne","CK B2 003 aud"
"-EX-100 etikk tirs",2015-02-24,12:15,2015-02-24,14:00,"Bøhn Einar D.","CK 46 118 aula"
"-EX-100 fil.hist. man",2015-03-02,12:15,2015-03-02,14:00,"Bøhn Einar D.","CK 46 118 aula"
"-EX-102 humanioravar.",2015-03-02,15:15,2015-03-02,17:00,"Markussen Bjarne","CK B2 003 aud"
"-EX-100 fil.hist. man",2015-03-09,12:15,2015-03-09,14:00,"Bøhn Einar D.","CK 46 118 aula"
"-EX-102 humanioravar.",2015-03-09,15:15,2015-03-09,17:00,"Markussen Bjarne","CK B2 003 aud"
"-EX-100 fil.hist. man",2015-03-16,12:15,2015-03-16,14:00,"Bøhn Einar D.","CK 46 118 aula"
"-EX-102 humanioravar.",2015-03-16,15:15,2015-03-16,17:00,"Markussen Bjarne","CK B2 003 aud"
"EN-212 uke 4.8.12.15",2015-03-19,13:15,2015-03-19,15:00,"Erdmann Susan","CK H1 022 sem"
"-EX-100 fil.hist. man",2015-03-23,12:15,2015-03-23,14:00,"Bøhn Einar D.","CK 46 118 aula"
"-EX-102 humanioravar.",2015-03-23,15:15,2015-03-23,17:00,"Markussen Bjarne","CK B2 003 aud"
"EN-212 uke 4.8.12.15",2015-04-09,13:15,2015-04-09,15:00,"Erdmann Susan","CK H1 022 sem"
"-EX-102 humanioravar.",2015-04-13,15:15,2015-04-13,17:00,"Markussen Bjarne","CK B2 003 aud"
"-EX-102 humanioravar.",2015-04-20,15:15,2015-04-20,17:00,"Markussen Bjarne","CK B2 003 aud"
