Subject,Start Date,Start Time,End Date,End Time,Description,Location
-FIL101,2015-01-06,09:15,2015-01-06,12:00,Vaags Ralph Henk,CK B3 001 aud
-FIL102 for (sammen med KR-104 ),2015-01-07,10:15,2015-01-07,12:00,Lysaker Odin, Løkke Håvard,CK 46 118 aula
-FIL104,2015-01-08,12:15,2015-01-08,15:00,Bøhn Einar D.,CK B3 001 aud
-FIL101,2015-01-13,09:15,2015-01-13,12:00,Vaags Ralph Henk,CK B3 001 aud
-FIL102 for (sammen med KR-104 ),2015-01-14,10:15,2015-01-14,12:00,Lysaker Odin, Løkke Håvard,CK 46 118 aula
-FIL104,2015-01-15,12:15,2015-01-15,15:00,Bøhn Einar D.,CK B3 001 aud
-FIL101,2015-01-20,09:15,2015-01-20,12:00,Vaags Ralph Henk,CK B3 001 aud
-FIL102 for (sammen med KR-104 ),2015-01-21,10:15,2015-01-21,12:00,Lysaker Odin, Løkke Håvard,CK 46 118 aula
-FIL104,2015-01-22,12:15,2015-01-22,15:00,Bøhn Einar D.,CK B3 001 aud
-FIL101,2015-01-27,09:15,2015-01-27,12:00,Vaags Ralph Henk,CK B3 001 aud
-FIL102 for (sammen med KR-104 ),2015-01-28,10:15,2015-01-28,12:00,Lysaker Odin, Løkke Håvard,CK 46 118 aula
-FIL104,2015-01-29,12:15,2015-01-29,15:00,Bøhn Einar D.,CK B3 001 aud
-FIL101,2015-02-03,09:15,2015-02-03,12:00,Vaags Ralph Henk,CK B3 001 aud
-FIL102 for (sammen med KR-104 ),2015-02-04,10:15,2015-02-04,12:00,Lysaker Odin, Løkke Håvard,CK 46 118 aula
-FIL104,2015-02-05,12:15,2015-02-05,15:00,Bøhn Einar D.,CK B3 001 aud
-FIL101,2015-02-10,09:15,2015-02-10,12:00,Vaags Ralph Henk,CK B3 001 aud
-FIL104,2015-02-12,12:15,2015-02-12,15:00,Bøhn Einar D.,CK B3 001 aud
-FIL101,2015-02-17,09:15,2015-02-17,12:00,Vaags Ralph Henk,CK B3 001 aud
-FIL104,2015-02-19,12:15,2015-02-19,15:00,Bøhn Einar D.,CK B3 001 aud
-FIL101,2015-02-24,09:15,2015-02-24,12:00,Vaags Ralph Henk,CK B3 001 aud
-FIL102 for (sammen med KR-104 ),2015-02-25,10:15,2015-02-25,12:00,Lysaker Odin, Løkke Håvard,CK 46 118 aula
-FIL104,2015-02-26,12:15,2015-02-26,15:00,Bøhn Einar D.,CK B3 001 aud
-FIL101,2015-03-03,09:15,2015-03-03,12:00,Vaags Ralph Henk,CK B3 001 aud
-FIL102 for (sammen med KR-104 ),2015-03-04,10:15,2015-03-04,12:00,Lysaker Odin, Løkke Håvard,CK 46 118 aula
-FIL104,2015-03-05,12:15,2015-03-05,15:00,Bøhn Einar D.,CK B3 001 aud
-FIL101,2015-03-10,09:15,2015-03-10,12:00,Vaags Ralph Henk,CK B3 001 aud
-FIL104,2015-03-12,12:15,2015-03-12,15:00,Bøhn Einar D.,CK B3 001 aud
-FIL101,2015-03-17,09:15,2015-03-17,12:00,Vaags Ralph Henk,CK B3 001 aud
-FIL102 for (sammen med KR-104 ),2015-03-18,10:15,2015-03-18,12:00,Lysaker Odin, Løkke Håvard,CK 46 118 aula
-FIL104,2015-03-19,12:15,2015-03-19,15:00,Bøhn Einar D.,CK B3 001 aud
-FIL101,2015-03-24,09:15,2015-03-24,12:00,Vaags Ralph Henk,CK B3 001 aud
-FIL102 for (sammen med KR-104 ),2015-03-25,10:15,2015-03-25,12:00,Lysaker Odin, Løkke Håvard,CK 46 118 aula
-FIL104,2015-03-26,12:15,2015-03-26,15:00,Bøhn Einar D.,CK B3 001 aud
-FIL101,2015-04-07,09:15,2015-04-07,12:00,Vaags Ralph Henk,CK B3 001 aud
-FIL102 for (sammen med KR-104 ),2015-04-08,10:15,2015-04-08,12:00,Lysaker Odin, Løkke Håvard,CK 46 118 aula
-FIL104,2015-04-09,12:15,2015-04-09,15:00,Bøhn Einar D.,CK B3 001 aud
-FIL102 for (sammen med KR-104 ),2015-04-15,10:15,2015-04-15,12:00,Lysaker Odin, Løkke Håvard,CK 46 118 aula
-FIL102 for (sammen med KR-104 ),2015-04-22,10:15,2015-04-22,12:00,Lysaker Odin, Løkke Håvard,CK 46 118 aula
-FIL102 uke 18,19,2015-04-29,10:15,2015-04-29,12:00,Løkke Håvard,CK 46 118 aula
-FIL102 uke 18,19,2015-05-06,10:15,2015-05-06,12:00,Løkke Håvard,CK 46 118 aula
