Subject,Start Date,Start Time,End Date,End Time,Description,Location
"KH-101 forel tirs",2015-01-06,08:15,2015-01-06,10:00,"","CK G1 051 aud"
"KH-101 forel tors",2015-01-08,08:15,2015-01-08,10:00,"","CK G1 051 aud"
"KH-101 forel tirs",2015-01-13,08:15,2015-01-13,10:00,"","CK G1 051 aud"
"KH-101 forel tors",2015-01-15,08:15,2015-01-15,10:00,"","CK G1 051 aud"
"KH-101 forel tirs",2015-01-20,08:15,2015-01-20,10:00,"","CK G1 051 aud"
"KH-101 forel tors",2015-01-22,08:15,2015-01-22,10:00,"","CK G1 051 aud"
"KH-101 forel tirs",2015-01-27,08:15,2015-01-27,10:00,"","CK G1 051 aud"
"KH-101 forel tors",2015-01-29,08:15,2015-01-29,10:00,"","CK G1 051 aud"
"KH-101 forel tirs",2015-02-03,08:15,2015-02-03,10:00,"","CK G1 051 aud"
"KH-101 forel tors",2015-02-05,08:15,2015-02-05,10:00,"","CK G1 051 aud"
"KH-101 forel tirs",2015-02-10,08:15,2015-02-10,10:00,"","CK G1 051 aud"
"KH-101 forel tors",2015-02-12,08:15,2015-02-12,10:00,"","CK G1 051 aud"
"KH-101 forel tirs",2015-02-17,08:15,2015-02-17,10:00,"","CK G1 051 aud"
"KH-101 forel tors",2015-02-19,08:15,2015-02-19,10:00,"","CK G1 051 aud"
"KH-101 forel tirs",2015-02-24,08:15,2015-02-24,10:00,"","CK G1 051 aud"
"KH-101 forel tors",2015-02-26,08:15,2015-02-26,10:00,"","CK G1 051 aud"
"KH-101 forel tors",2015-03-05,08:15,2015-03-05,10:00,"","CK G1 051 aud"
"KH-101 forel tirs",2015-03-10,08:15,2015-03-10,10:00,"","CK G1 051 aud"
"KH-101 forel tors",2015-03-12,08:15,2015-03-12,10:00,"","CK G1 051 aud"
"KH-101 forel tirs",2015-03-17,08:15,2015-03-17,10:00,"","CK G1 051 aud"
"KH-101 forel tors",2015-03-19,08:15,2015-03-19,10:00,"","CK G1 051 aud"
"KH-101 forel tirs",2015-03-24,08:15,2015-03-24,10:00,"","CK G1 051 aud"
"KH-101 forel tors",2015-03-26,08:15,2015-03-26,10:00,"","CK G1 051 aud"
"KH-101 forel tirs",2015-04-07,08:15,2015-04-07,10:00,"","CK G1 051 aud"
"KH-101 forel tors",2015-04-09,08:15,2015-04-09,10:00,"","CK G1 051 aud"
"KH-101 forel tirs",2015-04-14,08:15,2015-04-14,10:00,"","CK G1 051 aud"
"KH-101 forel tors",2015-04-16,08:15,2015-04-16,10:00,"","CK G1 051 aud"
"KH-101 forel tirs",2015-04-21,08:15,2015-04-21,10:00,"","CK G1 051 aud"
"KH-101 forel tors",2015-04-23,08:15,2015-04-23,10:00,"","CK G1 051 aud"
"KH-101 forel tirs",2015-04-28,08:15,2015-04-28,10:00,"","CK G1 051 aud"
"KH-101 forel tors",2015-04-30,08:15,2015-04-30,10:00,"","CK G1 051 aud"
"KH-101 forel tirs",2015-05-05,08:15,2015-05-05,10:00,"","CK G1 051 aud"
"KH-101 forel tors",2015-05-07,08:15,2015-05-07,10:00,"","CK G1 051 aud"
