Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-NO-117 ons",2015-01-07,09:15,2015-01-07,14:00,"Bjorvand Agnes-Margrethe, Karsrud Fridunn Tørå, Kvåle Gunhild","CK F2 008 sem"
"-NO-117 tor",2015-01-08,08:15,2015-01-08,13:00,"Bjorvand Agnes-Margrethe, Karsrud Fridunn Tørå, Kvåle Gunhild","CK F2 008 sem"
"-NO-117 man",2015-01-12,09:15,2015-01-12,14:00,"Bjorvand Agnes-Margrethe, Karsrud Fridunn Tørå, Kvåle Gunhild","CK F2 008 sem"
"-NO-117 ons",2015-01-14,09:15,2015-01-14,14:00,"Bjorvand Agnes-Margrethe, Karsrud Fridunn Tørå, Kvåle Gunhild","CK F2 008 sem"
"-NO-117 tor",2015-01-15,08:15,2015-01-15,13:00,"Bjorvand Agnes-Margrethe, Karsrud Fridunn Tørå, Kvåle Gunhild","CK F2 008 sem"
"-NO-117 man",2015-01-19,09:15,2015-01-19,14:00,"Bjorvand Agnes-Margrethe, Karsrud Fridunn Tørå, Kvåle Gunhild","CK F2 008 sem"
"-NO-117 ons",2015-01-21,09:15,2015-01-21,14:00,"Bjorvand Agnes-Margrethe, Karsrud Fridunn Tørå, Kvåle Gunhild","CK F2 008 sem"
"-NO-117 tor",2015-01-22,08:15,2015-01-22,13:00,"Bjorvand Agnes-Margrethe, Karsrud Fridunn Tørå, Kvåle Gunhild","CK F2 008 sem"
"-NO-117 man",2015-01-26,09:15,2015-01-26,14:00,"Bjorvand Agnes-Margrethe, Karsrud Fridunn Tørå, Kvåle Gunhild","CK F2 008 sem"
"-NO-117 ons",2015-01-28,09:15,2015-01-28,14:00,"Bjorvand Agnes-Margrethe, Karsrud Fridunn Tørå, Kvåle Gunhild","CK F2 008 sem"
"-NO-117 tor",2015-01-29,08:15,2015-01-29,13:00,"Bjorvand Agnes-Margrethe, Karsrud Fridunn Tørå, Kvåle Gunhild","CK F2 008 sem"
"-NO-117 man",2015-02-02,09:15,2015-02-02,14:00,"Bjorvand Agnes-Margrethe, Karsrud Fridunn Tørå, Kvåle Gunhild","CK F2 008 sem"
"-NO-117 ons",2015-02-04,09:15,2015-02-04,14:00,"Bjorvand Agnes-Margrethe, Karsrud Fridunn Tørå, Kvåle Gunhild","CK F2 008 sem"
"-NO-117 tor",2015-02-05,08:15,2015-02-05,13:00,"Bjorvand Agnes-Margrethe, Karsrud Fridunn Tørå, Kvåle Gunhild","CK F2 008 sem"
"-NO-117 man",2015-02-09,09:15,2015-02-09,14:00,"Bjorvand Agnes-Margrethe, Karsrud Fridunn Tørå, Kvåle Gunhild","CK F2 008 sem"
"-NO-117 ons",2015-02-11,09:15,2015-02-11,14:00,"Bjorvand Agnes-Margrethe, Karsrud Fridunn Tørå, Kvåle Gunhild","CK F2 008 sem"
"-NO-117 tor",2015-02-12,08:15,2015-02-12,13:00,"Bjorvand Agnes-Margrethe, Karsrud Fridunn Tørå, Kvåle Gunhild","CK F2 008 sem"
