Subject,Start Date,Start Time,End Date,End Time,Description,Location
KH-100/forel/øv/01 mandag,2015-01-05,08:15,2015-01-05,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 tirsdag,2015-01-06,08:15,2015-01-06,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 onsdag,2015-01-07,08:15,2015-01-07,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 torsdag,2015-01-08,08:15,2015-01-08,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 fredag,2015-01-09,08:15,2015-01-09,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 tirsdag,2015-01-13,08:15,2015-01-13,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 onsdag,2015-01-14,08:15,2015-01-14,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 torsdag,2015-01-15,08:15,2015-01-15,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 fredag,2015-01-16,08:15,2015-01-16,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 tirsdag,2015-01-20,08:15,2015-01-20,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 torsdag,2015-01-22,08:15,2015-01-22,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 fredag,2015-01-23,08:15,2015-01-23,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 tirsdag,2015-01-27,08:15,2015-01-27,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 torsdag,2015-01-29,08:15,2015-01-29,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 fredag,2015-01-30,08:15,2015-01-30,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 tirsdag,2015-02-03,08:15,2015-02-03,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 onsdag,2015-02-04,08:15,2015-02-04,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 torsdag,2015-02-05,08:15,2015-02-05,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 fredag,2015-02-06,08:15,2015-02-06,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 tirsdag,2015-02-10,08:15,2015-02-10,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 torsdag,2015-02-12,08:15,2015-02-12,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 fredag,2015-02-13,08:15,2015-02-13,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 tirsdag,2015-02-17,08:15,2015-02-17,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 torsdag,2015-02-19,08:15,2015-02-19,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 fredag,2015-02-20,08:15,2015-02-20,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 mandag,2015-02-23,08:15,2015-02-23,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 tirsdag,2015-02-24,08:15,2015-02-24,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 onsdag,2015-02-25,08:15,2015-02-25,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 torsdag,2015-02-26,08:15,2015-02-26,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 fredag,2015-02-27,08:15,2015-02-27,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 mandag,2015-03-02,08:15,2015-03-02,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 tirsdag,2015-03-03,08:15,2015-03-03,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 torsdag,2015-03-05,08:15,2015-03-05,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 fredag,2015-03-06,08:15,2015-03-06,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 torsdag,2015-03-12,08:15,2015-03-12,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 fredag,2015-03-13,08:15,2015-03-13,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 torsdag,2015-03-19,08:15,2015-03-19,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 fredag,2015-03-20,08:15,2015-03-20,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 tirsdag,2015-03-24,08:15,2015-03-24,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 onsdag,2015-03-25,08:15,2015-03-25,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 torsdag,2015-03-26,08:15,2015-03-26,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 fredag,2015-03-27,08:15,2015-03-27,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 tirsdag,2015-04-07,08:15,2015-04-07,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 onsdag,2015-04-08,08:15,2015-04-08,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 torsdag,2015-04-09,08:15,2015-04-09,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 fredag,2015-04-10,08:15,2015-04-10,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 mandag,2015-04-13,08:15,2015-04-13,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 tirsdag,2015-04-14,08:15,2015-04-14,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
KH-100/forel/øv/01 onsdag,2015-04-15,08:15,2015-04-15,16:00,Andresen Arild. Myran Turid,CG C3 084 lab D/T
