Subject,Start Date,Start Time,End Date,End Time,Description,Location
NO-136/Forel/01 man,2015-01-05,10:15,2015-01-05,14:00,Rambø Gro-Renee GRM,CG-A3 023 klasserom (40)
NO-136/Forel/02 tir,2015-01-06,09:15,2015-01-06,14:00,Rambø Gro-Renee GRM,CG-A3 023 klasserom (40)
MA-144/CG Forel/01 ons,2015-01-07,08:15,2015-01-07,12:00,Birkeland Per Arne,CG-A3 020 klasserom (40)
MA-144/CG Forel/02 fre,2015-01-09,08:15,2015-01-09,10:00,Birkeland Per Arne,CG-A3 020 klasserom (40)
NO-136/Forel/01 man,2015-01-12,10:15,2015-01-12,14:00,Rambø Gro-Renee GRM,CG-A3 023 klasserom (40)
NO-136/Forel/02 tir,2015-01-13,09:15,2015-01-13,14:00,Rambø Gro-Renee GRM,CG-A3 023 klasserom (40)
MA-144/CG Forel/01 ons,2015-01-14,08:15,2015-01-14,12:00,Birkeland Per Arne,CG-A3 020 klasserom (40)
MA-144/CG Forel/01 ons uke 3. 4. 5,2015-01-14,12:15,2015-01-14,14:00,Birkeland Per Arne,CG-A3 020 klasserom (40)
MA-144/CG Forel/02 fre,2015-01-16,08:15,2015-01-16,10:00,Birkeland Per Arne,CG-A3 020 klasserom (40)
MA-144/CG Gr/01 fre,2015-01-16,10:15,2015-01-16,12:00,Birkeland Per Arne,CG-A2 140. CG-A2 141. CG-A3 095. CG-A3 096. CG-A3 097. CG-A3 098
NO-136/Forel/01 man,2015-01-19,10:15,2015-01-19,14:00,Rambø Gro-Renee GRM,CG-A3 023 klasserom (40)
NO-136/Forel/02 tir,2015-01-20,09:15,2015-01-20,14:00,Rambø Gro-Renee GRM,CG-A3 023 klasserom (40)
MA-144/CG Forel/01 ons,2015-01-21,08:15,2015-01-21,12:00,Birkeland Per Arne,CG-A3 020 klasserom (40)
MA-144/CG Forel/01 ons uke 3. 4. 5,2015-01-21,12:15,2015-01-21,14:00,Birkeland Per Arne,CG-A3 020 klasserom (40)
MA-144/CG Forel/02 fre,2015-01-23,08:15,2015-01-23,10:00,Birkeland Per Arne,CG-A3 020 klasserom (40)
MA-144/CG Gr/01 fre,2015-01-23,10:15,2015-01-23,12:00,Birkeland Per Arne,CG-A2 140. CG-A2 141. CG-A3 095. CG-A3 096. CG-A3 097. CG-A3 098
NO-136/Forel/01 man,2015-01-26,10:15,2015-01-26,14:00,Rambø Gro-Renee GRM,CG-A3 023 klasserom (40)
NO-136/Forel/02 tir,2015-01-27,09:15,2015-01-27,14:00,Rambø Gro-Renee GRM,CG-A3 023 klasserom (40)
MA-144/CG Forel/01 ons,2015-01-28,08:15,2015-01-28,12:00,Birkeland Per Arne,CG-A3 020 klasserom (40)
MA-144/CG Forel/01 ons uke 3. 4. 5,2015-01-28,12:15,2015-01-28,14:00,Birkeland Per Arne,CG-A3 020 klasserom (40)
MA-144/CG Forel/02 fre,2015-01-30,08:15,2015-01-30,10:00,Birkeland Per Arne,CG-A3 020 klasserom (40)
MA-144/CG Pc-lab/01 fre,2015-01-30,10:15,2015-01-30,12:00,Birkeland Per Arne,CG-A2 055 PC-lab
NO-136/Forel/01 man,2015-02-02,10:15,2015-02-02,14:00,Rambø Gro-Renee GRM,CG-A3 023 klasserom (40)
NO-136/Forel/02 tir,2015-02-03,09:15,2015-02-03,14:00,Rambø Gro-Renee GRM,CG-A3 023 klasserom (40)
MA-144/CG Forel/01 ons,2015-02-04,08:15,2015-02-04,12:00,Birkeland Per Arne,CG-A3 020 klasserom (40)
MA-144/CG Forel/02 fre,2015-02-06,08:15,2015-02-06,10:00,Birkeland Per Arne,CG-A3 020 klasserom (40)
MA-144/CG Pc-lab/01 fre,2015-02-06,10:15,2015-02-06,12:00,Birkeland Per Arne,CG-A2 055 PC-lab
NO-136/Forel/01 man,2015-02-09,10:15,2015-02-09,14:00,Rambø Gro-Renee GRM,CG-A3 023 klasserom (40)
NO-136/Forel/02 tir,2015-02-10,09:15,2015-02-10,14:00,Rambø Gro-Renee GRM,CG-A3 023 klasserom (40)
MA-144/CG Forel/01 ons,2015-02-11,08:15,2015-02-11,12:00,Birkeland Per Arne,CG-A3 020 klasserom (40)
MA-144/CG Forel/02 fre,2015-02-13,08:15,2015-02-13,10:00,Birkeland Per Arne,CG-A3 020 klasserom (40)
MA-144/CG Pc-lab/01 fre,2015-02-13,10:15,2015-02-13,12:00,Birkeland Per Arne,CG-A2 055 PC-lab
NO-136/Forel/01 man,2015-02-23,10:15,2015-02-23,14:00,Rambø Gro-Renee GRM,CG-A3 023 klasserom (40)
NO-136/Forel/02 tir,2015-02-24,09:15,2015-02-24,14:00,Rambø Gro-Renee GRM,CG-A3 023 klasserom (40)
NO-136/Forel/01 man,2015-03-16,10:15,2015-03-16,14:00,Rambø Gro-Renee GRM,CG-A3 023 klasserom (40)
NO-136/Forel/02 tir,2015-03-17,09:15,2015-03-17,14:00,Rambø Gro-Renee GRM,CG-A3 023 klasserom (40)
MA-144/CG Forel/01 ons,2015-03-18,08:15,2015-03-18,12:00,Birkeland Per Arne,CG-A3 020 klasserom (40)
MA-144/CG Forel/02 fre,2015-03-20,08:15,2015-03-20,10:00,Birkeland Per Arne,CG-A3 020 klasserom (40)
MA-144/CG Gr/01 fre,2015-03-20,10:15,2015-03-20,12:00,Birkeland Per Arne,CG-A2 140. CG-A2 141. CG-A3 095. CG-A3 096. CG-A3 097. CG-A3 098
NO-136/Forel/01 man,2015-03-23,10:15,2015-03-23,14:00,Rambø Gro-Renee GRM,CG-A3 023 klasserom (40)
NO-136/Forel/02 tir,2015-03-24,09:15,2015-03-24,14:00,Rambø Gro-Renee GRM,CG-A3 023 klasserom (40)
MA-144/CG Forel/01 ons,2015-03-25,08:15,2015-03-25,12:00,Birkeland Per Arne,CG-A3 020 klasserom (40)
MA-144/CG Forel/02 fre,2015-03-27,08:15,2015-03-27,10:00,Birkeland Per Arne,CG-A3 020 klasserom (40)
