Subject,Start Date,Start Time,End Date,End Time,Description,Location
-SV-138 for/sem,2015-01-06,08:15,2015-01-06,12:00,Trysnes Irene, Westersjø Martin,CK 46 215 sem
-SV-139/SV-138 sem/gr,2015-01-07,08:15,2015-01-07,12:00,,CK 46 215 sem
-SV-138/SV-139 sem/gr,2015-01-07,08:15,2015-01-07,12:00,,CK 46 215 sem
-SV-139 for/sem,2015-01-08,08:15,2015-01-08,12:00,Cruickshank Jørn, Trysnes Irene,CK 46 215 sem
-SV-138 for/sem,2015-01-09,08:15,2015-01-09,12:00,Trysnes Irene, Westersjø Martin,CK 46 215 sem
-SV-139 for/sem,2015-01-12,08:15,2015-01-12,12:00,Cruickshank Jørn, Trysnes Irene,CK 46 215 sem
-SV-138 for/sem,2015-01-13,08:15,2015-01-13,12:00,Trysnes Irene, Westersjø Martin,CK 46 215 sem
-SV-139/SV-138 sem/gr,2015-01-14,08:15,2015-01-14,12:00,,CK 46 215 sem
-SV-138/SV-139 sem/gr,2015-01-14,08:15,2015-01-14,12:00,,CK 46 215 sem
-SV-139 for/sem,2015-01-15,08:15,2015-01-15,12:00,Cruickshank Jørn, Trysnes Irene,CK 46 215 sem
-SV-138 for/sem,2015-01-16,08:15,2015-01-16,12:00,Trysnes Irene, Westersjø Martin,CK 46 215 sem
-SV-139 for/sem,2015-01-19,08:15,2015-01-19,12:00,Cruickshank Jørn, Trysnes Irene,CK 46 215 sem
-SV-138 for/sem,2015-01-20,08:15,2015-01-20,12:00,Trysnes Irene, Westersjø Martin,CK 46 215 sem
-SV-139/SV-138 sem/gr,2015-01-21,08:15,2015-01-21,12:00,,CK 46 215 sem
-SV-138/SV-139 sem/gr,2015-01-21,08:15,2015-01-21,12:00,,CK 46 215 sem
-SV-139 for/sem,2015-01-22,08:15,2015-01-22,12:00,Cruickshank Jørn, Trysnes Irene,CK 46 215 sem
-SV-138 for/sem,2015-01-23,08:15,2015-01-23,12:00,Trysnes Irene, Westersjø Martin,CK 46 215 sem
