Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-MA-422 for ons",2015-01-07,09:15,2015-01-07,14:00,"Hundeland Per Sigurd, Nilsen Hans Kristian","CK I1 002 sem"
"-MA-422 for tors",2015-01-08,09:15,2015-01-08,13:00,"Hundeland Per Sigurd, Nilsen Hans Kristian","CK I1 002 sem"
"-MA-422 for ons",2015-01-14,09:15,2015-01-14,14:00,"Hundeland Per Sigurd, Nilsen Hans Kristian","CK I1 002 sem"
"-MA-422 for tors",2015-01-15,09:15,2015-01-15,13:00,"Hundeland Per Sigurd, Nilsen Hans Kristian","CK I1 002 sem"
"-PED526",2015-01-19,09:15,2015-01-19,12:00,"Garmanslund Per Einar","CK F2 007 sem"
"-PED526",2015-01-20,13:15,2015-01-20,15:00,"Garmanslund Per Einar","CK F2 007 sem"
"-MA-422 for ons",2015-01-21,09:15,2015-01-21,14:00,"Hundeland Per Sigurd, Nilsen Hans Kristian","CK I1 002 sem"
"-MA-422 for tors",2015-01-22,09:15,2015-01-22,13:00,"Hundeland Per Sigurd, Nilsen Hans Kristian","CK I1 002 sem"
"-PED526",2015-01-26,09:15,2015-01-26,12:00,"Garmanslund Per Einar","CK F2 007 sem"
"-PED526",2015-01-27,13:15,2015-01-27,15:00,"Garmanslund Per Einar","CK F2 007 sem"
"-MA-422 for ons",2015-01-28,09:15,2015-01-28,14:00,"Hundeland Per Sigurd, Nilsen Hans Kristian","CK I1 002 sem"
"-MA-422 for tors",2015-01-29,09:15,2015-01-29,13:00,"Hundeland Per Sigurd, Nilsen Hans Kristian","CK I1 002 sem"
"-PED526",2015-02-02,09:15,2015-02-02,12:00,"Garmanslund Per Einar","CK F2 007 sem"
"-PED526",2015-02-03,13:15,2015-02-03,15:00,"Garmanslund Per Einar","CK F2 007 sem"
"-MA-422 ons",2015-02-04,09:15,2015-02-04,14:00,"Hundeland Per Sigurd, Nilsen Hans Kristian","CK 51 131 sem"
"-MA-422 tors",2015-02-05,09:15,2015-02-05,13:00,"Hundeland Per Sigurd, Nilsen Hans Kristian","CK 51 131 sem"
"-PED526",2015-02-09,09:15,2015-02-09,12:00,"Garmanslund Per Einar","CK F2 007 sem"
"-PED526",2015-02-10,13:15,2015-02-10,15:00,"Garmanslund Per Einar","CK F2 007 sem"
"-MA-422 for ons",2015-02-11,09:15,2015-02-11,14:00,"Hundeland Per Sigurd, Nilsen Hans Kristian","CK I1 002 sem"
"-MA-422 for tors",2015-02-12,09:15,2015-02-12,13:00,"Hundeland Per Sigurd, Nilsen Hans Kristian","CK I1 002 sem"
"-MA-422 for uke 8-10",2015-02-18,09:15,2015-02-18,14:00,"Hundeland Per Sigurd, Nilsen Hans Kristian","CK 51 131 sem"
