Subject,Start Date,Start Time,End Date,End Time,Description,Location
ORG119/Forel/01,2015-01-05,09:15,2015-01-05,15:00,Amundsen Ivar. Svendal. Atle,CG-F 204 klasserom (Jon Lilletunsvei 3) 
ORG119/Forel/02,2015-01-06,09:15,2015-01-06,15:00,Amundsen Ivar. Svendal. Atle,CG-F 204 klasserom (Jon Lilletunsvei 3) 
ORG118/Forel,2015-01-07,09:15,2015-01-07,15:00,Bergdal Inge,CG-A2 027 klasserom
ORG119/Forel/01,2015-01-19,09:15,2015-01-19,15:00,Amundsen Ivar. Svendal. Atle,CG-F 204 klasserom (Jon Lilletunsvei 3) 
ORG119/Forel/02,2015-01-20,09:15,2015-01-20,15:00,Amundsen Ivar. Svendal. Atle,CG-F 204 klasserom (Jon Lilletunsvei 3) 
ORG118/Forel,2015-01-21,09:15,2015-01-21,15:00,Bergdal Inge,CG-A2 027 klasserom
ORG119/Forel/01,2015-02-02,09:15,2015-02-02,15:00,Amundsen Ivar. Svendal. Atle,CG-F 204 klasserom (Jon Lilletunsvei 3) 
ORG119/Forel/02,2015-02-03,09:15,2015-02-03,15:00,Amundsen Ivar. Svendal. Atle,CG-F 204 klasserom (Jon Lilletunsvei 3) 
ORG118/Forel,2015-02-04,09:15,2015-02-04,15:00,Bergdal Inge,CG-A2 027 klasserom
ORG119/Forel/01,2015-02-16,09:15,2015-02-16,15:00,Amundsen Ivar. Svendal. Atle,CG-F 204 klasserom (Jon Lilletunsvei 3) 
ORG119/Forel/02,2015-02-17,09:15,2015-02-17,15:00,Amundsen Ivar. Svendal. Atle,CG-F 204 klasserom (Jon Lilletunsvei 3) 
ORG118/Forel,2015-02-18,09:15,2015-02-18,15:00,Bergdal Inge,CG-A2 027 klasserom
ORG119/Forel/01,2015-03-02,09:15,2015-03-02,15:00,Amundsen Ivar. Svendal. Atle,CG-F 204 klasserom (Jon Lilletunsvei 3) 
ORG119/Forel/02,2015-03-03,09:15,2015-03-03,15:00,Amundsen Ivar. Svendal. Atle,CG-F 204 klasserom (Jon Lilletunsvei 3) 
ORG118/Forel,2015-03-04,09:15,2015-03-04,15:00,Bergdal Inge,CG-A2 027 klasserom
ORG119/Forel/01 uke 12 - rombytte,2015-03-16,09:15,2015-03-16,15:00,Svendal. Atle,CG-A2 084 auditorium
ORG119/Forel/02 uke 12 - rombytte,2015-03-17,09:15,2015-03-17,15:00,Amundsen Ivar. Svendal. Atle,CG-A2 027 klasserom
ORG118/Forel,2015-03-18,09:15,2015-03-18,15:00,Bergdal Inge,CG-A2 027 klasserom
ORG119/Forel/01,2015-04-13,09:15,2015-04-13,15:00,Amundsen Ivar. Svendal. Atle,CG-F 204 klasserom (Jon Lilletunsvei 3) 
ORG119/Forel/02,2015-04-14,09:15,2015-04-14,15:00,Amundsen Ivar. Svendal. Atle,CG-F 204 klasserom (Jon Lilletunsvei 3) 
ORG118/Forel,2015-04-15,09:15,2015-04-15,15:00,Bergdal Inge,CG-A2 027 klasserom
ORG119/Forel/01,2015-04-20,09:15,2015-04-20,15:00,Amundsen Ivar. Svendal. Atle,CG-F 204 klasserom (Jon Lilletunsvei 3) 
