Subject,Start Date,Start Time,End Date,End Time,Description,Location
-HI-410,2015-01-05,12:15,2015-01-05,16:00,Johnsen Berit Eide. Lenz Claudia. Mustad Jan Erik. Nielsen May-Brith Ohman. Spanos Apostolos. Sæle Christian,CK F2 006 sem
-HI-411,2015-01-06,12:15,2015-01-06,16:00,Dørum Knut. Sætra Gustav Grunde,CK F2 006 sem
-HI-410,2015-01-12,12:15,2015-01-12,16:00,Johnsen Berit Eide. Lenz Claudia. Mustad Jan Erik. Nielsen May-Brith Ohman. Spanos Apostolos. Sæle Christian,CK F2 006 sem
-HI-411,2015-01-13,12:15,2015-01-13,16:00,Dørum Knut. Sætra Gustav Grunde,CK F2 006 sem
-HI-410,2015-01-19,12:15,2015-01-19,16:00,Johnsen Berit Eide. Lenz Claudia. Mustad Jan Erik. Nielsen May-Brith Ohman. Spanos Apostolos. Sæle Christian,CK F2 006 sem
-HI-411,2015-01-20,12:15,2015-01-20,16:00,Dørum Knut. Sætra Gustav Grunde,CK F2 006 sem
-HI-410,2015-01-26,12:15,2015-01-26,16:00,Johnsen Berit Eide. Lenz Claudia. Mustad Jan Erik. Nielsen May-Brith Ohman. Spanos Apostolos. Sæle Christian,CK F2 006 sem
-HI-411,2015-01-27,12:15,2015-01-27,16:00,Dørum Knut. Sætra Gustav Grunde,CK F2 006 sem
-HI-410,2015-02-02,12:15,2015-02-02,16:00,Johnsen Berit Eide. Lenz Claudia. Mustad Jan Erik. Nielsen May-Brith Ohman. Spanos Apostolos. Sæle Christian,CK F2 006 sem
-HI-411,2015-02-03,12:15,2015-02-03,16:00,Dørum Knut. Sætra Gustav Grunde,CK F2 006 sem
-HI-410,2015-02-09,12:15,2015-02-09,16:00,Johnsen Berit Eide. Lenz Claudia. Mustad Jan Erik. Nielsen May-Brith Ohman. Spanos Apostolos. Sæle Christian,CK F2 006 sem
-HI-411,2015-02-10,12:15,2015-02-10,16:00,Dørum Knut. Sætra Gustav Grunde,CK F2 006 sem
-HI-410,2015-02-16,12:15,2015-02-16,16:00,Johnsen Berit Eide. Lenz Claudia. Mustad Jan Erik. Nielsen May-Brith Ohman. Spanos Apostolos. Sæle Christian,CK F2 006 sem
-HI-410,2015-02-23,12:15,2015-02-23,16:00,Johnsen Berit Eide. Lenz Claudia. Mustad Jan Erik. Nielsen May-Brith Ohman. Spanos Apostolos. Sæle Christian,CK F2 006 sem
-HI-411,2015-02-24,12:15,2015-02-24,16:00,Dørum Knut. Sætra Gustav Grunde,CK F2 006 sem
-HI-410,2015-03-02,12:15,2015-03-02,16:00,Johnsen Berit Eide. Lenz Claudia. Mustad Jan Erik. Nielsen May-Brith Ohman. Spanos Apostolos. Sæle Christian,CK F2 006 sem
-HI-410,2015-03-09,12:15,2015-03-09,16:00,Johnsen Berit Eide. Lenz Claudia. Mustad Jan Erik. Nielsen May-Brith Ohman. Spanos Apostolos. Sæle Christian,CK F2 006 sem
-HI-411,2015-03-10,12:15,2015-03-10,16:00,Dørum Knut. Sætra Gustav Grunde,CK F2 006 sem
-HI-410,2015-03-16,12:15,2015-03-16,16:00,Johnsen Berit Eide. Lenz Claudia. Mustad Jan Erik. Nielsen May-Brith Ohman. Spanos Apostolos. Sæle Christian,CK F2 006 sem
-HI-410,2015-03-23,12:15,2015-03-23,16:00,Johnsen Berit Eide. Lenz Claudia. Mustad Jan Erik. Nielsen May-Brith Ohman. Spanos Apostolos. Sæle Christian,CK F2 006 sem
-HI-411,2015-03-24,12:15,2015-03-24,16:00,Dørum Knut. Sætra Gustav Grunde,CK F2 006 sem
-HI-411,2015-04-07,12:15,2015-04-07,16:00,Dørum Knut. Sætra Gustav Grunde,CK F2 006 sem
-HI-410,2015-04-20,12:15,2015-04-20,16:00,Johnsen Berit Eide. Lenz Claudia. Mustad Jan Erik. Nielsen May-Brith Ohman. Spanos Apostolos. Sæle Christian,CK F2 006 sem
-HI-411,2015-04-21,12:15,2015-04-21,16:00,Dørum Knut. Sætra Gustav Grunde,CK F2 006 sem
