Subject,Start Date,Start Time,End Date,End Time,Description,Location
-HI-218 for,2015-01-05,10:15,2015-01-05,12:00,Sætra Gustav Grunde,CK 46 216 sem
-HI-217 for/sem,2015-01-08,08:15,2015-01-08,12:00,Abrahamsen Olav Arild. Rinde Harald. Seland Bjørg,CK D3 054 sem
-HI-217 for/sem,2015-01-15,08:15,2015-01-15,12:00,Abrahamsen Olav Arild. Rinde Harald. Seland Bjørg,CK D3 054 sem
-HI-218 for,2015-01-19,10:15,2015-01-19,12:00,Sætra Gustav Grunde,CK 46 216 sem
-HI-217 for/sem,2015-01-22,08:15,2015-01-22,12:00,Abrahamsen Olav Arild. Rinde Harald. Seland Bjørg,CK D3 054 sem
-HI-218 for,2015-01-26,10:15,2015-01-26,12:00,Sætra Gustav Grunde,CK 46 216 sem
-HI-217 for/sem,2015-01-29,08:15,2015-01-29,12:00,Abrahamsen Olav Arild. Rinde Harald. Seland Bjørg,CK D3 054 sem
-HI-218 for,2015-02-02,10:15,2015-02-02,12:00,Sætra Gustav Grunde,CK 46 216 sem
-HI-217 for/sem,2015-02-05,08:15,2015-02-05,12:00,Abrahamsen Olav Arild. Rinde Harald. Seland Bjørg,CK D3 054 sem
-HI-218 gr,2015-02-09,10:15,2015-02-09,12:00,Sætra Gustav Grunde,CK F1 013. CK F1 004. CK F1 006. CK F1 008. CK F1 012
-HI-217 for/sem,2015-02-12,08:15,2015-02-12,12:00,Abrahamsen Olav Arild. Rinde Harald. Seland Bjørg,CK D3 054 sem
-HI-218 gr,2015-02-16,10:15,2015-02-16,12:00,Sætra Gustav Grunde,CK F1 013. CK F1 004. CK F1 006. CK F1 008. CK F1 012
-HI-217 for/sem,2015-02-19,08:15,2015-02-19,12:00,Abrahamsen Olav Arild. Rinde Harald. Seland Bjørg,CK D3 054 sem
-HI-218 gr,2015-02-23,10:15,2015-02-23,12:00,Sætra Gustav Grunde,CK F1 013. CK F1 004. CK F1 006. CK F1 008. CK F1 012
-HI-217 for/sem,2015-02-26,08:15,2015-02-26,12:00,Abrahamsen Olav Arild. Rinde Harald. Seland Bjørg,CK D3 054 sem
-HI-218 gr,2015-03-02,10:15,2015-03-02,12:00,Sætra Gustav Grunde,CK F1 013. CK F1 004. CK F1 006. CK F1 008. CK F1 012
-HI-217 for/sem,2015-03-05,08:15,2015-03-05,12:00,Abrahamsen Olav Arild. Rinde Harald. Seland Bjørg,CK D3 054 sem
-HI-217 for/sem,2015-03-12,08:15,2015-03-12,12:00,Abrahamsen Olav Arild. Rinde Harald. Seland Bjørg,CK D3 054 sem
-HI-218 gr,2015-03-16,10:15,2015-03-16,12:00,Sætra Gustav Grunde,CK F1 013. CK F1 004. CK F1 006. CK F1 008. CK F1 012
-HI-217 for/sem,2015-03-19,08:15,2015-03-19,12:00,Abrahamsen Olav Arild. Rinde Harald. Seland Bjørg,CK D3 054 sem
-HI-217 sem 19.03. 26.03,2015-03-19,10:15,2015-03-19,12:00,Abrahamsen Olav Arild. Rinde Harald. Seland Bjørg,CK D3 018 sem
-HI-218 for,2015-03-23,10:15,2015-03-23,12:00,Sætra Gustav Grunde,CK 46 216 sem
-HI-218 for uke 13,2015-03-23,14:15,2015-03-23,16:00,Sætra Gustav Grunde,CK 46 137 sem
-HI-217 for/sem,2015-03-26,08:15,2015-03-26,12:00,Abrahamsen Olav Arild. Rinde Harald. Seland Bjørg,CK D3 054 sem
-HI-217 sem 19.03. 26.03,2015-03-26,10:15,2015-03-26,12:00,Abrahamsen Olav Arild. Rinde Harald. Seland Bjørg,CK D3 018 sem
-HI-217 for/sem,2015-04-09,08:15,2015-04-09,12:00,Abrahamsen Olav Arild. Rinde Harald. Seland Bjørg,CK D3 054 sem
-HI-218 gr,2015-04-13,10:15,2015-04-13,12:00,Sætra Gustav Grunde,CK F1 013. CK F1 004. CK F1 006. CK F1 008. CK F1 012
-HI-217 for/sem,2015-04-16,08:15,2015-04-16,12:00,Abrahamsen Olav Arild. Rinde Harald. Seland Bjørg,CK D3 054 sem
-HI-218 gr,2015-04-20,10:15,2015-04-20,12:00,Sætra Gustav Grunde,CK F1 013. CK F1 004. CK F1 006. CK F1 008. CK F1 012
-HI-217 for/sem,2015-04-23,08:15,2015-04-23,12:00,Abrahamsen Olav Arild. Rinde Harald. Seland Bjørg,CK D3 054 sem
-HI-217 for/sem,2015-04-30,08:15,2015-04-30,12:00,Abrahamsen Olav Arild. Rinde Harald. Seland Bjørg,CK D3 054 sem
-HI-217 for/sem,2015-05-07,08:15,2015-05-07,12:00,Abrahamsen Olav Arild. Rinde Harald. Seland Bjørg,CK D3 054 sem
